adjective,noun,article,adj_article,llama_405b_base_judgment
flat,table,a,a,always
boiling,pot,a,a,always
colored,dot,a,a,always
yellow,rubber,,,rarely
red,boat,a,a,about half the time
standing,penguin,a,a,rarely
cat,hair,,,never
roof,rack,a,a,rarely
bean,sprout,a,a,always
whale,song,a,a,rarely
red,turtle,a,a,never
red,penguin,a,a,never
parmesan,cheese,,,never
hill,top,a,a,always
cottage,cheese,,,rarely
dark,rock,a,a,rarely
round,corner,a,a,never
cake,baby,a,a,never
yellow,outfit,an,a,never
shave,rash,a,a,rarely
scrap,heap,a,a,never
air,push,a,an,never
girl,hair,,,sometimes
shoe,polish,,,never
red,whale,a,a,rarely
sweet,pie,a,a,almost always
bald,boy,a,a,never
stone,coating,a,a,never
truck,mom,a,a,sometimes
orange,kitten,a,an,always
giant,head,a,a,never
daddy,horse,a,a,rarely
roller,coaster,a,a,about half the time
frozen,room,a,a,never
gold,dust,,,never
pink,carpet,a,a,rarely
juicy,pineapple,a,a,always
red,book,a,a,never
wooden,piece,a,a,often
water,bucket,a,a,sometimes
night,bird,a,a,rarely
tap,dance,a,a,rarely
bread,crust,a,a,always
floor,archway,an,a,never
shark,game,a,a,never
hot,radiator,a,a,rarely
boy,baby,a,a,about half the time
paper,towel,a,a,sometimes
stage,spot,a,a,often
bible,book,a,a,often
purple,handle,a,a,never
star,red,,,never
green,snake,a,a,rarely
purple,train,a,a,never
beetle,game,a,a,sometimes
garden,tree,a,a,sometimes
thick,soup,,,almost always
river,shack,a,a,rarely
red,machine,a,a,never
stomach,bug,a,a,about half the time
strawberry,cookie,a,a,never
pink,fur,,,never
color,purple,,,never
meal,guy,a,a,almost always
orange,truck,a,an,never
tin,can,a,a,always
daddy,lion,a,a,never
sweet,guy,a,a,always
rocket,ship,a,a,rarely
copper,dagger,a,a,about half the time
brick,wall,a,a,never
camp,fire,a,a,sometimes
purple,water,,,never
air,conditioner,,,always
throw,ball,a,a,almost always
ham,ball,a,a,never
red,railing,a,a,never
solid,color,a,a,always
bulletin,board,a,a,rarely
yellow,metal,,,sometimes
wood,basket,a,a,never
grey,clay,,,never
dirty,mitt,a,a,never
glass,door,a,a,rarely
green,cup,a,a,rarely
mommy,movie,a,a,rarely
orange,ear,an,an,never
orange,piece,a,an,never
human,race,a,a,often
baseball,bat,a,a,about half the time
hot,grease,,,almost always
grill,cheese,,,rarely
golf,ball,a,a,sometimes
water,plant,a,a,almost always
yellow,hose,a,a,sometimes
string,bean,a,a,never
cow,manure,,,always
swim,trunk,a,a,rarely
bleeding,phone,a,a,never
gum,flavor,a,a,about half the time
giant,yogurt,,,never
heart,sweet,a,a,always
roll,shot,a,a,almost always
blueberry,juice,,,never
green,grass,,,always
slope,testing,a,a,never
wrestling,guy,a,a,sometimes
squirt,gun,a,a,rarely
smoke,alarm,an,a,sometimes
phone,box,a,a,never
stock,room,a,a,never
bamboo,shoot,a,a,never
red,hat,a,a,rarely
hippopotamus,face,a,a,never
yellow,moon,a,a,always
hand,print,a,a,sometimes
snow,flake,a,a,always
hot,cookie,a,a,almost always
pterodactyl,leg,a,a,never
derby,girl,a,a,never
baby,beluga,a,a,always
fence,post,a,a,rarely
pink,bag,a,a,rarely
purple,shirt,a,a,never
calendar,book,a,a,never
juicy,fruit,a,a,almost always
gold,key,a,a,rarely
purple,girl,a,a,never
till,receipt,a,a,almost always
back,fence,a,a,never
green,frog,a,a,never
kid,person,a,a,sometimes
sweet,mama,a,a,never
rain,day,a,a,rarely
baby,platypus,a,a,almost always
green,mat,a,a,never
spa,camera,a,a,never
piggy,ride,a,a,about half the time
poker,game,a,a,rarely
box,tape,a,a,never
ballet,skirt,a,a,rarely
plastic,bag,a,a,almost always
green,water,,,never
orange,fish,a,an,never
onion,stuffing,,,never
bow,honey,,,never
water,ride,a,a,never
stuffed,crocodile,a,a,never
purple,pony,a,a,always
orange,lip,a,an,never
bear,eye,an,a,never
yellow,duck,a,a,about half the time
pumpkin,bread,,,rarely
locked,gate,a,a,often
green,plate,a,a,rarely
pink,balloon,a,a,rarely
flaming,desk,a,a,never
sheet,pan,a,a,sometimes
yellow,milk,,,never
boat,person,a,a,never
candy,apple,an,a,never
purple,juice,,,never
wire,hair,,,never
chest,paddling,a,a,always
day,person,a,a,often
red,dinosaur,a,a,never
brown,oatmeal,,,rarely
dark,picture,a,a,often
glue,stick,a,a,about half the time
boy,doctor,a,a,about half the time
dark,rabbit,a,a,sometimes
dragon,bear,a,a,never
bear,track,a,a,never
hot,desert,a,a,never
brown,ribbon,a,a,never
dirty,suit,a,a,about half the time
door,frame,a,a,often
pink,fan,a,a,rarely
parent,girl,a,a,sometimes
hen,egg,an,a,almost always
bear,head,a,a,never
pumpkin,muffin,a,a,never
plastic,sack,a,a,always
soapy,water,,,never
pink,makeup,,,almost always
turtle,purple,,,often
plastic,grid,a,a,never
pearl,ribbon,a,a,never
wooden,side,a,a,never
apple,cinnamon,,,never
piggy,toe,a,a,never
swamp,land,,,rarely
bathroom,suite,a,a,often
dirty,tractor,a,a,about half the time
thick,tights,,,sometimes
red,sun,,,never
red,crab,a,a,rarely
dirty,mess,a,a,often
baby,chick,a,a,almost always
fridge,door,a,a,never
doggy,food,,,rarely
brown,beard,a,a,sometimes
purple,bear,a,a,never
giant,creature,a,a,never
yellow,octagon,an,a,sometimes
dark,mulch,,,almost always
green,light,a,a,always
church,warden,a,a,rarely
varnish,stain,a,a,almost always
square,pretzel,a,a,rarely
red,ruby,a,a,always
solid,food,,,almost always
hot,pipe,a,a,always
green,balloon,a,a,rarely
muffin,pan,a,a,never
orange,green,,,always
milk,pint,a,a,almost always
bathroom,ceiling,a,a,rarely
ear,drum,a,an,rarely
thick,cheese,,,almost always
mud,pool,a,a,never
orange,peel,a,an,sometimes
red,bell,a,a,rarely
red,eye,an,a,never
purple,robe,a,a,never
snare,drum,a,a,always
riding,horse,a,a,often
bunny,costume,a,a,often
baby,voice,a,a,rarely
steam,engine,an,a,rarely
purple,corner,a,a,never
saucepan,lid,a,a,about half the time
pink,slipper,a,a,rarely
brown,wing,a,a,about half the time
fence,door,a,a,never
red,bridge,a,a,rarely
orange,carrot,a,an,always
car,engine,an,a,almost always
wet,wipe,a,a,often
fish,meal,a,a,about half the time
yellow,marble,a,a,rarely
blood,vessel,a,a,about half the time
marble,painting,a,a,never
yellow,mustache,a,a,always
linen,closet,a,a,about half the time
sticker,book,a,a,rarely
red,clock,a,a,never
candy,man,a,a,rarely
window,sill,a,a,never
mulberry,bush,a,a,rarely
blueberry,tea,,,never
green,square,a,a,never
scavenger,hunt,a,a,never
green,tube,a,a,about half the time
gulf,stream,a,a,about half the time
green,tummy,a,a,never
blood,check,a,a,never
dirty,town,a,a,never
baby,bubble,a,a,always
outside,basket,a,an,never
bed,explorer,an,a,never
telephone,point,a,a,almost always
wood,worm,a,a,rarely
finger,nail,a,a,never
gas,cooking,,,always
car,green,,,never
baby,stick,a,a,always
potty,book,a,a,never
brown,lettuce,,,never
fish,dad,a,a,never
country,music,,,sometimes
fire,hydrant,a,a,always
sea,baby,a,a,never
toy,tub,a,a,never
colored,worm,a,a,sometimes
purple,ball,a,a,never
mitten,back,a,a,never
cookie,crumb,a,a,never
plastic,fork,a,a,rarely
passenger,train,a,a,almost always
giant,cat,a,a,rarely
survey,photograph,a,a,always
purple,wrapper,a,a,rarely
slam,dunk,a,a,sometimes
pirate,ship,a,a,rarely
green,straw,a,a,never
giant,squid,a,a,rarely
bald,guy,a,a,almost always
tomato,sauce,,,sometimes
pink,sweater,a,a,rarely
orange,bean,a,an,sometimes
sleigh,bell,a,a,rarely
green,key,a,a,never
brown,crayon,a,a,sometimes
outside,window,a,an,never
red,pole,a,a,sometimes
red,rose,a,a,about half the time
yellow,dress,a,a,never
liver,oil,,,never
surf,board,a,a,never
dirty,ground,,,always
purple,moon,a,a,never
swim,dolphin,a,a,always
green,rain,,,never
baby,body,a,a,always
orange,baby,a,an,always
cheese,packet,a,a,never
velvety,calf,a,a,rarely
egg,bread,,,sometimes
salmon,sandwich,a,a,rarely
chocolate,log,a,a,never
ballroom,dancing,,,always
pine,needle,a,a,never
eye,shadow,a,an,almost always
purple,plant,a,a,never
wheat,cracker,a,a,rarely
transporter,company,a,a,rarely
green,candle,a,a,rarely
green,sugar,,,never
brick,piece,a,a,always
purple,spoon,a,a,never
red,letter,a,a,always
bowling,pin,a,a,almost always
military,person,a,a,sometimes
bank,card,a,a,about half the time
green,shoe,a,a,rarely
hedge,shears,,,never
square,balloon,a,a,never
spiral,nail,a,a,never
spaghetti,porridge,,,never
jump,jockey,a,a,never
yellow,bar,a,a,never
garage,key,a,a,rarely
sand,swell,a,a,about half the time
water,gun,a,a,rarely
sewer,line,a,a,about half the time
boy,swing,a,a,almost always
butter,cup,a,a,never
green,tooth,a,a,always
sugar,oatmeal,,,about half the time
yellow,boat,a,a,rarely
red,suit,a,a,never
ocean,ship,a,an,about half the time
sugar,man,a,a,about half the time
purple,duck,a,a,rarely
milk,pitcher,a,a,almost always
onion,skin,,,rarely
cake,stall,a,a,never
fat,kiss,a,a,sometimes
worm,bin,a,a,never
wet,clothes,,,always
trash,game,a,a,never
green,daddy,a,a,always
purple,marker,a,a,about half the time
police,station,a,a,always
pig,roll,a,a,never
metal,clip,a,a,almost always
baby,step,a,a,almost always
music,room,a,a,always
night,air,,,always
red,petal,a,a,almost always
nanny,training,a,a,always
pink,cloud,a,a,never
plastic,spoon,a,a,never
fat,lump,a,a,never
baby,picture,a,a,rarely
daddy,company,a,a,never
yellow,cow,a,a,never
red,grey,,,always
bottom,bar,a,a,never
tree,bark,a,a,about half the time
yellow,bag,a,a,never
flat,pumpkin,a,a,about half the time
college,building,a,a,never
locomotive,car,a,a,never
gold,dragon,a,a,never
chocolate,milk,,,rarely
bald,baby,a,a,often
rugby,player,a,a,about half the time
card,game,a,a,often
laser,beam,a,a,never
lead,boot,a,a,never
battle,field,a,a,about half the time
yellow,button,a,a,rarely
water,test,a,a,never
broken,neck,a,a,about half the time
tea,towel,a,a,sometimes
pirate,guy,a,a,always
bright,sun,,,almost always
pet,shop,a,a,rarely
green,bead,a,a,about half the time
kid,movie,a,a,about half the time
dead,flower,a,a,never
yellow,bed,a,a,never
pest,attack,an,a,almost always
sirloin,steak,a,a,always
burnt,toasted,,,never
icy,road,a,an,rarely
comforter,cover,a,a,rarely
curtain,rail,a,a,never
water,feed,,,never
square,paper,a,a,never
foot,hole,a,a,never
computer,man,a,a,never
thyroid,infection,an,a,never
green,helmet,a,a,never
purple,head,a,a,almost always
purple,wheel,a,a,never
hammer,head,a,a,never
green,stem,a,a,always
green,star,a,a,never
soapy,bubble,a,a,sometimes
top,card,a,a,about half the time
orange,skin,,,never
cargo,ship,a,a,often
pink,piece,a,a,never
baby,jaguar,a,a,never
food,picture,a,a,about half the time
garden,door,a,a,sometimes
brown,bottom,a,a,about half the time
pony,home,a,a,never
dragon,picture,a,a,rarely
red,mouth,a,a,almost always
chicken,prawn,a,a,never
baby,duck,a,a,sometimes
plastic,duck,a,a,never
blueberry,bar,a,a,never
juicy,bite,a,a,about half the time
fat,cookie,a,a,never
wet,sand,,,always
bath,drain,a,a,sometimes
yellow,card,a,a,never
green,creature,a,a,sometimes
draw,pile,a,a,never
pipe,band,a,a,almost always
outside,toilet,a,an,rarely
yellow,block,a,a,often
green,boxcar,a,a,never
blob,cookie,a,a,never
back,chair,a,a,always
back,wall,a,a,never
pizza,crust,a,a,almost always
giant,circle,a,a,never
chocolate,fry,a,a,rarely
boy,tiger,a,a,always
piano,bench,a,a,never
giant,baby,a,a,always
hot,coal,a,a,always
tub,toy,a,a,never
pink,box,a,a,never
kid,slide,a,a,almost always
outside,kitty,a,an,often
water,tap,a,a,almost always
asteroid,belt,a,an,never
baby,swing,a,a,about half the time
glass,jar,a,a,almost always
yellow,hat,a,a,never
green,button,a,a,sometimes
dark,night,a,a,almost always
yellow,house,a,a,rarely
puzzle,box,a,a,always
naked,bear,a,a,never
egg,salad,a,an,never
red,fan,a,a,never
green,dragon,a,a,never
slim,girl,a,a,always
outdoor,art,,,about half the time
green,boat,a,a,never
orange,scissors,,,rarely
wooden,chair,a,a,often
blonde,one,a,a,always
head,piece,a,a,almost always
cherry,pie,a,a,rarely
cathedral,window,a,a,rarely
blond,hair,,,sometimes
lunch,bag,a,a,never
elephant,grey,,,always
purple,pot,a,a,rarely
brown,page,a,a,never
hot,sauce,,,often
stick,person,a,a,never
mince,pie,a,a,almost always
yellow,color,a,a,often
colored,water,,,always
film,wrap,a,a,rarely
corn,movie,a,a,never
grey,dog,a,a,never
truck,book,a,a,never
girl,teacher,a,a,often
broken,toy,a,a,rarely
orange,cracker,a,an,never
brown,lid,a,a,almost always
orange,mango,a,an,never
water,park,a,a,sometimes
yellow,pot,a,a,rarely
shadow,puppet,a,a,rarely
brick,fire,,,always
willow,tree,a,a,rarely
trash,man,a,a,rarely
apple,skin,,,almost always
top,window,a,a,never
farm,puzzle,a,a,never
karate,suit,a,a,rarely
green,broccoli,,,always
orange,slice,a,an,sometimes
pink,piggy,a,a,often
dinosaur,bone,a,a,always
milk,cow,a,a,often
clock,book,a,a,never
pink,marker,a,a,never
oatmeal,bath,a,an,often
racing,car,a,a,rarely
red,tower,a,a,never
yellow,truck,a,a,almost always
red,tail,a,a,about half the time
blowing,nose,a,a,never
princess,tea,,,never
upstairs,brush,a,an,never
north,wind,,,always
bottom,floor,a,a,always
slide,watch,a,a,always
train,money,,,never
soap,juice,,,never
red,boy,a,a,always
karate,ballerina,a,a,never
steering,wheel,a,a,almost always
pineapple,juice,,,rarely
honey,marmalade,,,never
hot,sun,,,always
color,stripe,a,a,almost always
orange,marmalade,,,always
upstairs,flat,a,an,always
snow,pants,,,almost always
engine,driver,a,an,about half the time
eye,witness,a,an,almost always
thick,point,a,a,never
green,booger,a,a,sometimes
picnic,bench,a,a,almost always
yellow,carrot,a,a,rarely
orange,flower,a,an,rarely
diamond,ring,a,a,rarely
chocolate,bar,a,a,always
vegetable,soup,,,sometimes
sunflower,seed,a,a,rarely
snack,bar,a,a,never
dogs,face,a,a,never
yellow,broom,a,a,never
glass,light,a,a,about half the time
freezing,water,,,never
brown,dog,a,a,always
orange,squid,a,an,about half the time
country,road,a,a,about half the time
pocket,money,,,often
wet,wash,a,a,about half the time
purple,camera,a,a,never
red,ribbon,a,a,never
colored,glue,,,rarely
hot,tea,,,often
pink,frosting,,,sometimes
night,school,a,a,sometimes
giant,meteorite,a,a,never
pink,pony,a,a,always
upstairs,bed,a,an,often
dinosaur,picture,a,a,never
sun,rise,a,a,about half the time
wet,towel,a,a,about half the time
dirty,table,a,a,sometimes
kid,bike,a,a,never
river,fishing,,,about half the time
downstairs,loo,a,a,about half the time
dirty,pavement,,,always
apple,tree,a,an,rarely
icy,ring,a,an,never
hot,rod,a,a,rarely
brown,wig,a,a,often
red,sauce,,,always
broken,bone,a,a,rarely
pink,bank,a,a,always
flat,knife,a,a,about half the time
green,rectangle,a,a,never
fat,child,a,a,often
round,hand,a,a,never
couple,stair,a,a,always
bottom,cover,a,a,rarely
glitter,glue,,,never
bubble,wrap,a,a,never
flower,plate,a,a,sometimes
scrap,yard,a,a,rarely
hair,cut,a,a,almost always
football,teacher,a,a,never
duffel,coat,a,a,often
dirty,box,a,a,about half the time
dirty,movie,a,a,almost always
daddy,chin,a,a,almost always
candy,gum,a,a,almost always
bus,driver,a,a,rarely
green,land,,,rarely
dirty,vent,a,a,almost always
pub,window,a,a,rarely
green,car,a,a,rarely
cut,piece,a,a,about half the time
yellow,queen,a,a,never
hot,wing,a,a,never
wooden,animal,an,a,never
mommy,bird,a,a,rarely
brown,suit,a,a,never
baby,chicken,a,a,rarely
body,wash,a,a,never
orange,sword,a,an,rarely
yellow,shoe,a,a,about half the time
orange,tree,a,an,never
back,page,a,a,never
taxi,man,a,a,always
yellow,row,a,a,sometimes
bacon,casserole,a,a,rarely
green,knight,a,a,never
ginger,ale,an,a,never
yellow,wedge,a,a,always
toy,box,a,a,rarely
song,sheet,a,a,about half the time
pelican,crossing,a,a,always
hot,juice,,,never
doll,dress,a,a,never
yellow,pig,a,a,always
hot,cross,a,a,always
flower,pan,a,a,never
dog,joint,a,a,never
poop,factory,a,a,almost always
flower,room,a,a,never
bear,shoe,a,a,never
diamond,rock,a,a,never
blond,captain,a,a,never
header,tank,a,a,about half the time
color,knight,a,a,always
dad,hand,a,a,almost always
ice,truck,a,an,rarely
water,bottle,a,a,often
yellow,fire,,,almost always
step,mother,a,a,about half the time
bright,feather,a,a,rarely
machine,gun,a,a,rarely
hairy,finger,a,a,never
yellow,bead,a,a,never
brown,floor,a,a,almost always
dump,truck,a,a,rarely
print,shop,a,a,never
yellow,sheep,a,a,never
hot,pink,,,rarely
daddy,headache,a,a,never
dog,hair,,,sometimes
girl,shoe,a,a,always
toilet,paper,a,a,sometimes
sand,toy,a,a,never
blind,person,a,a,rarely
lighter,colors,a,a,rarely
orange,paint,,,rarely
pussy,cat,a,a,never
flat,bed,a,a,never
orange,hat,a,an,never
night,kiss,a,a,never
yellow,van,a,a,rarely
color,petal,a,a,about half the time
bear,puzzle,a,a,never
carrier,bag,a,a,often
wolf,hound,a,a,never
wet,floor,a,a,about half the time
pooper,scooper,a,a,rarely
lollipop,stick,a,a,never
sweat,top,a,a,about half the time
back,cellar,a,a,about half the time
macaroni,cheese,,,never
violin,group,a,a,never
nail,cut,a,a,rarely
farm,machine,a,a,rarely
baby,tiger,a,a,rarely
curly,hair,,,rarely
candy,house,a,a,rarely
wood,hardware,,,never
hermit,crab,a,a,sometimes
ankle,sock,a,an,always
strawberry,flower,a,a,never
broken,car,a,a,rarely
coffee,cup,a,a,sometimes
cut,hair,,,always
hot,towel,a,a,rarely
mommy,horse,a,a,often
fish,finger,a,a,sometimes
chipmunk,song,a,a,never
frog,leg,a,a,never
giant,bucket,a,a,almost always
hot,boil,a,a,almost always
pink,snow,,,never
red,pin,a,a,never
rain,bow,a,a,always
red,colors,a,a,always
dish,soap,,,always
mommy,duck,a,a,almost always
hair,ball,a,a,always
thick,marker,a,a,never
dirty,pajamas,,,sometimes
bow,tie,a,a,never
solar,house,a,a,never
purple,monkey,a,a,never
hot,grill,a,a,often
climbing,stair,a,a,always
purple,cartridge,a,a,never
saw,puzzle,a,a,never
shortbread,cookie,a,a,never
car,parking,,,about half the time
farm,instrument,an,a,rarely
dirty,room,a,a,sometimes
troll,person,a,a,often
drawing,office,an,a,about half the time
shaving,mirror,a,a,about half the time
thick,rope,a,a,rarely
orange,bird,a,an,rarely
lighter,snack,a,a,about half the time
red,hamster,a,a,never
split,cup,a,a,never
orange,color,a,an,about half the time
purple,stick,a,a,never
gold,helmet,a,a,rarely
mother,bear,a,a,almost always
puzzle,board,a,a,about half the time
sand,castle,a,a,almost always
mail,truck,a,a,never
red,bowl,a,a,never
strawberry,lemonade,,,never
gold,shoe,a,a,never
fat,brush,a,a,never
top,cap,a,a,never
red,doggie,a,a,never
tea,cake,a,a,rarely
wet,diaper,a,a,rarely
mechanic,shop,a,a,never
army,officer,an,an,always
bear,book,a,a,never
cream,tub,a,a,almost always
secretary,treasurer,a,a,never
ferry,crossing,a,a,almost always
purple,octopus,an,a,never
oatmeal,bite,a,an,always
glass,building,a,a,never
dirty,finger,a,a,never
toddler,bed,a,a,always
circus,man,a,a,rarely
cut,glass,a,a,never
dark,color,a,a,almost always
hot,bottle,a,a,never
barge,person,a,a,never
yellow,tooth,a,a,always
pitch,fork,a,a,almost always
driving,instructor,an,a,rarely
astronaut,hat,a,an,rarely
bear,cry,a,a,about half the time
bay,window,a,a,never
berry,patch,a,a,never
piano,player,a,a,about half the time
bedside,table,a,a,about half the time
dead,person,a,a,never
bird,cave,a,a,never
gold,coin,a,a,never
engine,oil,,,about half the time
green,pot,a,a,never
ocean,animal,an,an,always
cheese,ball,a,a,never
red,bicycle,a,a,never
turkey,breast,a,a,never
hairy,spider,a,a,about half the time
apple,juice,,,often
paper,sticker,a,a,about half the time
air,balloon,a,an,never
mud,pie,a,a,never
orange,circle,a,an,about half the time
star,fish,a,a,never
fish,lip,a,a,never
orange,broom,a,an,sometimes
paint,plaster,a,a,rarely
dance,contest,a,a,never
hot,chocolate,,,sometimes
green,elephant,an,a,never
flower,day,a,a,rarely
orange,pentagon,a,an,never
student,band,a,a,rarely
pink,milk,,,never
milk,shake,a,a,always
yellow,plastic,,,rarely
daddy,car,a,a,never
wet,tarmac,a,a,never
pink,blanket,a,a,never
shovel,fork,a,a,never
fat,piggy,a,a,rarely
sugar,cone,a,a,always
glass,washer,a,a,often
silver,penny,a,a,always
sugar,syrup,,,about half the time
cookie,blob,a,a,often
donut,chair,a,a,never
watch,strap,a,a,almost always
top,cream,,,almost always
brown,teddy,a,a,never
red,purple,,,never
blooming,month,a,a,about half the time
bloody,coconut,a,a,rarely
game,tile,a,a,always
circle,drawing,a,a,often
fat,belly,a,a,often
puffy,cloud,a,a,often
dirty,outside,an,a,never
book,tray,a,a,never
red,blood,,,never
cream,taste,a,a,never
grey,tights,,,sometimes
sword,fight,a,a,rarely
female,alligator,an,a,about half the time
dark,turquoise,,,never
check,mark,a,a,never
throw,toy,a,a,rarely
back,line,a,a,never
silky,mask,a,a,never
potato,chip,a,a,always
stand,firm,a,a,about half the time
cut,trunk,a,a,never
red,mark,a,a,sometimes
powder,paint,,,never
broken,crayon,a,a,always
mail,uniform,a,a,often
police,man,a,a,almost always
yellow,taxi,a,a,often
river,path,a,a,sometimes
flat,tire,a,a,never
brown,horse,a,a,often
purple,dot,a,a,never
cranberry,juice,,,rarely
fire,fighter,a,a,always
ocean,wave,a,an,often
red,paint,,,about half the time
red,dot,a,a,always
orange,leaflet,a,an,never
red,cab,a,a,rarely
triangle,roof,a,a,about half the time
plastic,cup,a,a,never
ant,trail,a,an,almost always
seat,belt,a,a,about half the time
bread,box,a,a,never
yellow,car,a,a,rarely
mud,color,a,a,about half the time
orange,shovel,a,an,about half the time
red,picture,a,a,rarely
orange,macaroni,,,sometimes
orange,screw,a,an,never
head,shot,a,a,never
snowy,day,a,a,rarely
road,track,a,a,rarely
green,wall,a,a,rarely
hot,steam,,,always
hot,mess,a,a,often
drummer,boy,a,a,always
market,stall,a,a,sometimes
turtle,magazine,a,a,never
orange,packet,a,an,always
home,movie,a,a,rarely
red,cape,a,a,never
weeping,willow,a,a,never
red,bone,a,a,never
oil,barrel,a,an,never
shirt,top,a,a,almost always
purple,frog,a,a,never
children,book,a,a,often
purple,bubble,a,a,never
sweet,potato,a,a,rarely
village,hall,a,a,rarely
lacrosse,stick,a,a,almost always
snake,tongue,a,a,never
bread,knife,a,a,about half the time
bake,cookie,a,a,never
hare,lip,a,a,rarely
pink,pants,,,rarely
red,lip,a,a,rarely
batman,shoe,a,a,never
dark,room,a,a,never
dark,paint,,,never
dinosaur,egg,an,a,never
wooden,horse,a,a,never
oval,circle,a,an,never
kid,game,a,a,often
purple,basket,a,a,never
purple,bead,a,a,never
orange,tiger,a,an,almost always
hot,corn,a,a,rarely
ballet,dress,a,a,rarely
fish,puppet,a,a,never
purple,patch,a,a,rarely
green,bear,a,a,rarely
bread,dough,,,almost always
grey,hair,,,sometimes
document,file,a,a,always
bedroom,flat,a,a,about half the time
yellow,kite,a,a,sometimes
pitcher,glove,a,a,never
ink,pad,a,an,rarely
mouse,ear,an,a,never
pink,cup,a,a,almost always
red,belly,a,a,never
orange,crayon,a,an,about half the time
ankle,boot,a,an,rarely
dog,bun,a,a,never
bus,puzzle,a,a,never
green,leg,a,a,never
dirty,food,,,never
hamburger,bun,a,a,never
soccer,ball,a,a,about half the time
jean,jacket,a,a,never
green,chair,a,a,never
yellow,stick,a,a,never
leaf,pile,a,a,sometimes
red,luggage,,,rarely
orange,sequin,a,an,rarely
dirty,garbage,,,never
wash,cloth,a,a,often
green,bubble,a,a,rarely
upstairs,toy,a,an,about half the time
balloon,popping,a,a,never
yellow,mountain,a,a,never
water,line,a,a,about half the time
top,piece,a,a,always
straw,cup,a,a,rarely
red,lead,a,a,always
snack,boy,a,a,about half the time
circle,puzzle,a,a,never
banana,chip,a,a,never
apple,cider,,,often
snowman,melt,a,a,never
skate,board,a,a,about half the time
grocery,warehouse,a,a,often
wheel,chair,a,a,rarely
baby,bag,a,a,about half the time
wood,box,a,a,never
car,ferry,a,a,about half the time
red,tights,,,always
smiley,face,a,a,always
crystal,piece,a,a,rarely
cherry,vanilla,,,never
bath,room,a,a,never
yellow,match,a,a,never
student,nurse,a,a,about half the time
baby,cat,a,a,never
orange,ball,a,an,sometimes
firehouse,lunch,a,a,about half the time
red,tractor,a,a,always
bowling,alley,an,a,never
snow,ball,a,a,rarely
pink,teddy,a,a,never
toy,man,a,a,rarely
purple,mouse,a,a,never
baby,bath,a,a,rarely
green,house,a,a,never
red,dandelion,a,a,rarely
frozen,shoulder,a,a,about half the time
hot,milk,,,sometimes
vinegar,bottle,a,a,sometimes
color,book,a,a,almost always
company,software,,,about half the time
red,border,a,a,never
oak,tree,a,an,sometimes
music,note,a,a,always
mommy,hair,,,never
top,branch,a,a,always
burglar,alarm,an,a,always
office,key,a,an,about half the time
green,toe,a,a,never
movie,channel,a,a,sometimes
dune,buggy,a,a,never
yellow,green,,,always
red,pig,a,a,never
exterior,light,a,an,almost always
plastics,company,a,a,never
yellow,chalk,,,always
baby,clothes,,,rarely
park,parade,a,a,rarely
bike,ride,a,a,almost always
car,seat,a,a,almost always
hot,doggy,a,a,never
pink,sock,a,a,never
green,dress,a,a,sometimes
sea,shell,a,a,rarely
copy,cat,a,a,never
yellow,square,a,a,sometimes
wall,drawer,a,a,never
maple,sugar,,,always
snow,hill,a,a,almost always
sky,color,a,a,sometimes
day,school,a,a,always
vanilla,wafer,a,a,always
peacock,feather,a,a,often
flat,fish,a,a,rarely
garden,sign,a,a,always
cream,cheese,,,rarely
hair,barrette,a,a,always
orange,zebra,a,an,never
bear,tooth,a,a,never
cheese,sauce,,,never
blood,checker,a,a,never
bright,leaf,a,a,often
brown,ale,an,a,often
red,sifter,a,a,never
color,leg,a,a,almost always
purple,light,a,a,never
wrap,present,a,a,often
frozen,lip,a,a,rarely
puppy,bark,a,a,sometimes
letter,side,a,a,about half the time
model,girl,a,a,almost always
horse,shoeing,a,a,always
coal,block,a,a,never
green,triangle,a,a,sometimes
red,cap,a,a,sometimes
rectangle,door,a,a,always
purple,submarine,a,a,never
orange,bud,a,an,rarely
mommy,parrot,a,a,almost always
belly,button,a,a,sometimes
round,carpet,a,a,rarely
orange,noodle,a,an,rarely
baby,tooth,a,a,rarely
plastic,lid,a,a,often
rain,umbrella,an,a,always
shore,island,an,a,almost always
brown,guy,a,a,never
cigarette,smoking,,,never
green,pea,a,a,often
bear,cookie,a,a,rarely
picnic,blanket,a,a,sometimes
tobacco,jar,a,a,sometimes
baby,girl,a,a,never
outside,toy,a,an,almost always
pointy,fish,a,a,never
shoe,rack,a,a,rarely
bubble,game,a,a,never
head,pirate,a,a,never
web,site,a,a,almost always
gold,medal,a,a,rarely
brake,dust,,,about half the time
mama,deer,a,a,about half the time
bicycle,store,a,a,rarely
orange,peach,a,an,never
red,seat,a,a,about half the time
hay,stack,a,a,almost always
brown,trunk,a,a,never
brush,handle,a,a,never
family,room,a,a,almost always
orange,letter,a,an,always
grassy,field,a,a,always
fish,fin,a,a,about half the time
stegosaurus,strike,a,a,never
knight,costume,a,a,sometimes
executive,committee,a,an,never
potato,scoop,a,a,never
red,star,a,a,almost always
cannon,ball,a,a,always
flat,house,a,a,almost always
trash,can,a,a,always
yellow,blanket,a,a,never
green,shovel,a,a,never
cardboard,house,a,a,never
round,wall,a,a,never
red,edge,an,a,often
orange,train,a,an,never
wooden,leg,a,a,rarely
pink,bottle,a,a,never
