adjective,noun,article,adj_article
slide,watch,a,a
train,money,NA,NA
soap,juice,NA,NA
red,boy,a,a
karate,ballerina,a,a
steering,wheel,a,a
pineapple,juice,NA,NA
honey,marmalade,NA,NA
hot,sun,NA,NA
color,stripe,a,a
orange,marmalade,NA,NA
upstairs,flat,a,an
snow,pants,NA,NA
engine,driver,a,an
eye,witness,a,an
thick,point,a,a
green,booger,a,a
picnic,bench,a,a
yellow,carrot,a,a
orange,flower,a,an
diamond,ring,a,a
chocolate,bar,a,a
vegetable,soup,NA,NA
sunflower,seed,a,a
snack,bar,a,a
dogs,face,a,a
yellow,broom,a,a
glass,light,a,a
freezing,water,NA,NA
brown,dog,a,a
orange,squid,a,an
country,road,a,a
pocket,money,NA,NA
wet,wash,a,a
purple,camera,a,a
red,ribbon,a,a
colored,glue,NA,NA
hot,tea,NA,NA
pink,frosting,NA,NA
night,school,a,a
giant,meteorite,a,a
pink,pony,a,a
upstairs,bed,a,an
dinosaur,picture,a,a
sun,rise,a,a
wet,towel,a,a
dirty,table,a,a
kid,bike,a,a
river,fishing,NA,NA
downstairs,loo,a,a
dirty,pavement,NA,NA
apple,tree,a,an
icy,ring,a,an
hot,rod,a,a
brown,wig,a,a
red,sauce,NA,NA
broken,bone,a,a
pink,bank,a,a
flat,knife,a,a
green,rectangle,a,a
fat,child,a,a
round,hand,a,a
couple,stair,a,a
bottom,cover,a,a
glitter,glue,NA,NA
bubble,wrap,a,a
flower,plate,a,a
scrap,yard,a,a
hair,cut,a,a
football,teacher,a,a
duffel,coat,a,a
dirty,box,a,a
dirty,movie,a,a
daddy,chin,a,a
candy,gum,a,a
bus,driver,a,a
green,land,NA,NA
dirty,vent,a,a
pub,window,a,a
green,car,a,a
cut,piece,a,a
yellow,queen,a,a
hot,wing,a,a
wooden,animal,an,a
mommy,bird,a,a
brown,suit,a,a
baby,chicken,a,a
body,wash,a,a
orange,sword,a,an
yellow,shoe,a,a
orange,tree,a,an
back,page,a,a
taxi,man,a,a
yellow,row,a,a
bacon,casserole,a,a
green,knight,a,a
ginger,ale,an,a
yellow,wedge,a,a
toy,box,a,a
song,sheet,a,a
pelican,crossing,a,a
hot,juice,NA,NA
doll,dress,a,a
yellow,pig,a,a
hot,cross,a,a
flower,pan,a,a
dog,joint,a,a
poop,factory,a,a
flower,room,a,a
bear,shoe,a,a
diamond,rock,a,a
blond,captain,a,a
header,tank,a,a
color,knight,a,a
dad,hand,a,a
ice,truck,a,an
water,bottle,a,a
yellow,fire,NA,NA
step,mother,a,a
bright,feather,a,a
machine,gun,a,a
hairy,finger,a,a
yellow,bead,a,a
brown,floor,a,a
dump,truck,a,a
print,shop,a,a
yellow,sheep,a,a
hot,pink,NA,NA
daddy,headache,a,a
dog,hair,NA,NA
girl,shoe,a,a
toilet,paper,a,a
sand,toy,a,a
blind,person,a,a
lighter,colors,a,a
orange,paint,NA,NA
pussy,cat,a,a
flat,bed,a,a
orange,hat,a,an
night,kiss,a,a
yellow,van,a,a
color,petal,a,a
bear,puzzle,a,a
carrier,bag,a,a
wolf,hound,a,a
wet,floor,a,a
pooper,scooper,a,a
lollipop,stick,a,a
sweat,top,a,a
back,cellar,a,a
macaroni,cheese,NA,NA
violin,group,a,a
nail,cut,a,a
farm,machine,a,a
baby,tiger,a,a
curly,hair,NA,NA
candy,house,a,a
wood,hardware,NA,NA
hermit,crab,a,a
ankle,sock,a,an
strawberry,flower,a,a
broken,car,a,a
coffee,cup,a,a
cut,hair,NA,NA
hot,towel,a,a
mommy,horse,a,a
fish,finger,a,a
chipmunk,song,a,a
frog,leg,a,a
giant,bucket,a,a
hot,boil,a,a
pink,snow,NA,NA
red,pin,a,a
rain,bow,a,a
red,colors,a,a
dish,soap,NA,NA
mommy,duck,a,a
hair,ball,a,a
thick,marker,a,a
dirty,pajamas,NA,NA
bow,tie,a,a
solar,house,a,a
purple,monkey,a,a
hot,grill,a,a
climbing,stair,a,a
purple,cartridge,a,a
saw,puzzle,a,a
shortbread,cookie,a,a
car,parking,NA,NA
farm,instrument,an,a
dirty,room,a,a
troll,person,a,a
drawing,office,an,a
shaving,mirror,a,a
thick,rope,a,a
orange,bird,a,an
lighter,snack,a,a
red,hamster,a,a
split,cup,a,a
orange,color,a,an
purple,stick,a,a
gold,helmet,a,a
mother,bear,a,a
puzzle,board,a,a
sand,castle,a,a
mail,truck,a,a
red,bowl,a,a
strawberry,lemonade,NA,NA
gold,shoe,a,a
fat,brush,a,a
top,cap,a,a
red,doggie,a,a
tea,cake,a,a
wet,diaper,a,a
mechanic,shop,a,a
army,officer,an,an
bear,book,a,a
cream,tub,a,a
secretary,treasurer,a,a
ferry,crossing,a,a
purple,octopus,an,a
oatmeal,bite,a,an
glass,building,a,a
dirty,finger,a,a
toddler,bed,a,a
circus,man,a,a
cut,glass,a,a
dark,color,a,a
hot,bottle,a,a
barge,person,a,a
yellow,tooth,a,a
pitch,fork,a,a
driving,instructor,an,a
astronaut,hat,a,an
bear,cry,a,a
bay,window,a,a
berry,patch,a,a
piano,player,a,a
bedside,table,a,a
dead,person,a,a
bird,cave,a,a
gold,coin,a,a
engine,oil,NA,NA
green,pot,a,a
ocean,animal,an,an
cheese,ball,a,a
red,bicycle,a,a
turkey,breast,a,a
hairy,spider,a,a
apple,juice,NA,NA
paper,sticker,a,a
air,balloon,a,an
mud,pie,a,a
orange,circle,a,an
star,fish,a,a
fish,lip,a,a
orange,broom,a,an
paint,plaster,a,a
dance,contest,a,a
hot,chocolate,NA,NA
green,elephant,an,a
flower,day,a,a
orange,pentagon,a,an
student,band,a,a
pink,milk,NA,NA
milk,shake,a,a
yellow,plastic,NA,NA
daddy,car,a,a
wet,tarmac,a,a
pink,blanket,a,a
shovel,fork,a,a
fat,piggy,a,a
sugar,cone,a,a
glass,washer,a,a
silver,penny,a,a
sugar,syrup,NA,NA
cookie,blob,a,a
donut,chair,a,a
watch,strap,a,a
top,cream,NA,NA
brown,teddy,a,a
red,purple,NA,NA
blooming,month,a,a
bloody,coconut,a,a
game,tile,a,a
circle,drawing,a,a
fat,belly,a,a
puffy,cloud,a,a
dirty,outside,an,a
book,tray,a,a
red,blood,NA,NA
cream,taste,a,a
grey,tights,NA,NA
sword,fight,a,a
female,alligator,an,a
dark,turquoise,NA,NA
check,mark,a,a
throw,toy,a,a
back,line,a,a
silky,mask,a,a
potato,chip,a,a
stand,firm,a,a
cut,trunk,a,a
red,mark,a,a
powder,paint,NA,NA
broken,crayon,a,a
mail,uniform,a,a
police,man,a,a
yellow,taxi,a,a
river,path,a,a
flat,tire,a,a
brown,horse,a,a
purple,dot,a,a
cranberry,juice,NA,NA
fire,fighter,a,a
ocean,wave,a,an
red,paint,NA,NA
red,dot,a,a
orange,leaflet,a,an
red,cab,a,a
triangle,roof,a,a
plastic,cup,a,a
ant,trail,a,an
seat,belt,a,a
bread,box,a,a
yellow,car,a,a
mud,color,a,a
orange,shovel,a,an
red,picture,a,a
orange,macaroni,NA,NA
orange,screw,a,an
head,shot,a,a
snowy,day,a,a
road,track,a,a
green,wall,a,a
hot,steam,NA,NA
hot,mess,a,a
drummer,boy,a,a
market,stall,a,a
turtle,magazine,a,a
orange,packet,a,an
home,movie,a,a
red,cape,a,a
weeping,willow,a,a
red,bone,a,a
oil,barrel,a,an
shirt,top,a,a
purple,frog,a,a
children,book,a,a
purple,bubble,a,a
sweet,potato,a,a
village,hall,a,a
lacrosse,stick,a,a
snake,tongue,a,a
bread,knife,a,a
bake,cookie,a,a
hare,lip,a,a
pink,pants,NA,NA
red,lip,a,a
batman,shoe,a,a
dark,room,a,a
dark,paint,NA,NA
dinosaur,egg,an,a
wooden,horse,a,a
oval,circle,a,an
kid,game,a,a
purple,basket,a,a
purple,bead,a,a
orange,tiger,a,an
hot,corn,a,a
ballet,dress,a,a
fish,puppet,a,a
purple,patch,a,a
green,bear,a,a
bread,dough,NA,NA
grey,hair,NA,NA
document,file,a,a
bedroom,flat,a,a
yellow,kite,a,a
pitcher,glove,a,a
ink,pad,a,an
mouse,ear,an,a
pink,cup,a,a
red,belly,a,a
orange,crayon,a,an
ankle,boot,a,an
dog,bun,a,a
bus,puzzle,a,a
green,leg,a,a
dirty,food,NA,NA
hamburger,bun,a,a
soccer,ball,a,a
jean,jacket,a,a
green,chair,a,a
yellow,stick,a,a
leaf,pile,a,a
red,luggage,NA,NA
orange,sequin,a,an
dirty,garbage,NA,NA
wash,cloth,a,a
green,bubble,a,a
upstairs,toy,a,an
balloon,popping,a,a
yellow,mountain,a,a
water,line,a,a
top,piece,a,a
straw,cup,a,a
red,lead,a,a
snack,boy,a,a
circle,puzzle,a,a
banana,chip,a,a
apple,cider,NA,NA
snowman,melt,a,a
skate,board,a,a
grocery,warehouse,a,a
wheel,chair,a,a
baby,bag,a,a
wood,box,a,a
car,ferry,a,a
red,tights,NA,NA
smiley,face,a,a
crystal,piece,a,a
cherry,vanilla,NA,NA
bath,room,a,a
yellow,match,a,a
student,nurse,a,a
baby,cat,a,a
orange,ball,a,an
firehouse,lunch,a,a
red,tractor,a,a
bowling,alley,an,a
snow,ball,a,a
pink,teddy,a,a
toy,man,a,a
purple,mouse,a,a
baby,bath,a,a
green,house,a,a
red,dandelion,a,a
frozen,shoulder,a,a
hot,milk,NA,NA
vinegar,bottle,a,a
color,book,a,a
company,software,NA,NA
red,border,a,a
oak,tree,a,an
music,note,a,a
mommy,hair,NA,NA
top,branch,a,a
burglar,alarm,an,a
office,key,a,an
green,toe,a,a
movie,channel,a,a
dune,buggy,a,a
yellow,green,NA,NA
red,pig,a,a
exterior,light,a,an
plastics,company,a,a
yellow,chalk,NA,NA
baby,clothes,NA,NA
park,parade,a,a
bike,ride,a,a
car,seat,a,a
hot,doggy,a,a
pink,sock,a,a
green,dress,a,a
sea,shell,a,a
copy,cat,a,a
yellow,square,a,a
wall,drawer,a,a
maple,sugar,NA,NA
snow,hill,a,a
sky,color,a,a
day,school,a,a
vanilla,wafer,a,a
peacock,feather,a,a
flat,fish,a,a
garden,sign,a,a
cream,cheese,NA,NA
hair,barrette,a,a
orange,zebra,a,an
bear,tooth,a,a
cheese,sauce,NA,NA
blood,checker,a,a
bright,leaf,a,a
brown,ale,an,a
red,sifter,a,a
color,leg,a,a
purple,light,a,a
wrap,present,a,a
frozen,lip,a,a
puppy,bark,a,a
letter,side,a,a
model,girl,a,a
horse,shoeing,a,a
coal,block,a,a
green,triangle,a,a
red,cap,a,a
rectangle,door,a,a
purple,submarine,a,a
orange,bud,a,an
mommy,parrot,a,a
belly,button,a,a
round,carpet,a,a
orange,noodle,a,an
baby,tooth,a,a
plastic,lid,a,a
rain,umbrella,an,a
shore,island,an,a
brown,guy,a,a
cigarette,smoking,NA,NA
green,pea,a,a
bear,cookie,a,a
picnic,blanket,a,a
tobacco,jar,a,a
baby,girl,a,a
outside,toy,a,an
pointy,fish,a,a
shoe,rack,a,a
bubble,game,a,a
head,pirate,a,a
web,site,a,a
gold,medal,a,a
brake,dust,NA,NA
mama,deer,a,a
bicycle,store,a,a
orange,peach,a,an
red,seat,a,a
hay,stack,a,a
brown,trunk,a,a
brush,handle,a,a
family,room,a,a
orange,letter,a,an
grassy,field,a,a
fish,fin,a,a
stegosaurus,strike,a,a
knight,costume,a,a
executive,committee,a,an
potato,scoop,a,a
red,star,a,a
cannon,ball,a,a
flat,house,a,a
trash,can,a,a
yellow,blanket,a,a
green,shovel,a,a
cardboard,house,a,a
round,wall,a,a
red,edge,an,a
orange,train,a,an
wooden,leg,a,a
pink,bottle,a,a
tip,toe,a,a
purple,crayon,a,a
building,marker,a,a
red,card,a,a
mommy,hand,a,a
tea,pickle,a,a
baby,alligator,an,a
jelly,bagel,a,a
hot,stove,a,a
cable,run,a,a
purple,reindeer,a,a
yellow,roller,a,a
green,yogurt,NA,NA
grey,label,a,a
pink,scarf,a,a
hairless,cat,a,a
hand,washing,NA,NA
teen,movie,a,a
fuel,tank,a,a
brown,monkey,a,a
red,pea,a,a
apple,core,a,an
walking,stick,a,a
fuzzy,blanket,a,a
wet,hand,a,a
red,bow,a,a
slave,driver,a,a
yellow,leg,a,a
organ,pipe,a,an
farmer,man,a,a
pink,rectangle,a,a
ear,hole,a,an
ice,box,a,an
yogurt,raisin,a,a
pink,lip,a,a
grey,cap,a,a
orange,button,a,an
dark,glasses,NA,NA
top,model,a,a
floor,tiling,NA,NA
fruit,cake,a,a
squirt,guns,a,a
pencil,case,a,a
purple,shovel,a,a
red,rod,a,a
yellow,triangle,a,a
red,leaf,a,a
red,square,a,a
dark,yard,a,a
dance,floor,a,a
furry,puppy,a,a
orange,container,a,an
daddy,picture,a,a
pickle,sandwich,a,a
station,sign,a,a
sweet,packet,a,a
bright,hair,NA,NA
fire,engine,an,a
whale,shark,a,a
bald,eagle,an,a
square,piece,a,a
cream,sandwich,a,a
locked,door,a,a
yellow,elephant,an,a
bubble,clown,a,a
toy,board,a,a
scout,tent,a,a
yellow,piggie,a,a
green,fish,a,a
giant,one,a,a
market,day,a,a
school,call,a,a
acid,soil,NA,NA
sweet,person,a,a
quarter,motor,a,a
granola,bar,a,a
bunny,hole,a,a
wine,purse,a,a
freeze,tag,a,a
yellow,colors,a,a
boy,drink,a,a
finger,food,NA,NA
purple,ark,an,a
boat,singing,NA,NA
bloody,day,a,a
pottery,room,a,a
chicken,mushroom,a,a
giant,potato,a,a
color,orange,an,a
round,glasses,NA,NA
wildlife,park,a,a
child,seat,a,a
sweet,home,a,a
hair,day,a,a
dozen,egg,an,a
doggy,bin,a,a
dinosaur,blanket,a,a
wall,light,a,a
school,playground,a,a
red,bead,a,a
paper,boy,a,a
purple,worm,a,a
sleep,walking,NA,NA
dirty,car,a,a
blind,mommy,a,a
sugar,spoon,a,a
key,lock,a,a
dirty,pillow,a,a
kitchen,light,a,a
night,cream,NA,NA
round,tablet,a,a
tennis,ball,a,a
green,scissors,NA,NA
grilled,cheese,NA,NA
rainbow,parrot,a,a
pool,table,a,a
call,box,a,a
female,crab,a,a
board,book,a,a
bridesmaid,dress,a,a
oatmeal,breakfast,a,an
teddy,snack,a,a
red,cone,a,a
cheese,sandwich,a,a
mama,duck,a,a
round,penny,a,a
chain,saw,a,a
holly,leaf,a,a
ginger,wine,NA,NA
flat,floor,a,a
woman,sitting,a,a
kettle,boiling,NA,NA
grassy,piece,a,a
flower,border,a,a
yellow,star,a,a
oil,taste,a,an
orange,taste,a,an
steam,roller,a,a
jazz,band,a,a
fish,net,a,a
baby,dinosaur,a,a
furry,duck,a,a
dance,room,a,a
green,diamond,a,a
alligator,green,NA,NA
soy,milk,NA,NA
fuzzy,poodle,a,a
girl,toy,a,a
orange,tower,a,an
red,face,a,a
shot,guns,a,a
music,box,a,a
fat,leg,a,a
yellow,pail,a,a
baking,bread,NA,NA
cocktail,bar,a,a
pirate,beard,a,a
red,hair,NA,NA
drum,body,a,a
hand,dress,a,a
breakfast,bar,a,a
dough,rise,a,a
seedless,grape,a,a
television,licence,a,a
toy,soldier,a,a
woman,show,a,a
dark,brown,NA,NA
frog,umbrella,an,a
wing,color,a,a
flip,flop,a,a
green,honey,NA,NA
strawberry,milk,NA,NA
dark,food,NA,NA
wet,baby,a,a
bunny,show,a,a
giant,seal,a,a
snack,honey,NA,NA
ferry,boat,a,a
pink,juice,NA,NA
school,day,a,a
navy,sweater,a,a
milk,bottle,a,a
pirate,station,a,a
yellow,shovel,a,a
flower,seed,a,a
picnic,basket,a,a
fish,song,a,a
orange,finger,a,an
paint,stamping,NA,NA
bright,child,a,a
round,knob,a,a
attic,bedroom,a,an
orange,collection,a,an
driving,horse,a,a
thick,one,a,a
fish,cake,a,a
plastic,edging,NA,NA
outside,building,a,an
pie,baking,NA,NA
giant,dog,a,a
singing,song,a,a
cat,food,NA,NA
office,clerk,a,an
guitar,player,a,a
dark,purple,NA,NA
fire,pole,a,a
sweat,shirt,a,a
iron,board,a,an
wooden,stair,a,a
pink,lipstick,NA,NA
green,container,a,a
bubble,gun,a,a
yellow,airplane,an,a
yellow,lion,a,a
back,leg,a,a
leg,bone,a,a
salad,sandwich,a,a
red,gate,a,a
orange,eye,an,an
girl,potty,a,a
dinosaur,arm,an,a
orange,boat,a,an
yellow,marker,a,a
whey,curd,a,a
fat,piggie,a,a
red,box,a,a
office,girl,a,an
gold,sky,a,a
electronics,firm,a,an
chair,seat,a,a
dirty,guy,a,a
metallic,bronze,NA,NA
yellow,arrow,an,a
owl,book,a,an
juice,box,a,a
sweet,granny,a,a
dirty,spoon,a,a
snow,falling,NA,NA
dark,woods,NA,NA
pink,door,a,a
mermaid,leg,a,a
fat,guy,a,a
wooden,shoe,a,a
pink,lemonade,NA,NA
show,office,an,a
dolly,guy,a,a
green,jelly,NA,NA
shoe,museum,a,a
assistant,manager,a,an
green,vacuum,a,a
yellow,track,a,a
skunk,salad,a,a
circle,piece,a,a
top,side,a,a
water,pill,a,a
traffic,light,a,a
puppy,guy,a,a
pink,sandal,a,a
kitty,litter,NA,NA
frown,face,a,a
grey,beard,a,a
gold,cap,a,a
dead,brain,a,a
stand,point,a,a
bear,pants,NA,NA
lunch,plate,a,a
candy,dish,a,a
bunny,mama,a,a
green,paper,a,a
mommy,baby,a,a
octopus,tentacle,a,an
slide,honey,NA,NA
yellow,bin,a,a
fat,girl,a,a
draw,prize,a,a
round,hole,a,a
fire,side,a,a
grilled,sandwich,a,a
purple,screw,a,a
flat,one,a,a
rain,shower,a,a
wooden,trough,a,a
road,racing,NA,NA
orange,grey,NA,NA
daddy,dinosaur,a,a
shop,floor,a,a
potato,salad,a,a
gold,necklace,a,a
family,day,a,a
mommy,talk,a,a
throw,pillow,a,a
baby,powder,NA,NA
spray,bubble,a,a
pink,purse,a,a
onion,sandwich,a,an
rum,truffle,a,a
pink,leg,a,a
kid,book,a,a
leather,case,a,a
orange,hand,a,an
green,tea,NA,NA
giant,fire,NA,NA
book,sticker,a,a
lollipop,wand,a,a
forty,eight,an,a
gram,jar,a,a
coffee,pot,a,a
tile,pattern,a,a
green,truck,a,a
baby,dish,a,a
cloth,heart,a,a
fruit,punch,a,a
dark,ring,a,a
green,eel,an,a
hamburger,meat,NA,NA
back,hoe,a,a
hot,tank,a,a
yellow,shelf,a,a
purple,pear,a,a
sweet,shrimp,NA,NA
mud,pot,a,a
bell,sticker,a,a
brandy,butter,NA,NA
pink,car,a,a
spanking,spot,a,a
yellow,grey,NA,NA
ball,player,a,a
checkout,girl,a,a
cut,bread,NA,NA
plastic,wrap,a,a
cooking,chocolate,NA,NA
orange,belt,a,an
purple,pickle,a,a
yellow,fat,NA,NA
wheat,cookie,a,a
oyster,cracker,a,an
elephant,scale,a,an
yellow,cap,a,a
oval,piece,a,an
flag,drawer,a,a
elephant,toy,a,an
grocery,list,a,a
red,diamond,a,a
outside,wind,NA,NA
sail,boat,a,a
round,wheel,a,a
bunny,slipper,a,a
hot,sandwich,a,a
cub,group,a,a
gym,shoe,a,a
brother,bunny,a,a
orange,car,a,an
banana,sundae,a,a
ladies,mother,a,a
pirate,land,NA,NA
beetle,family,a,a
door,casing,a,a
mauve,ring,a,a
hot,book,a,a
nut,juice,NA,NA
octopus,talon,a,an
cash,book,a,a
motor,bridge,a,a
oatmeal,raisin,a,an
red,digger,a,a
page,boy,a,a
metal,edge,an,a
top,butter,NA,NA
bright,boy,a,a
round,sun,NA,NA
car,tire,a,a
gas,man,a,a
green,spoon,a,a
hail,storm,a,a
yellow,noodle,a,a
taller,tower,a,a
uniform,skirt,a,a
sunset,sky,a,a
firework,factory,a,a
naked,girl,a,a
fish,stick,a,a
red,cow,a,a
pink,nose,a,a
fat,bird,a,a
red,corner,a,a
green,hand,a,a
yellow,coat,a,a
forty,inch,an,a
pink,eye,an,a
pink,hippo,a,a
stain,varnish,NA,NA
hot,blanket,a,a
house,spider,a,a
swimming,pool,a,a
mama,hat,a,a
taller,ceiling,a,a
police,guard,a,a
giant,sundial,a,a
putty,hand,a,a
mud,trail,a,a
circus,baby,a,a
furry,guy,a,a
oatmeal,bowl,a,an
green,heart,a,a
sugar,fat,NA,NA
orange,structure,a,an
hot,whisky,NA,NA
outside,theater,a,an
grey,snow,NA,NA
phone,call,a,a
bug,book,a,a
charcoal,grill,a,a
stairs,toy,a,a
purple,sandbox,a,a
frog,hat,a,a
yellow,radiator,a,a
purple,chalk,NA,NA
green,turtle,a,a
chocolate,dough,NA,NA
pink,edge,an,a
girl,bunny,a,a
tennis,shoe,a,a
pork,chop,a,a
pillar,box,a,a
orange,juice,NA,NA
plastic,wateringcan,a,a
pink,shirt,a,a
muffin,man,a,a
dragon,piece,a,a
bar,lounge,a,a
baby,carrot,a,a
corn,cookie,a,a
cream,cone,a,a
mama,lion,a,a
plant,house,a,a
light,weight,a,a
bear,costume,a,a
cheese,bag,a,a
dirty,floor,a,a
yellow,crayon,a,a
fish,seafood,NA,NA
picture,window,a,a
goldfish,jumping,NA,NA
bowler,hat,a,a
draw,ticket,a,a
hive,bee,a,a
smoke,tablet,a,a
baby,puppy,a,a
picture,card,a,a
child,person,a,a
green,tree,a,a
cheese,stick,a,a
fork,lift,a,a
peach,cobbler,a,a
toast,cheese,NA,NA
purple,grey,NA,NA
shoe,shop,a,a
orange,tractor,a,an
flat,box,a,a
yellow,lemon,a,a
toy,house,a,a
red,gravy,NA,NA
grill,pan,a,a
toy,block,a,a
bear,face,a,a
terrace,house,a,a
red,plate,a,a
apple,pie,a,an
hot,food,NA,NA
wooden,box,a,a
daddy,tiger,a,a
green,sword,a,a
fatty,lady,a,a
rain,forest,a,a
jelly,bean,a,a
casserole,dish,a,a
baby,seat,a,a
butt,cheek,a,a
licorice,snack,a,a
green,box,a,a
hot,cream,NA,NA
wood,chip,a,a
cooking,meal,a,a
round,puzzle,a,a
magnet,toy,a,a
sketchbook,pad,a,a
slippery,bug,a,a
phone,card,a,a
puzzle,game,a,a
sleeveless,suit,a,a
dark,orange,an,a
camping,school,a,a
daddy,bear,a,a
fish,dinner,a,a
room,closet,a,a
purple,arm,an,a
calendar,date,a,a
pink,cookie,a,a
trash,bin,a,a
honey,bee,a,a
yellow,honey,NA,NA
pinky,toe,a,a
bright,colors,a,a
red,truck,a,a
rail,road,a,a
hot,date,a,a
light,grate,a,a
dead,cereal,NA,NA
letter,factory,a,a
baby,animal,an,a
yellow,lemonade,NA,NA
green,paint,NA,NA
lawn,mower,a,a
tape,head,a,a
dill,pickle,a,a
chocolate,frog,a,a
mud,pit,a,a
green,grey,NA,NA
rusty,nail,a,a
text,book,a,a
sunny,road,a,a
hand,motor,a,a
machine,smock,a,a
lego,boy,a,a
film,star,a,a
sugar,mama,a,a
baby,ice,NA,NA
red,shirt,a,a
paint,tray,a,a
fat,finger,a,a
umbrella,stick,a,an
orange,apple,an,an
toddler,toy,a,a
mama,bear,a,a
sugar,cookie,a,a
pink,limousine,a,a
yellow,butterfly,a,a
round,side,a,a
turtle,brown,NA,NA
ball,bat,a,a
pussy,hair,NA,NA
puppy,blanket,a,a
dead,bug,a,a
color,circle,a,a
hot,oil,NA,NA
rope,walker,a,a
walking,boot,a,a
bird,bath,a,a
family,exercise,an,a
key,chain,a,a
dressing,room,a,a
round,egg,an,a
meat,sandwich,a,a
kissing,hand,a,a
fish,bowl,a,a
bubble,flavor,a,a
spider,leg,a,a
lego,person,a,a
railway,line,a,a
marble,flooring,NA,NA
veggie,cheese,NA,NA
mail,box,a,a
gum,drop,a,a
fish,eye,an,a
bear,hunter,a,a
mutant,toy,a,a
birth,month,a,a
purple,balloon,a,a
purple,phone,a,a
floor,board,a,a
brother,chick,a,a
hot,bag,a,a
record,player,a,a
pink,whale,a,a
dirty,milk,NA,NA
frog,girl,a,a
cream,truck,a,a
feather,painting,a,a
outside,shoe,a,an
red,piece,a,a
strawberry,chocolate,NA,NA
braid,hair,NA,NA
orange,sugar,NA,NA
face,cake,a,a
net,curtain,a,a
lady,toy,a,a
pink,cap,a,a
breaking,limb,a,a
red,tree,a,a
daddy,cow,a,a
painting,bib,a,a
broken,tool,a,a
circus,police,NA,NA
silky,thread,a,a
pink,dress,a,a
crusty,top,a,a
brown,shorts,NA,NA
baby,goat,a,a
fat,milk,NA,NA
foil,tray,a,a
prize,game,a,a
vitamin,pill,a,a
dark,lollipop,a,a
sea,picture,a,a
purple,pepper,a,a
breakfast,cereal,NA,NA
milk,mustache,a,a
red,wine,NA,NA
red,milk,NA,NA
fruit,stall,a,a
fuzzy,flower,a,a
hot,cloth,a,a
junction,box,a,a
yellow,bus,a,a
music,hall,a,a
cooking,breakfast,a,a
fish,game,a,a
girl,deer,a,a
purple,puppy,a,a
brake,drum,a,a
yogurt,juice,NA,NA
baby,owl,an,a
bakery,bread,NA,NA
cheese,slice,a,a
table,leg,a,a
turtle,orange,an,a
conveyor,belt,a,a
fat,marker,a,a
snow,fight,a,a
fishing,hole,a,a
burnt,rubber,NA,NA
hot,honey,NA,NA
snow,night,a,a
hot,sausage,a,a
round,clock,a,a
pear,tree,a,a
green,stool,a,a
pink,stair,a,a
carat,ring,a,a
fur,coat,a,a
skate,boarding,NA,NA
fold,laundry,NA,NA
closet,chair,a,a
giant,belt,a,a
library,tray,a,a
pink,tool,a,a
magazine,rack,a,a
car,station,a,a
sea,turtle,a,a
material,flower,a,a
baby,seal,a,a
pirate,costume,a,a
cow,boy,a,a
yellow,paint,NA,NA
toy,baby,a,a
solid,tape,a,a
yellow,balloon,a,a
wet,face,a,a
orange,hamster,a,an
green,hair,NA,NA
water,kitty,a,a
hot,pattern,a,a
purple,dude,a,a
hot,fan,a,a
bottom,jaw,a,a
gold,bag,a,a
stud,dog,a,a
purple,wiggle,a,a
bright,tomato,a,a
night,raccoon,a,a
marmalade,fish,a,a
wedding,ring,a,a
twin,room,a,a
wiggle,worm,a,a
breakfast,egg,an,a
fishing,rod,a,a
yellow,cup,a,a
foam,piece,a,a
aluminum,rod,a,an
plastic,tray,a,a
gas,mask,a,a
yellow,wing,a,a
hot,ice,NA,NA
paint,shirt,a,a
red,shoe,a,a
coffee,break,a,a
cuckoo,clock,a,a
girl,cup,a,a
toucan,bird,a,a
green,pencil,a,a
family,feast,a,a
circus,bus,a,a
money,machine,a,a
elephant,brooch,a,an
elephant,crying,NA,NA
spiral,grip,a,a
furry,cat,a,a
baby,cup,a,a
paper,cut,a,a
toy,bag,a,a
car,carrier,a,a
tree,top,a,a
fat,cat,a,a
suction,cup,a,a
red,licorice,NA,NA
wet,suit,a,a
hot,car,a,a
outside,piece,a,an
pink,suit,a,a
tennis,racket,a,a
green,cookie,a,a
flying,dragon,a,a
dog,dance,a,a
bunny,jumping,NA,NA
ultrasound,picture,a,an
sliced,potato,a,a
giant,tower,a,a
male,lead,a,a
velvet,slipper,a,a
frog,jump,a,a
push,bike,a,a
face,guy,a,a
ant,block,a,an
tile,floor,a,a
bouncing,spot,a,a
turtle,hat,a,a
plastic,truck,a,a
baby,eagle,an,a
red,ocean,an,a
ball,man,a,a
wet,road,a,a
furry,coach,a,a
red,bracelet,a,a
red,candy,NA,NA
shower,curtain,a,a
jacket,top,a,a
cough,drop,a,a
fish,egg,an,a
picnic,table,a,a
elf,talk,a,an
one,piece,a,a
yellow,ribbon,a,a
yellow,feather,a,a
red,juice,NA,NA
worm,poop,NA,NA
home,page,a,a
strawberry,yogurt,NA,NA
triangle,toast,NA,NA
sperm,cell,a,a
puppy,print,a,a
bottom,light,a,a
red,gym,a,a
green,carrot,a,a
yellow,knee,a,a
purple,footprint,a,a
hot,shake,a,a
teddy,home,a,a
twin,tub,a,a
diaper,baby,a,a
back,plate,a,a
hot,piece,a,a
red,bottom,a,a
red,tongue,a,a
ball,bunny,a,a
red,green,NA,NA
bear,growl,a,a
door,speaker,a,a
purple,room,a,a
prawn,cocktail,a,a
boy,bed,a,a
