adjective,noun,most_common_feature,most_common_feature_rating
peppermint,candy,chocolate,4
,,,
dirty,baby,clean,5
,,,
brown,mud,brown,7
,,,
food,board,NA,NA
,,,
slot,machine,washing,4
,,,
yellow,door,white,5
,,,
dirty,diaper,clean,5
,,,
roast,potato,boiled,4
,,,
red,handle,metal,5
,,,
water,drip,water,7
,,,
puppet,show,tv,6
,,,
yellow,bucket,plastic,4
,,,
yellow,banana,yellow,6
,,,
pink,tutu,pink,6
,,,
solar,battery,alkaline,6
,,,
ice,cream,NA,NA
,,,
sugar,dough,bread,5
,,,
barbecue,recipe,dinner,4
,,,
orange,flag,national,6
,,,
bunny,sleep,night,6
,,,
box,toy,plastic,5
,,,
dirt,road,asphalt,5
,,,
orange,dot,black,4
,,,
tape,player,mp3,4
,,,
broken,egg,whole,6
,,,
daddy,foot,NA,NA
,,,
mommy,chin,NA,NA
,,,
green,coat,black,5
,,,
night,moon,night,6
,,,
brown,suite,white,4
,,,
giant,committee,small,5
,,,
sweet,honey,sweet,7
,,,
school,room,living,4
,,,
giant,skyscraper,tall,7
,,,
trash,book,good,6
,,,
top,row,middle,4
,,,
pink,coat,black,5
,,,
mud,pile,laundry,4
,,,
mommy,worm,NA,NA
,,,
farm,cat,house,6
,,,
crayon,pile,laundry,4
,,,
green,melon,orange,5
,,,
aloe,plant,fern,3
,,,
icy,coast,sandy,5
,,,
refrigerator,door,oven,5
,,,
baby,pig,adult,6
,,,
fire,grate,drain,5
,,,
yellow,flag,NA,NA
,,,
baby,wipe,hand,5
,,,
engine,train,passenger,5
,,,
fuzzy,peach,fuzzy,6
,,,
dirty,straw,clean,6
,,,
bleach,water,tap,6
,,,
fishing,pole,telephone,4
,,,
snow,shovel,dirt,5
,,,
oven,top,NA,NA
,,,
yellow,reindeer,brown,6
,,,
red,man,white,3
,,,
girl,doctor,boy,5
,,,
fat,doctor,average,5
,,,
brain,rot,NA,NA
,,,
red,hand,NA,NA
,,,
fat,face,average,5
,,,
knee,joint,NA,NA
,,,
food,processor,computer,5
,,,
committee,report,business,5
,,,
dirty,one,NA,NA
,,,
green,hoop,NA,NA
,,,
wet,washing,wet,6
,,,
top,oven,NA,NA
,,,
strawberry,juice,orange,5
,,,
cheddar,cracker,plain,5
,,,
slipper,sock,cotton,5
,,,
capital,letter,lowercase,6
,,,
ground,almond,whole,5
,,,
vanilla,pudding,chocolate,4
,,,
shower,tray,serving,5
,,,
tracksuit,bottom,NA,NA
,,,
dirty,park,clean,5
,,,
green,door,white,5
,,,
sweet,boy,NA,NA
,,,
red,reindeer,brown,6
,,,
red,train,grey,5
,,,
broken,leg,unbroken,5
,,,
brown,gravy,brown,7
,,,
smoke,salmon,unsmoked,6
,,,
cigarette,carton,milk,5
,,,
brass,drum,wood,4
,,,
baby,booty,baby,5
,,,
dirty,shirt,clean,6
,,,
purple,triangle,black,5
,,,
bright,moonlight,dim,6
,,,
icecream,scoop,NA,NA
,,,
sliced,cheese,block,5
,,,
sweet,cocoa,bitter,6
,,,
van,window,house,6
,,,
bunny,clothes,human,7
,,,
orange,tail,brown,5
,,,
bead,string,NA,NA
,,,
mirror,piece,puzzle,5
,,,
yellow,guy,white,3
,,,
food,bowl,food,6
,,,
red,foot,white,3
,,,
bird,nest,bird,6
,,,
color,clothes,NA,NA
,,,
elephant,puzzle,landscape,5
,,,
window,frame,picture,5
,,,
pink,snail,brown,5
,,,
blind,mom,sighted,6
,,,
teddy,workshop,wood,5
,,,
rabbit,stew,beef,5
,,,
purple,horn,white,6
,,,
puzzle,book,fiction,6
,,,
farm,animal,wild,5
,,,
tiger,baby,human,3
,,,
wet,whisker,dry,6
,,,
tube,company,NA,NA
,,,
steel,worker,office,5
,,,
yellow,brush,NA,NA
,,,
orange,leg,white,3
,,,
green,spider,black,6
,,,
jump,rope,NA,NA
,,,
bright,beak,yellow,5
,,,
brown,path,grey,5
,,,
naked,person,clothed,6
,,,
furry,bear,furry,7
,,,
green,cactus,green,7
,,,
soldier,crab,hermit,3
,,,
purple,turtle,green,6
,,,
plastic,metal,NA,NA
,,,
juicy,meat,juicy,6
,,,
yellow,rake,NA,NA
,,,
pink,pig,pink,6
,,,
mama,elephant,animal,6
,,,
baby,sock,adult,6
,,,
green,shell,white,4
,,,
room,clock,wall,6
,,,
fish,skeleton,human,3
,,,
mutton,head,human,3
,,,
strawberry,color,NA,NA
,,,
chicken,coop,chicken,6
,,,
curtain,ring,finger,5
,,,
manor,ground,public,4
,,,
hill,riding,road,5
,,,
paddle,wheel,NA,NA
,,,
country,mouse,house,5
,,,
purple,saber,silver,5
,,,
red,kite,NA,NA
,,,
baby,monkey,adult,5
,,,
rubber,book,paper,7
,,,
sun,block,sun,6
,,,
mantel,fire,wood,5
,,,
porcelain,doll,plastic,5
,,,
cut,dude,average,5
,,,
quarter,moon,full,4
,,,
pink,pickle,green,7
,,,
silver,packet,plastic,5
,,,
bear,cub,bear,5
,,,
broken,tv,working,5
,,,
poison,apple,edible,7
,,,
stroller,baby,crib,4
,,,
solid,path,solid,5
,,,
top,penthouse,top,5
,,,
red,planet,brown,5
,,,
cookie,day,work,4
,,,
noodle,soup,vegetable,5
,,,
television,actress,movie,5
,,,
solid,line,solid,6
,,,
baby,raccoon,adult,6
,,,
frame,chip,potato,6
,,,
bright,punch,red,5
,,,
yellow,saddle,brown,5
,,,
mommy,doggie,pet,5
,,,
cinnamon,roll,bread,5
,,,
foot,ball,NA,NA
,,,
puzzle,maker,NA,NA
,,,
purple,teddy,brown,6
,,,
room,slipper,foot,6
,,,
wood,cylinder,metal,5
,,,
pink,scooter,grey,5
,,,
manual,gear,automatic,5
,,,
concrete,floor,wood,5
,,,
yellow,mouth,pink,4
,,,
plant,debris,trash,5
,,,
shield,brooch,flower,4
,,,
outside,soccer,outside,5
,,,
upstairs,sleeping,NA,NA
,,,
ladybug,toy,NA,NA
,,,
tonic,glass,water,6
,,,
fish,pie,fruit,4
,,,
purple,bug,black,6
,,,
red,jacket,black,5
,,,
flower,piece,puzzle,3
,,,
tissue,paper,writing,5
,,,
city,mouse,field,4
,,,
dark,shadow,dark,7
,,,
green,toy,NA,NA
,,,
wet,bucket,dry,6
,,,
sister,game,NA,NA
,,,
bottom,hair,NA,NA
,,,
frog,book,human,7
,,,
juicy,worm,juicy,6
,,,
diving,dummy,standing,6
,,,
purple,flag,NA,NA
,,,
snow,tiger,orange,6
,,,
dark,tunnel,dark,6
,,,
umbrella,tree,NA,NA
,,,
fuzzy,bone,smooth,6
,,,
glass,slipper,silk,4
,,,
dinosaur,hunter,deer,5
,,,
shop,book,NA,NA
,,,
sister,church,sister,6
,,,
color,block,wood,5
,,,
baby,person,adult,6
,,,
dark,chap,white,3
,,,
green,bone,white,7
,,,
ocean,world,land,6
,,,
wet,man,dry,6
,,,
purple,guy,white,3
,,,
broken,pen,working,5
,,,
solid,hedge,solid,6
,,,
green,bag,white,5
,,,
fish,hook,fish,5
,,,
yellow,glasses,clear,6
,,,
sea,horse,NA,NA
,,,
wooden,table,wooden,5
,,,
yellow,sheet,white,6
,,,
jet,engine,car,5
,,,
night,star,night,7
,,,
color,grey,NA,NA
,,,
country,lane,paved,5
,,,
orange,rock,grey,6
,,,
bank,account,bank,5
,,,
train,table,NA,NA
,,,
dead,dad,alive,alive
,,,
group,secretary,personal,5
,,,
basket,game,video,4
,,,
yellow,girl,white,3
,,,
mucus,sack,plastic,6
,,,
dirty,tank,clean,5
,,,
brown,bag,white,5
,,,
marble,hearth,brick,4
,,,
box,cooler,plastic,5
,,,
movie,puppet,real,6
,,,
cigarette,smoke,wood,4
,,,
dinosaur,leg,ant,4
,,,
green,glove,blue,5
,,,
baby,nose,adult,5
,,,
dead,battery,charged,5
,,,
car,mat,house,4
,,,
dead,ant,alive,5
,,,
lemon,chicken,orange,5
,,,
giant,bomb,medium,4
,,,
round,cracker,square,5
,,,
brown,person,white,3
,,,
library,ticket,NA,NA
,,,
lobster,pot,chicken,5
,,,
brown,writing,black,6
,,,
round,scissors,pointed,6
,,,
red,tape,clear,5
,,,
bunny,ear,human,3
,,,
baby,rabbit,adult,5
,,,
school,report,business,5
,,,
red,puck,black,6
,,,
green,uniform,NA,NA
,,,
top,line,NA,NA
,,,
wax,coat,leather,5
,,,
rocky,truck,smooth,5
,,,
yellow,hand,white,3
,,,
giant,caterpillar,medium,5
,,,
brown,belt,brown,5
,,,
baby,giraffe,adult,6
,,,
animal,puzzle,NA,NA
,,,
plant,food,plant,5
,,,
gym,teacher,gym,5
,,,
pink,boot,brown,6
,,,
bike,riding,bike,5
,,,
bath,toy,bath,4
,,,
money,broker,stock,6
,,,
round,mark,round,5
,,,
knuckle,head,NA,NA
,,,
crusty,loaf,uncrusty,5
,,,
video,store,NA,NA
,,,
toilet,seat,toilet,5
,,,
sweet,girl,sweet,5
,,,
toe,soup,normal,5
,,,
icy,drink,cool,5
,,,
tooth,brush,tooth,4
,,,
diamond,piece,plastic,5
,,,
dirty,key,clean,5
,,,
purple,cocoon,NA,NA
,,,
princess,sticker,NA,NA
,,,
purple,coat,black,5
,,,
gum,tree,NA,NA
,,,
top,prize,middle,5
,,,
lunch,break,lunch,4
,,,
giant,cloud,medium,5
,,,
planet,earth,planet,7
,,,
fire,hose,water,7
,,,
fat,chap,medium,5
,,,
mother,pig,NA,NA
,,,
red,pants,grey,5
,,,
purple,button,clear,5
,,,
baby,gorilla,adult,5
,,,
sleeping,dolphin,awake,6
,,,
solid,bronze,solid,6
,,,
scrap,paper,used,5
,,,
girl,bike,NA,NA
,,,
bean,plant,fern,3
,,,
purple,wing,white,6
,,,
sweet,heart,NA,NA
,,,
farmer,market,farmer,3
,,,
dirty,truck,clean,5
,,,
brown,marker,black,5
,,,
painting,shirt,everyday,5
,,,
flat,table,flat,5
,,,
boiling,pot,cool,6
,,,
colored,dot,NA,NA
,,,
yellow,rubber,black,5
,,,
red,boat,white,5
,,,
standing,penguin,standing,6
,,,
cat,hair,human,3
,,,
roof,rack,NA,NA
,,,
bean,sprout,NA,NA
,,,
whale,song,human,6
,,,
red,turtle,green,7
,,,
red,penguin,black,5
,,,
parmesan,cheese,cheddar,5
,,,
hill,top,hill,3
,,,
cottage,cheese,cheddar,5
,,,
dark,rock,dark,5
,,,
round,corner,sharp,5
,,,
cake,baby,NA,NA
,,,
yellow,outfit,black,5
,,,
shave,rash,NA,NA
,,,
scrap,heap,NA,NA
,,,
air,push,NA,NA
,,,
girl,hair,NA,NA
,,,
shoe,polish,shoe,4
,,,
red,whale,grey,5
,,,
sweet,pie,sweet,5
,,,
bald,boy,hairy,6
,,,
stone,coating,NA,NA
,,,
truck,mom,car,6
,,,
orange,kitten,NA,NA
,,,
giant,head,medium,5
,,,
daddy,horse,daddy,5
,,,
roller,coaster,roller,6
,,,
frozen,room,cool,5
,,,
gold,dust,NA,NA
,,,
pink,carpet,grey,5
,,,
juicy,pineapple,juicy,5
,,,
red,book,brown,5
,,,
wooden,piece,NA,NA
,,,
water,bucket,water,5
,,,
night,bird,day,6
,,,
tap,dance,tap,5
,,,
bread,crust,NA,NA
,,,
floor,archway,NA,NA
,,,
shark,game,human,7
,,,
hot,radiator,hot,5
,,,
boy,baby,NA,NA
,,,
paper,towel,paper,6
,,,
stage,spot,NA,NA
,,,
bible,book,bible,2
,,,
purple,handle,NA,NA
,,,
star,red,NA,NA
,,,
green,snake,green,5
,,,
purple,train,grey,3
,,,
beetle,game,human,7
,,,
garden,tree,wild,6
,,,
thick,soup,medium,5
,,,
river,shack,NA,NA
,,,
red,machine,NA,NA
,,,
stomach,bug,NA,NA
,,,
strawberry,cookie,NA,NA
,,,
pink,fur,brown,5
,,,
color,purple,color,7
,,,
meal,guy,NA,NA
,,,
orange,truck,NA,NA
,,,
tin,can,tin,5
,,,
daddy,lion,single,4
,,,
sweet,guy,sweet,5
,,,
rocket,ship,ocean,6
,,,
copper,dagger,steel,5
,,,
brick,wall,brick,5
,,,
camp,fire,NA,NA
,,,
purple,water,blue,6
,,,
air,conditioner,air,6
,,,
throw,ball,throw,4
,,,
ham,ball,plastic,6
,,,
red,railing,NA,NA
,,,
solid,color,solid,5
,,,
bulletin,board,NA,NA
,,,
yellow,metal,grey,6
,,,
wood,basket,wood,5
,,,
grey,clay,grey,5
,,,
dirty,mitt,clean,5
,,,
glass,door,wood,5
,,,
green,cup,NA,NA
,,,
mommy,movie,NA,NA
,,,
orange,ear,white,3
,,,
orange,piece,NA,NA
,,,
human,race,human,3
,,,
baseball,bat,baseball,4
,,,
hot,grease,cool,5
,,,
grill,cheese,NA,NA
,,,
golf,ball,golf,3
,,,
water,plant,water,7
,,,
yellow,hose,green,4
,,,
string,bean,NA,NA
,,,
cow,manure,human,3
,,,
swim,trunk,swim,5
,,,
bleeding,phone,whole,6
,,,
gum,flavor,NA,NA
,,,
giant,yogurt,medium,5
,,,
heart,sweet,NA,NA
,,,
roll,shot,NA,NA
,,,
blueberry,juice,orange,5
,,,
green,grass,green,6
,,,
slope,testing,NA,NA
,,,
wrestling,guy,normal,6
,,,
squirt,gun,bullet,5
,,,
smoke,alarm,smoke,5
,,,
phone,box,phone,5
,,,
stock,room,bath,3
,,,
bamboo,shoot,bamboo,2
,,,
red,hat,NA,NA
,,,
hippopotamus,face,human,4
,,,
yellow,moon,white,4
,,,
hand,print,machine,6
,,,
snow,flake,snow,6
,,,
hot,cookie,cool,5
,,,
pterodactyl,leg,human,3
,,,
derby,girl,NA,NA
,,,
baby,beluga,adult,5
,,,
fence,post,fence,5
,,,
pink,bag,white,5
,,,
purple,shirt,grey,5
,,,
calendar,book,calendar,5
,,,
juicy,fruit,juicy,4
,,,
gold,key,silver,4
,,,
purple,girl,white,3
,,,
till,receipt,NA,NA
,,,
back,fence,NA,NA
,,,
green,frog,green,5
,,,
kid,person,adult,6
,,,
sweet,mama,sweet,5
,,,
rain,day,sunny,4
,,,
baby,platypus,adult,6
,,,
green,mat,brown,4
,,,
spa,camera,store,4
,,,
piggy,ride,horse,6
,,,
poker,game,poker,4
,,,
box,tape,NA,NA
,,,
ballet,skirt,NA,NA
,,,
plastic,bag,plastic,5
,,,
green,water,blue,5
,,,
orange,fish,blue,5
,,,
onion,stuffing,bread,4
,,,
bow,honey,NA,NA
,,,
water,ride,NA,NA
,,,
stuffed,crocodile,NA,NA
,,,
purple,pony,brown,5
,,,
orange,lip,pink,5
,,,
bear,eye,human,5
,,,
yellow,duck,brown,5
,,,
pumpkin,bread,wheat,5
,,,
locked,gate,locked,6
,,,
green,plate,white,6
,,,
pink,balloon,red,5
,,,
flaming,desk,NA,NA
,,,
sheet,pan,NA,NA
,,,
yellow,milk,white,5
,,,
boat,person,NA,NA
,,,
candy,apple,fruit,7
,,,
purple,juice,grape,4
,,,
wire,hair,organic,7
,,,
chest,paddling,NA,NA
,,,
day,person,day,5
,,,
red,dinosaur,green,3
,,,
brown,oatmeal,beige,6
,,,
dark,picture,light,5
,,,
glue,stick,wood,6
,,,
boy,doctor,man,5
,,,
dark,rabbit,white,5
,,,
dragon,bear,NA,NA
,,,
bear,track,human,6
,,,
hot,desert,hot,6
,,,
brown,ribbon,NA,NA
,,,
dirty,suit,clean,6
,,,
door,frame,door,4
,,,
pink,fan,white,5
,,,
parent,girl,childless,6
,,,
hen,egg,hen,5
,,,
bear,head,human,3
,,,
pumpkin,muffin,orange,5
,,,
plastic,sack,NA,NA
,,,
soapy,water,clean,6
,,,
pink,makeup,white,5
,,,
turtle,purple,NA,NA
,,,
plastic,grid,metal,5
,,,
pearl,ribbon,NA,NA
,,,
wooden,side,NA,NA
,,,
apple,cinnamon,NA,NA
,,,
piggy,toe,human,3
,,,
swamp,land,dry,6
,,,
bathroom,suite,NA,NA
,,,
dirty,tractor,clean,6
,,,
thick,tights,thin,5
,,,
red,sun,yellow,5
,,,
red,crab,red,5
,,,
dirty,mess,dirty,6
,,,
baby,chick,baby,7
,,,
fridge,door,oven,6
,,,
doggy,food,human,4
,,,
brown,beard,grey,4
,,,
purple,bear,black,5
,,,
giant,creature,medium,5
,,,
yellow,octagon,red,5
,,,
dark,mulch,dark,6
,,,
green,light,yellow,5
,,,
church,warden,NA,NA
,,,
varnish,stain,NA,NA
,,,
square,pretzel,twisted,6
,,,
red,ruby,red,7
,,,
solid,food,solid,6
,,,
hot,pipe,cool,4
,,,
green,balloon,red,5
,,,
muffin,pan,cake,4
,,,
orange,green,NA,NA
,,,
milk,pint,milk,5
,,,
bathroom,ceiling,NA,NA
,,,
ear,drum,ear,5
,,,
thick,cheese,block,5
,,,
mud,pool,water,6
,,,
orange,peel,orange,4
,,,
red,bell,NA,NA
,,,
red,eye,brown,5
,,,
purple,robe,NA,NA
,,,
snare,drum,NA,NA
,,,
riding,horse,NA,NA
,,,
bunny,costume,NA,NA
,,,
baby,voice,adult,5
,,,
steam,engine,NA,NA
,,,
purple,corner,NA,NA
,,,
saucepan,lid,pan,5
,,,
pink,slipper,grey,5
,,,
brown,wing,white,6
,,,
fence,door,fence,5
,,,
red,bridge,grey,6
,,,
orange,carrot,orange,7
,,,
car,engine,car,5
,,,
wet,wipe,wet,6
,,,
fish,meal,human,5
,,,
yellow,marble,white,6
,,,
blood,vessel,NA,NA
,,,
marble,painting,NA,NA
,,,
yellow,mustache,brown,5
,,,
linen,closet,clothes,6
,,,
sticker,book,NA,NA
,,,
red,clock,white,5
,,,
candy,man,NA,NA
,,,
window,sill,window,5
,,,
mulberry,bush,NA,NA
,,,
blueberry,tea,apple,4
,,,
green,square,NA,NA
,,,
scavenger,hunt,scavenger,5
,,,
green,tube,NA,NA
,,,
gulf,stream,water,5
,,,
green,tummy,white,3
,,,
blood,check,skin,5
,,,
dirty,town,clean,5
,,,
baby,bubble,NA,NA
,,,
outside,basket,inside,6
,,,
bed,explorer,outside,6
,,,
telephone,point,NA,NA
,,,
wood,worm,flesh,7
,,,
finger,nail,finger,4
,,,
gas,cooking,gas,5
,,,
car,green,NA,NA
,,,
baby,stick,adult,6
,,,
potty,book,library,4
,,,
brown,lettuce,green,6
,,,
fish,dad,human,5
,,,
country,music,pop,4
,,,
fire,hydrant,fire,6
,,,
sea,baby,land,5
,,,
toy,tub,NA,NA
,,,
colored,worm,NA,NA
,,,
purple,ball,white,4
,,,
mitten,back,NA,NA
,,,
cookie,crumb,bread,5
,,,
plastic,fork,plastic,5
,,,
passenger,train,freight,5
,,,
giant,cat,medium,5
,,,
survey,photograph,NA,NA
,,,
purple,wrapper,white,5
,,,
slam,dunk,normal,5
,,,
pirate,ship,merchant,5
,,,
green,straw,white,5
,,,
giant,squid,small,6
,,,
bald,guy,hair,5
,,,
tomato,sauce,tomato,5
,,,
pink,sweater,NA,NA
,,,
orange,bean,green,5
,,,
sleigh,bell,NA,NA
,,,
green,key,silver,4
,,,
brown,crayon,NA,NA
,,,
outside,window,outside,6
,,,
red,pole,NA,NA
,,,
red,rose,red,6
,,,
yellow,dress,white,5
,,,
liver,oil,NA,NA
,,,
surf,board,surf,4
,,,
dirty,ground,dirty,6
,,,
purple,moon,white,4
,,,
swim,dolphin,swim,5
,,,
green,rain,blue,6
,,,
baby,body,adult,6
,,,
orange,baby,white,3
,,,
cheese,packet,NA,NA
,,,
velvety,calf,smooth,4
,,,
egg,bread,flour,6
,,,
salmon,sandwich,turkey,4
,,,
chocolate,log,wood,6
,,,
ballroom,dancing,amateur,6
,,,
pine,needle,NA,NA
,,,
eye,shadow,NA,NA
,,,
purple,plant,green,5
,,,
wheat,cracker,wheat,6
,,,
transporter,company,NA,NA
,,,
green,candle,NA,NA
,,,
green,sugar,white,6
,,,
brick,piece,brick,5
,,,
purple,spoon,grey,5
,,,
red,letter,black,6
,,,
bowling,pin,bowling,3
,,,
military,person,civilian,6
,,,
bank,card,bank,5
,,,
green,shoe,brown,5
,,,
hedge,shears,hedge,5
,,,
square,balloon,round,6
,,,
spiral,nail,straight,6
,,,
spaghetti,porridge,oats,6
,,,
jump,jockey,NA,NA
,,,
yellow,bar,grey,5
,,,
garage,key,house,5
,,,
sand,swell,sea,6
,,,
water,gun,bullet,5
,,,
sewer,line,NA,NA
,,,
boy,swing,NA,NA
,,,
butter,cup,NA,NA
,,,
green,tooth,white,5
,,,
sugar,oatmeal,NA,NA
,,,
yellow,boat,white,5
,,,
red,suit,black,6
,,,
ocean,ship,ocean,5
,,,
sugar,man,flesh,5
,,,
purple,duck,brown,5
,,,
milk,pitcher,milk,5
,,,
onion,skin,NA,NA
,,,
cake,stall,NA,NA
,,,
fat,kiss,medium,5
,,,
worm,bin,NA,NA
,,,
wet,clothes,dry,6
,,,
trash,game,good,5
,,,
green,daddy,white,3
,,,
purple,marker,black,5
,,,
police,station,police,4
,,,
pig,roll,NA,NA
,,,
metal,clip,metal,5
,,,
baby,step,adult,6
,,,
music,room,NA,NA
,,,
night,air,day,5
,,,
red,petal,white,5
,,,
nanny,training,NA,NA
,,,
pink,cloud,white,6
,,,
plastic,spoon,plastic,5
,,,
fat,lump,medium,5
,,,
baby,picture,adult,6
,,,
daddy,company,NA,NA
,,,
yellow,cow,black,5
,,,
red,grey,NA,NA
,,,
bottom,bar,NA,NA
,,,
tree,bark,tree,5
,,,
yellow,bag,white,4
,,,
flat,pumpkin,round,6
,,,
college,building,NA,NA
,,,
locomotive,car,NA,NA
,,,
gold,dragon,red,1
,,,
chocolate,milk,whole,6
,,,
bald,baby,bald,5
,,,
rugby,player,football,4
,,,
card,game,card,5
,,,
laser,beam,light,5
,,,
lead,boot,leather,5
,,,
battle,field,NA,NA
,,,
yellow,button,white,5
,,,
water,test,chemical,6
,,,
broken,neck,whole,6
,,,
tea,towel,tea,2
,,,
pirate,guy,NA,NA
,,,
bright,sun,bright,5
,,,
pet,shop,grocery,3
,,,
green,bead,clear,5
,,,
kid,movie,adult,6
,,,
dead,flower,alive,5
,,,
yellow,bed,grey,3
,,,
pest,attack,animal,3
,,,
sirloin,steak,ribeye,3
,,,
burnt,toasted,NA,NA
,,,
icy,road,dry,5
,,,
comforter,cover,NA,NA
,,,
curtain,rail,NA,NA
,,,
water,feed,milk,2
,,,
square,paper,rectangle,6
,,,
foot,hole,foot,5
,,,
computer,man,flesh,7
,,,
thyroid,infection,sinus,5
,,,
green,helmet,grey,3
,,,
purple,head,white,3
,,,
purple,wheel,black,5
,,,
hammer,head,NA,NA
,,,
green,stem,green,6
,,,
green,star,white,6
,,,
soapy,bubble,foam,6
,,,
top,card,NA,NA
,,,
orange,skin,white,3
,,,
cargo,ship,cargo,5
,,,
pink,piece,NA,NA
,,,
baby,jaguar,adult,6
,,,
food,picture,people,6
,,,
garden,door,room,6
,,,
brown,bottom,NA,NA
,,,
pony,home,human,6
,,,
dragon,picture,people,6
,,,
red,mouth,pink,5
,,,
chicken,prawn,NA,NA
,,,
baby,duck,adult,6
,,,
plastic,duck,flesh,7
,,,
blueberry,bar,apple,3
,,,
juicy,bite,average,4
,,,
fat,cookie,medium,5
,,,
wet,sand,dry,5
,,,
bath,drain,sink,4
,,,
yellow,card,yellow,5
,,,
green,creature,NA,NA
,,,
draw,pile,NA,NA
,,,
pipe,band,NA,NA
,,,
outside,toilet,inside,6
,,,
yellow,block,NA,NA
,,,
green,boxcar,brown,5
,,,
blob,cookie,regular,6
,,,
back,chair,middle,5
,,,
back,wall,NA,NA
,,,
pizza,crust,bread,6
,,,
giant,circle,medium,5
,,,
chocolate,fry,potato,5
,,,
boy,tiger,NA,NA
,,,
piano,bench,NA,NA
,,,
giant,baby,medium,5
,,,
hot,coal,cold,6
,,,
tub,toy,tub,4
,,,
pink,box,brown,4
,,,
kid,slide,kid,5
,,,
outside,kitty,inside,6
,,,
water,tap,water,6
,,,
asteroid,belt,asteroid,5
,,,
baby,swing,adult,4
,,,
glass,jar,glass,5
,,,
yellow,hat,brown,5
,,,
green,button,red,3
,,,
dark,night,dark,6
,,,
yellow,house,NA,NA
,,,
puzzle,box,NA,NA
,,,
naked,bear,naked,7
,,,
egg,salad,greens,6
,,,
red,fan,white,4
,,,
green,dragon,red,1
,,,
slim,girl,average,5
,,,
outdoor,art,indoor,6
,,,
green,boat,NA,NA
,,,
orange,scissors,grey,4
,,,
wooden,chair,plastic,4
,,,
blonde,one,NA,NA
,,,
head,piece,NA,NA
,,,
cherry,pie,apple,4
,,,
cathedral,window,house,5
,,,
blond,hair,brown,5
,,,
lunch,bag,lunch,6
,,,
elephant,grey,elephant,2
,,,
purple,pot,NA,NA
,,,
brown,page,white,6
,,,
hot,sauce,cool,6
,,,
stick,person,real,6
,,,
mince,pie,apple,4
,,,
yellow,color,NA,NA
,,,
colored,water,clear,6
,,,
film,wrap,NA,NA
,,,
corn,movie,NA,NA
,,,
grey,dog,brown,4
,,,
truck,book,NA,NA
,,,
girl,teacher,girl,5
,,,
broken,toy,working,5
,,,
orange,cracker,white,6
,,,
brown,lid,NA,NA
,,,
orange,mango,orange,5
,,,
water,park,NA,NA
,,,
yellow,pot,brown,3
,,,
shadow,puppet,string,4
,,,
brick,fire,wood,5
,,,
willow,tree,maple,3
,,,
trash,man,NA,NA
,,,
apple,skin,potato,5
,,,
top,window,NA,NA
,,,
farm,puzzle,NA,NA
,,,
karate,suit,karate,3
,,,
green,broccoli,green,5
,,,
orange,slice,orange,5
,,,
pink,piggy,pink,6
,,,
dinosaur,bone,human,3
,,,
milk,cow,milk,5
,,,
clock,book,NA,NA
,,,
pink,marker,black,5
,,,
oatmeal,bath,water,7
,,,
racing,car,commuting,6
,,,
red,tower,grey,4
,,,
yellow,truck,grey,5
,,,
red,tail,brown,5
,,,
blowing,nose,blowing,5
,,,
princess,tea,NA,NA
,,,
upstairs,brush,NA,NA
,,,
north,wind,west,3
,,,
bottom,floor,middle,5
,,,
slide,watch,NA,NA
,,,
train,money,bus,4
,,,
soap,juice,NA,NA
,,,
red,boy,white,3
,,,
karate,ballerina,NA,NA
,,,
steering,wheel,turning,5
,,,
pineapple,juice,orange,4
,,,
honey,marmalade,sweet,7
,,,
hot,sun,hot,7
,,,
color,stripe,NA,NA
,,,
orange,marmalade,orange,7
,,,
upstairs,flat,upstairs,5
,,,
snow,pants,dry,6
,,,
engine,driver,car,6
,,,
eye,witness,eye,7
,,,
thick,point,medium,5
,,,
green,booger,green,6
,,,
picnic,bench,park,4
,,,
yellow,carrot,orange,6
,,,
orange,flower,white,4
,,,
diamond,ring,silver,3
,,,
chocolate,bar,chocolate,4
,,,
vegetable,soup,chicken,5
,,,
sunflower,seed,sunflower,3
,,,
snack,bar,drink,5
,,,
dogs,face,human,4
,,,
yellow,broom,white,3
,,,
glass,light,glass,5
,,,
freezing,water,cool,5
,,,
brown,dog,brown,4
,,,
orange,squid,pink,5
,,,
country,road,country,5
,,,
pocket,money,consumption,5
,,,
wet,wash,wet,7
,,,
purple,camera,black,5
,,,
red,ribbon,red,3
,,,
colored,glue,white,6
,,,
hot,tea,cool,4
,,,
pink,frosting,white,5
,,,
night,school,day,6
,,,
giant,meteorite,medium,5
,,,
pink,pony,brown,5
,,,
upstairs,bed,NA,NA
,,,
dinosaur,picture,people,6
,,,
sun,rise,sun,5
,,,
wet,towel,dry,6
,,,
dirty,table,clean,5
,,,
kid,bike,adult,6
,,,
river,fishing,lake,5
,,,
downstairs,loo,downstairs,5
,,,
dirty,pavement,dirty,6
,,,
apple,tree,apple,3
,,,
icy,ring,dry,6
,,,
hot,rod,cool,6
,,,
brown,wig,brown,5
,,,
red,sauce,red,4
,,,
broken,bone,whole,6
,,,
pink,bank,NA,NA
,,,
flat,knife,sharp,6
,,,
green,rectangle,NA,NA
,,,
fat,child,medium,5
,,,
round,hand,NA,NA
,,,
couple,stair,few,6
,,,
bottom,cover,top,5
,,,
glitter,glue,plain,6
,,,
bubble,wrap,plastic,6
,,,
flower,plate,food,5
,,,
scrap,yard,back,4
,,,
