adjective,noun,article,adj_article,llama_instruct_judgment
giant,caterpillar,a,a,rarely
brown,belt,a,a,about half the time
baby,giraffe,a,a,never
animal,puzzle,a,an,rarely
plant,food,,,almost always
gym,teacher,a,a,sometimes
pink,boot,a,a,rarely
bike,riding,,,often
bath,toy,a,a,about half the time
money,broker,a,a,often
round,mark,a,a,about half the time
knuckle,head,a,a,often
crusty,loaf,a,a,almost always
video,store,a,a,almost always
toilet,seat,a,a,almost always
sweet,girl,a,a,almost always
toe,soup,,,never
icy,drink,a,an,often
tooth,brush,a,a,almost always
diamond,piece,a,a,almost always
dirty,key,a,a,almost always
purple,cocoon,a,a,rarely
princess,sticker,a,a,rarely
purple,coat,a,a,rarely
gum,tree,a,a,about half the time
top,prize,a,a,always
lunch,break,a,a,often
giant,cloud,a,a,often
planet,earth,,,always
fire,hose,a,a,sometimes
fat,chap,a,a,often
mother,pig,a,a,sometimes
red,pants,,,rarely
purple,button,a,a,never
baby,gorilla,a,a,rarely
sleeping,dolphin,a,a,often
solid,bronze,,,almost always
scrap,paper,a,a,often
girl,bike,a,a,rarely
bean,plant,a,a,never
purple,wing,a,a,never
sweet,heart,a,a,almost always
farmer,market,a,a,about half the time
dirty,truck,a,a,often
brown,marker,a,a,rarely
painting,shirt,a,a,almost always
flat,table,a,a,often
boiling,pot,a,a,almost always
colored,dot,a,a,often
yellow,rubber,,,often
red,boat,a,a,sometimes
standing,penguin,a,a,never
cat,hair,,,often
roof,rack,a,a,often
bean,sprout,a,a,almost always
whale,song,a,a,never
red,turtle,a,a,never
red,penguin,a,a,never
parmesan,cheese,,,sometimes
hill,top,a,a,almost always
cottage,cheese,,,about half the time
dark,rock,a,a,often
round,corner,a,a,almost always
cake,baby,a,a,rarely
yellow,outfit,an,a,rarely
shave,rash,a,a,often
scrap,heap,a,a,often
air,push,a,an,rarely
girl,hair,,,about half the time
shoe,polish,,,almost always
red,whale,a,a,rarely
sweet,pie,a,a,about half the time
bald,boy,a,a,never
stone,coating,a,a,almost always
truck,mom,a,a,sometimes
orange,kitten,a,an,rarely
giant,head,a,a,always
daddy,horse,a,a,sometimes
roller,coaster,a,a,almost always
frozen,room,a,a,rarely
gold,dust,,,never
pink,carpet,a,a,rarely
juicy,pineapple,a,a,often
red,book,a,a,rarely
wooden,piece,a,a,always
water,bucket,a,a,sometimes
night,bird,a,a,often
tap,dance,a,a,rarely
bread,crust,a,a,always
floor,archway,an,a,almost always
shark,game,a,a,often
hot,radiator,a,a,always
boy,baby,a,a,about half the time
paper,towel,a,a,almost always
stage,spot,a,a,never
bible,book,a,a,rarely
purple,handle,a,a,rarely
star,red,,,always
green,snake,a,a,often
purple,train,a,a,rarely
beetle,game,a,a,rarely
garden,tree,a,a,often
thick,soup,,,almost always
river,shack,a,a,almost always
red,machine,a,a,rarely
stomach,bug,a,a,often
strawberry,cookie,a,a,rarely
pink,fur,,,rarely
color,purple,,,always
meal,guy,a,a,always
orange,truck,a,an,rarely
tin,can,a,a,almost always
daddy,lion,a,a,often
sweet,guy,a,a,almost always
rocket,ship,a,a,never
copper,dagger,a,a,rarely
brick,wall,a,a,sometimes
camp,fire,a,a,often
purple,water,,,never
air,conditioner,,,often
throw,ball,a,a,always
ham,ball,a,a,never
red,railing,a,a,rarely
solid,color,a,a,always
bulletin,board,a,a,often
yellow,metal,,,never
wood,basket,a,a,almost always
grey,clay,,,often
dirty,mitt,a,a,often
glass,door,a,a,about half the time
green,cup,a,a,sometimes
mommy,movie,a,a,never
orange,ear,an,an,never
orange,piece,a,an,rarely
human,race,a,a,always
baseball,bat,a,a,almost always
hot,grease,,,always
grill,cheese,,,often
golf,ball,a,a,rarely
water,plant,a,a,often
yellow,hose,a,a,rarely
string,bean,a,a,about half the time
cow,manure,,,almost always
swim,trunk,a,a,almost always
bleeding,phone,a,a,never
gum,flavor,a,a,almost always
giant,yogurt,,,rarely
heart,sweet,a,a,often
roll,shot,a,a,rarely
blueberry,juice,,,sometimes
green,grass,,,almost always
slope,testing,a,a,rarely
wrestling,guy,a,a,almost always
squirt,gun,a,a,often
smoke,alarm,an,a,almost always
phone,box,a,a,almost always
stock,room,a,a,about half the time
bamboo,shoot,a,a,always
red,hat,a,a,often
hippopotamus,face,a,a,rarely
yellow,moon,a,a,almost always
hand,print,a,a,sometimes
snow,flake,a,a,often
hot,cookie,a,a,about half the time
pterodactyl,leg,a,a,never
derby,girl,a,a,rarely
baby,beluga,a,a,always
fence,post,a,a,often
pink,bag,a,a,sometimes
purple,shirt,a,a,almost always
calendar,book,a,a,rarely
juicy,fruit,a,a,almost always
gold,key,a,a,almost always
purple,girl,a,a,rarely
till,receipt,a,a,often
back,fence,a,a,about half the time
green,frog,a,a,often
kid,person,a,a,sometimes
sweet,mama,a,a,almost always
rain,day,a,a,sometimes
baby,platypus,a,a,almost always
green,mat,a,a,often
spa,camera,a,a,never
piggy,ride,a,a,never
poker,game,a,a,sometimes
box,tape,a,a,almost always
ballet,skirt,a,a,almost always
plastic,bag,a,a,often
green,water,,,rarely
orange,fish,a,an,sometimes
onion,stuffing,,,almost always
bow,honey,,,never
water,ride,a,a,often
stuffed,crocodile,a,a,almost always
purple,pony,a,a,rarely
orange,lip,a,an,often
bear,eye,an,a,never
yellow,duck,a,a,often
pumpkin,bread,,,rarely
locked,gate,a,a,often
green,plate,a,a,rarely
pink,balloon,a,a,almost always
flaming,desk,a,a,never
sheet,pan,a,a,almost always
yellow,milk,,,rarely
boat,person,a,a,rarely
candy,apple,an,a,rarely
purple,juice,,,rarely
wire,hair,,,rarely
chest,paddling,a,a,almost always
day,person,a,a,often
red,dinosaur,a,a,rarely
brown,oatmeal,,,often
dark,picture,a,a,sometimes
glue,stick,a,a,never
boy,doctor,a,a,often
dark,rabbit,a,a,rarely
dragon,bear,a,a,never
bear,track,a,a,often
hot,desert,a,a,almost always
brown,ribbon,a,a,never
dirty,suit,a,a,rarely
door,frame,a,a,almost always
pink,fan,a,a,rarely
parent,girl,a,a,almost always
hen,egg,an,a,almost always
bear,head,a,a,almost always
pumpkin,muffin,a,a,rarely
plastic,sack,a,a,almost always
soapy,water,,,about half the time
pink,makeup,,,often
turtle,purple,,,about half the time
plastic,grid,a,a,rarely
pearl,ribbon,a,a,sometimes
wooden,side,a,a,never
apple,cinnamon,,,about half the time
piggy,toe,a,a,often
swamp,land,,,rarely
bathroom,suite,a,a,about half the time
dirty,tractor,a,a,almost always
thick,tights,,,often
red,sun,,,sometimes
red,crab,a,a,sometimes
dirty,mess,a,a,almost always
baby,chick,a,a,always
fridge,door,a,a,almost always
doggy,food,,,almost always
brown,beard,a,a,often
purple,bear,a,a,never
giant,creature,a,a,often
yellow,octagon,an,a,sometimes
dark,mulch,,,almost always
green,light,a,a,almost always
church,warden,a,a,about half the time
varnish,stain,a,a,rarely
square,pretzel,a,a,often
red,ruby,a,a,always
solid,food,,,almost always
hot,pipe,a,a,about half the time
green,balloon,a,a,sometimes
muffin,pan,a,a,often
orange,green,,,never
milk,pint,a,a,often
bathroom,ceiling,a,a,always
ear,drum,a,an,always
thick,cheese,,,about half the time
mud,pool,a,a,rarely
orange,peel,a,an,almost always
red,bell,a,a,rarely
red,eye,an,a,rarely
purple,robe,a,a,often
snare,drum,a,a,sometimes
riding,horse,a,a,sometimes
bunny,costume,a,a,sometimes
baby,voice,a,a,always
steam,engine,an,a,rarely
purple,corner,a,a,never
saucepan,lid,a,a,almost always
pink,slipper,a,a,sometimes
brown,wing,a,a,often
fence,door,a,a,rarely
red,bridge,a,a,rarely
orange,carrot,a,an,almost always
car,engine,an,a,always
wet,wipe,a,a,often
fish,meal,a,a,about half the time
yellow,marble,a,a,sometimes
blood,vessel,a,a,almost always
marble,painting,a,a,never
yellow,mustache,a,a,never
linen,closet,a,a,sometimes
sticker,book,a,a,often
red,clock,a,a,rarely
candy,man,a,a,almost always
window,sill,a,a,almost always
mulberry,bush,a,a,about half the time
blueberry,tea,,,rarely
green,square,a,a,rarely
scavenger,hunt,a,a,almost always
green,tube,a,a,sometimes
gulf,stream,a,a,rarely
green,tummy,a,a,never
blood,check,a,a,almost always
dirty,town,a,a,about half the time
baby,bubble,a,a,rarely
outside,basket,a,an,almost always
bed,explorer,an,a,rarely
telephone,point,a,a,almost always
wood,worm,a,a,almost always
finger,nail,a,a,rarely
gas,cooking,,,often
car,green,,,often
baby,stick,a,a,never
potty,book,a,a,rarely
brown,lettuce,,,sometimes
fish,dad,a,a,never
country,music,,,sometimes
fire,hydrant,a,a,almost always
sea,baby,a,a,never
toy,tub,a,a,often
colored,worm,a,a,rarely
purple,ball,a,a,never
mitten,back,a,a,never
cookie,crumb,a,a,often
plastic,fork,a,a,sometimes
passenger,train,a,a,often
giant,cat,a,a,never
survey,photograph,a,a,always
purple,wrapper,a,a,rarely
slam,dunk,a,a,almost always
pirate,ship,a,a,rarely
green,straw,a,a,always
giant,squid,a,a,sometimes
bald,guy,a,a,about half the time
tomato,sauce,,,often
pink,sweater,a,a,sometimes
orange,bean,a,an,rarely
sleigh,bell,a,a,often
green,key,a,a,rarely
brown,crayon,a,a,sometimes
outside,window,a,an,almost always
red,pole,a,a,almost always
red,rose,a,a,often
yellow,dress,a,a,sometimes
liver,oil,,,never
surf,board,a,a,sometimes
dirty,ground,,,almost always
purple,moon,a,a,never
swim,dolphin,a,a,always
green,rain,,,never
baby,body,a,a,often
orange,baby,a,an,always
cheese,packet,a,a,often
velvety,calf,a,a,often
egg,bread,,,sometimes
salmon,sandwich,a,a,rarely
chocolate,log,a,a,rarely
ballroom,dancing,,,rarely
pine,needle,a,a,almost always
eye,shadow,a,an,never
purple,plant,a,a,rarely
wheat,cracker,a,a,almost always
transporter,company,a,a,sometimes
green,candle,a,a,sometimes
green,sugar,,,always
brick,piece,a,a,almost always
purple,spoon,a,a,rarely
red,letter,a,a,rarely
bowling,pin,a,a,about half the time
military,person,a,a,rarely
bank,card,a,a,always
green,shoe,a,a,sometimes
hedge,shears,,,almost always
square,balloon,a,a,rarely
spiral,nail,a,a,rarely
spaghetti,porridge,,,never
jump,jockey,a,a,almost always
yellow,bar,a,a,always
garage,key,a,a,rarely
sand,swell,a,a,often
water,gun,a,a,often
sewer,line,a,a,rarely
boy,swing,a,a,almost always
butter,cup,a,a,rarely
green,tooth,a,a,never
sugar,oatmeal,,,often
yellow,boat,a,a,sometimes
red,suit,a,a,never
ocean,ship,a,an,almost always
sugar,man,a,a,almost always
purple,duck,a,a,never
milk,pitcher,a,a,almost always
onion,skin,,,almost always
cake,stall,a,a,often
fat,kiss,a,a,never
worm,bin,a,a,almost always
wet,clothes,,,often
trash,game,a,a,rarely
green,daddy,a,a,never
purple,marker,a,a,often
police,station,a,a,about half the time
pig,roll,a,a,never
metal,clip,a,a,almost always
baby,step,a,a,often
music,room,a,a,almost always
night,air,,,rarely
red,petal,a,a,about half the time
nanny,training,a,a,never
pink,cloud,a,a,rarely
plastic,spoon,a,a,sometimes
fat,lump,a,a,often
baby,picture,a,a,often
daddy,company,a,a,never
yellow,cow,a,a,rarely
red,grey,,,rarely
bottom,bar,a,a,almost always
tree,bark,a,a,almost always
yellow,bag,a,a,sometimes
flat,pumpkin,a,a,never
college,building,a,a,sometimes
locomotive,car,a,a,never
gold,dragon,a,a,never
chocolate,milk,,,rarely
bald,baby,a,a,often
rugby,player,a,a,often
card,game,a,a,often
laser,beam,a,a,rarely
lead,boot,a,a,often
battle,field,a,a,sometimes
yellow,button,a,a,rarely
water,test,a,a,rarely
broken,neck,a,a,never
tea,towel,a,a,almost always
pirate,guy,a,a,rarely
bright,sun,,,almost always
pet,shop,a,a,rarely
green,bead,a,a,rarely
kid,movie,a,a,often
dead,flower,a,a,never
yellow,bed,a,a,rarely
pest,attack,an,a,often
sirloin,steak,a,a,sometimes
burnt,toasted,,,often
icy,road,a,an,never
comforter,cover,a,a,often
curtain,rail,a,a,often
water,feed,,,rarely
square,paper,a,a,sometimes
foot,hole,a,a,often
computer,man,a,a,often
thyroid,infection,an,a,rarely
green,helmet,a,a,rarely
purple,head,a,a,never
purple,wheel,a,a,rarely
hammer,head,a,a,sometimes
green,stem,a,a,almost always
green,star,a,a,rarely
soapy,bubble,a,a,almost always
top,card,a,a,always
orange,skin,,,rarely
cargo,ship,a,a,sometimes
pink,piece,a,a,rarely
baby,jaguar,a,a,sometimes
food,picture,a,a,rarely
garden,door,a,a,rarely
brown,bottom,a,a,often
pony,home,a,a,rarely
dragon,picture,a,a,rarely
red,mouth,a,a,rarely
chicken,prawn,a,a,almost always
baby,duck,a,a,almost always
plastic,duck,a,a,often
blueberry,bar,a,a,often
juicy,bite,a,a,often
fat,cookie,a,a,almost always
wet,sand,,,often
bath,drain,a,a,almost always
yellow,card,a,a,almost always
green,creature,a,a,about half the time
draw,pile,a,a,always
pipe,band,a,a,always
outside,toilet,a,an,often
yellow,block,a,a,often
green,boxcar,a,a,sometimes
blob,cookie,a,a,rarely
back,chair,a,a,often
back,wall,a,a,almost always
pizza,crust,a,a,almost always
giant,circle,a,a,sometimes
chocolate,fry,a,a,rarely
boy,tiger,a,a,about half the time
piano,bench,a,a,rarely
giant,baby,a,a,never
hot,coal,a,a,often
tub,toy,a,a,almost always
pink,box,a,a,rarely
kid,slide,a,a,almost always
outside,kitty,a,an,often
water,tap,a,a,always
asteroid,belt,a,an,rarely
baby,swing,a,a,never
glass,jar,a,a,almost always
yellow,hat,a,a,rarely
green,button,a,a,rarely
dark,night,a,a,almost always
yellow,house,a,a,sometimes
puzzle,box,a,a,sometimes
naked,bear,a,a,almost always
egg,salad,a,an,often
red,fan,a,a,rarely
green,dragon,a,a,always
slim,girl,a,a,about half the time
outdoor,art,,,rarely
green,boat,a,a,sometimes
orange,scissors,,,rarely
wooden,chair,a,a,about half the time
blonde,one,a,a,sometimes
head,piece,a,a,rarely
cherry,pie,a,a,rarely
cathedral,window,a,a,never
blond,hair,,,sometimes
lunch,bag,a,a,often
elephant,grey,,,almost always
purple,pot,a,a,rarely
brown,page,a,a,rarely
hot,sauce,,,rarely
stick,person,a,a,almost always
mince,pie,a,a,sometimes
yellow,color,a,a,almost always
colored,water,,,rarely
film,wrap,a,a,almost always
corn,movie,a,a,almost always
grey,dog,a,a,sometimes
truck,book,a,a,never
girl,teacher,a,a,about half the time
broken,toy,a,a,rarely
orange,cracker,a,an,often
brown,lid,a,a,often
orange,mango,a,an,never
water,park,a,a,rarely
yellow,pot,a,a,rarely
shadow,puppet,a,a,always
brick,fire,,,often
willow,tree,a,a,rarely
trash,man,a,a,often
apple,skin,,,never
top,window,a,a,never
farm,puzzle,a,a,never
karate,suit,a,a,never
green,broccoli,,,always
orange,slice,a,an,often
pink,piggy,a,a,almost always
dinosaur,bone,a,a,rarely
milk,cow,a,a,almost always
clock,book,a,a,rarely
pink,marker,a,a,rarely
oatmeal,bath,a,an,almost always
racing,car,a,a,rarely
red,tower,a,a,rarely
yellow,truck,a,a,rarely
red,tail,a,a,often
blowing,nose,a,a,never
princess,tea,,,never
upstairs,brush,a,an,rarely
north,wind,,,sometimes
bottom,floor,a,a,always
slide,watch,a,a,sometimes
train,money,,,rarely
soap,juice,,,never
red,boy,a,a,always
karate,ballerina,a,a,rarely
steering,wheel,a,a,often
pineapple,juice,,,rarely
honey,marmalade,,,rarely
hot,sun,,,almost always
color,stripe,a,a,often
orange,marmalade,,,almost always
upstairs,flat,a,an,often
snow,pants,,,rarely
engine,driver,a,an,almost always
eye,witness,a,an,almost always
thick,point,a,a,rarely
green,booger,a,a,often
picnic,bench,a,a,sometimes
yellow,carrot,a,a,rarely
orange,flower,a,an,sometimes
diamond,ring,a,a,often
chocolate,bar,a,a,almost always
vegetable,soup,,,often
sunflower,seed,a,a,almost always
snack,bar,a,a,almost always
dogs,face,a,a,almost always
yellow,broom,a,a,sometimes
glass,light,a,a,often
freezing,water,,,always
brown,dog,a,a,often
orange,squid,a,an,rarely
country,road,a,a,always
pocket,money,,,often
wet,wash,a,a,always
purple,camera,a,a,rarely
red,ribbon,a,a,often
colored,glue,,,almost always
hot,tea,,,almost always
pink,frosting,,,about half the time
night,school,a,a,rarely
giant,meteorite,a,a,rarely
pink,pony,a,a,about half the time
upstairs,bed,a,an,often
dinosaur,picture,a,a,rarely
sun,rise,a,a,almost always
wet,towel,a,a,almost always
dirty,table,a,a,rarely
kid,bike,a,a,often
river,fishing,,,often
downstairs,loo,a,a,often
dirty,pavement,,,often
apple,tree,a,an,rarely
icy,ring,a,an,about half the time
hot,rod,a,a,often
brown,wig,a,a,about half the time
red,sauce,,,often
broken,bone,a,a,rarely
pink,bank,a,a,rarely
flat,knife,a,a,always
green,rectangle,a,a,sometimes
fat,child,a,a,rarely
round,hand,a,a,never
couple,stair,a,a,almost always
bottom,cover,a,a,often
glitter,glue,,,sometimes
bubble,wrap,a,a,always
flower,plate,a,a,often
scrap,yard,a,a,often
hair,cut,a,a,almost always
football,teacher,a,a,rarely
duffel,coat,a,a,often
dirty,box,a,a,sometimes
dirty,movie,a,a,rarely
daddy,chin,a,a,never
candy,gum,a,a,sometimes
bus,driver,a,a,rarely
green,land,,,always
dirty,vent,a,a,often
pub,window,a,a,sometimes
green,car,a,a,sometimes
cut,piece,a,a,about half the time
yellow,queen,a,a,sometimes
hot,wing,a,a,almost always
wooden,animal,an,a,never
mommy,bird,a,a,often
brown,suit,a,a,sometimes
baby,chicken,a,a,always
body,wash,a,a,almost always
orange,sword,a,an,rarely
yellow,shoe,a,a,rarely
orange,tree,a,an,rarely
back,page,a,a,often
taxi,man,a,a,often
yellow,row,a,a,sometimes
bacon,casserole,a,a,rarely
green,knight,a,a,rarely
ginger,ale,an,a,always
yellow,wedge,a,a,almost always
toy,box,a,a,about half the time
song,sheet,a,a,often
pelican,crossing,a,a,rarely
hot,juice,,,rarely
doll,dress,a,a,almost always
yellow,pig,a,a,rarely
hot,cross,a,a,almost always
flower,pan,a,a,rarely
dog,joint,a,a,never
poop,factory,a,a,never
flower,room,a,a,rarely
bear,shoe,a,a,never
diamond,rock,a,a,never
blond,captain,a,a,rarely
header,tank,a,a,almost always
color,knight,a,a,never
dad,hand,a,a,never
ice,truck,a,an,sometimes
water,bottle,a,a,often
yellow,fire,,,never
step,mother,a,a,often
bright,feather,a,a,often
machine,gun,a,a,rarely
hairy,finger,a,a,almost always
yellow,bead,a,a,about half the time
brown,floor,a,a,almost always
dump,truck,a,a,rarely
print,shop,a,a,never
yellow,sheep,a,a,rarely
hot,pink,,,sometimes
daddy,headache,a,a,rarely
dog,hair,,,often
girl,shoe,a,a,sometimes
toilet,paper,a,a,almost always
sand,toy,a,a,often
blind,person,a,a,rarely
lighter,colors,a,a,often
orange,paint,,,rarely
pussy,cat,a,a,almost always
flat,bed,a,a,always
orange,hat,a,an,sometimes
night,kiss,a,a,often
yellow,van,a,a,rarely
color,petal,a,a,always
bear,puzzle,a,a,never
carrier,bag,a,a,often
wolf,hound,a,a,almost always
wet,floor,a,a,sometimes
pooper,scooper,a,a,almost always
lollipop,stick,a,a,rarely
sweat,top,a,a,often
back,cellar,a,a,never
macaroni,cheese,,,often
violin,group,a,a,often
nail,cut,a,a,rarely
farm,machine,a,a,almost always
baby,tiger,a,a,sometimes
curly,hair,,,sometimes
candy,house,a,a,never
wood,hardware,,,almost always
hermit,crab,a,a,rarely
ankle,sock,a,an,often
strawberry,flower,a,a,often
broken,car,a,a,sometimes
coffee,cup,a,a,often
cut,hair,,,always
hot,towel,a,a,never
mommy,horse,a,a,sometimes
fish,finger,a,a,never
chipmunk,song,a,a,never
frog,leg,a,a,always
giant,bucket,a,a,rarely
hot,boil,a,a,almost always
pink,snow,,,never
red,pin,a,a,rarely
rain,bow,a,a,rarely
red,colors,a,a,always
dish,soap,,,rarely
mommy,duck,a,a,almost always
hair,ball,a,a,rarely
thick,marker,a,a,often
dirty,pajamas,,,often
bow,tie,a,a,rarely
solar,house,a,a,almost always
purple,monkey,a,a,never
hot,grill,a,a,almost always
climbing,stair,a,a,always
purple,cartridge,a,a,rarely
saw,puzzle,a,a,rarely
shortbread,cookie,a,a,rarely
car,parking,,,almost always
farm,instrument,an,a,rarely
dirty,room,a,a,sometimes
troll,person,a,a,rarely
drawing,office,an,a,almost always
shaving,mirror,a,a,almost always
thick,rope,a,a,almost always
orange,bird,a,an,rarely
lighter,snack,a,a,about half the time
red,hamster,a,a,almost always
split,cup,a,a,rarely
orange,color,a,an,often
purple,stick,a,a,rarely
gold,helmet,a,a,almost always
mother,bear,a,a,sometimes
puzzle,board,a,a,often
sand,castle,a,a,rarely
mail,truck,a,a,rarely
red,bowl,a,a,rarely
strawberry,lemonade,,,rarely
gold,shoe,a,a,rarely
fat,brush,a,a,rarely
top,cap,a,a,almost always
red,doggie,a,a,sometimes
tea,cake,a,a,about half the time
wet,diaper,a,a,often
mechanic,shop,a,a,sometimes
army,officer,an,an,always
bear,book,a,a,never
cream,tub,a,a,sometimes
secretary,treasurer,a,a,sometimes
ferry,crossing,a,a,almost always
purple,octopus,an,a,often
oatmeal,bite,a,an,sometimes
glass,building,a,a,sometimes
dirty,finger,a,a,about half the time
toddler,bed,a,a,never
circus,man,a,a,rarely
cut,glass,a,a,almost always
dark,color,a,a,almost always
hot,bottle,a,a,rarely
barge,person,a,a,rarely
yellow,tooth,a,a,almost always
pitch,fork,a,a,rarely
driving,instructor,an,a,almost always
astronaut,hat,a,an,rarely
bear,cry,a,a,rarely
bay,window,a,a,rarely
berry,patch,a,a,almost always
piano,player,a,a,often
bedside,table,a,a,sometimes
dead,person,a,a,always
bird,cave,a,a,almost always
gold,coin,a,a,rarely
engine,oil,,,almost always
green,pot,a,a,rarely
ocean,animal,an,an,about half the time
cheese,ball,a,a,rarely
red,bicycle,a,a,sometimes
turkey,breast,a,a,always
hairy,spider,a,a,often
apple,juice,,,often
paper,sticker,a,a,often
air,balloon,a,an,often
mud,pie,a,a,rarely
orange,circle,a,an,rarely
star,fish,a,a,rarely
fish,lip,a,a,almost always
orange,broom,a,an,rarely
paint,plaster,a,a,almost always
dance,contest,a,a,almost always
hot,chocolate,,,rarely
green,elephant,an,a,rarely
flower,day,a,a,never
orange,pentagon,a,an,rarely
student,band,a,a,sometimes
pink,milk,,,never
milk,shake,a,a,almost always
yellow,plastic,,,sometimes
daddy,car,a,a,always
wet,tarmac,a,a,rarely
pink,blanket,a,a,rarely
shovel,fork,a,a,rarely
fat,piggy,a,a,often
sugar,cone,a,a,always
glass,washer,a,a,sometimes
silver,penny,a,a,rarely
sugar,syrup,,,almost always
cookie,blob,a,a,never
donut,chair,a,a,sometimes
watch,strap,a,a,often
top,cream,,,almost always
brown,teddy,a,a,often
red,purple,,,never
blooming,month,a,a,often
bloody,coconut,a,a,never
game,tile,a,a,never
circle,drawing,a,a,always
fat,belly,a,a,often
puffy,cloud,a,a,often
dirty,outside,an,a,always
book,tray,a,a,rarely
red,blood,,,almost always
cream,taste,a,a,rarely
grey,tights,,,almost always
sword,fight,a,a,almost always
female,alligator,an,a,almost always
dark,turquoise,,,about half the time
check,mark,a,a,often
throw,toy,a,a,often
back,line,a,a,almost always
silky,mask,a,a,never
potato,chip,a,a,almost always
stand,firm,a,a,never
cut,trunk,a,a,about half the time
red,mark,a,a,about half the time
powder,paint,,,rarely
broken,crayon,a,a,sometimes
mail,uniform,a,a,often
police,man,a,a,rarely
yellow,taxi,a,a,often
river,path,a,a,rarely
flat,tire,a,a,sometimes
brown,horse,a,a,almost always
purple,dot,a,a,rarely
cranberry,juice,,,rarely
fire,fighter,a,a,never
ocean,wave,a,an,almost always
red,paint,,,sometimes
red,dot,a,a,sometimes
orange,leaflet,a,an,almost always
red,cab,a,a,often
triangle,roof,a,a,often
plastic,cup,a,a,about half the time
ant,trail,a,an,often
seat,belt,a,a,always
bread,box,a,a,often
yellow,car,a,a,often
mud,color,a,a,sometimes
orange,shovel,a,an,rarely
red,picture,a,a,rarely
orange,macaroni,,,often
orange,screw,a,an,rarely
head,shot,a,a,often
snowy,day,a,a,never
road,track,a,a,often
green,wall,a,a,almost always
hot,steam,,,always
hot,mess,a,a,almost always
drummer,boy,a,a,often
market,stall,a,a,often
turtle,magazine,a,a,rarely
orange,packet,a,an,always
home,movie,a,a,never
red,cape,a,a,often
weeping,willow,a,a,about half the time
red,bone,a,a,never
oil,barrel,a,an,often
shirt,top,a,a,often
purple,frog,a,a,rarely
children,book,a,a,never
purple,bubble,a,a,rarely
sweet,potato,a,a,sometimes
village,hall,a,a,often
lacrosse,stick,a,a,rarely
snake,tongue,a,a,never
bread,knife,a,a,often
bake,cookie,a,a,almost always
hare,lip,a,a,sometimes
pink,pants,,,sometimes
red,lip,a,a,almost always
batman,shoe,a,a,rarely
dark,room,a,a,almost always
dark,paint,,,often
dinosaur,egg,an,a,rarely
wooden,horse,a,a,rarely
oval,circle,a,an,always
kid,game,a,a,almost always
purple,basket,a,a,rarely
purple,bead,a,a,rarely
orange,tiger,a,an,often
hot,corn,a,a,rarely
ballet,dress,a,a,often
fish,puppet,a,a,about half the time
purple,patch,a,a,never
green,bear,a,a,rarely
bread,dough,,,always
grey,hair,,,often
document,file,a,a,often
bedroom,flat,a,a,about half the time
yellow,kite,a,a,sometimes
pitcher,glove,a,a,sometimes
ink,pad,a,an,often
mouse,ear,an,a,sometimes
pink,cup,a,a,rarely
red,belly,a,a,rarely
orange,crayon,a,an,rarely
ankle,boot,a,an,almost always
dog,bun,a,a,almost always
bus,puzzle,a,a,never
green,leg,a,a,never
dirty,food,,,rarely
hamburger,bun,a,a,often
soccer,ball,a,a,about half the time
jean,jacket,a,a,often
green,chair,a,a,sometimes
yellow,stick,a,a,sometimes
leaf,pile,a,a,often
red,luggage,,,rarely
orange,sequin,a,an,rarely
dirty,garbage,,,always
wash,cloth,a,a,often
green,bubble,a,a,rarely
upstairs,toy,a,an,often
balloon,popping,a,a,almost always
yellow,mountain,a,a,rarely
water,line,a,a,never
top,piece,a,a,often
straw,cup,a,a,rarely
red,lead,a,a,rarely
snack,boy,a,a,rarely
circle,puzzle,a,a,almost always
banana,chip,a,a,never
apple,cider,,,always
snowman,melt,a,a,almost always
skate,board,a,a,almost always
grocery,warehouse,a,a,almost always
wheel,chair,a,a,rarely
baby,bag,a,a,often
wood,box,a,a,sometimes
car,ferry,a,a,almost always
red,tights,,,rarely
smiley,face,a,a,often
crystal,piece,a,a,about half the time
cherry,vanilla,,,never
bath,room,a,a,almost always
yellow,match,a,a,always
student,nurse,a,a,sometimes
baby,cat,a,a,often
orange,ball,a,an,sometimes
firehouse,lunch,a,a,never
red,tractor,a,a,about half the time
bowling,alley,an,a,rarely
snow,ball,a,a,never
pink,teddy,a,a,often
toy,man,a,a,rarely
purple,mouse,a,a,never
baby,bath,a,a,often
green,house,a,a,often
red,dandelion,a,a,never
frozen,shoulder,a,a,always
hot,milk,,,rarely
vinegar,bottle,a,a,sometimes
color,book,a,a,rarely
company,software,,,about half the time
red,border,a,a,rarely
oak,tree,a,an,sometimes
music,note,a,a,almost always
mommy,hair,,,rarely
top,branch,a,a,always
burglar,alarm,an,a,sometimes
office,key,a,an,rarely
green,toe,a,a,never
movie,channel,a,a,often
dune,buggy,a,a,always
yellow,green,,,rarely
red,pig,a,a,sometimes
exterior,light,a,an,often
plastics,company,a,a,rarely
yellow,chalk,,,almost always
baby,clothes,,,often
park,parade,a,a,never
bike,ride,a,a,often
car,seat,a,a,almost always
hot,doggy,a,a,sometimes
pink,sock,a,a,rarely
green,dress,a,a,rarely
sea,shell,a,a,almost always
copy,cat,a,a,always
yellow,square,a,a,rarely
wall,drawer,a,a,almost always
maple,sugar,,,rarely
snow,hill,a,a,sometimes
sky,color,a,a,almost always
day,school,a,a,almost always
vanilla,wafer,a,a,often
peacock,feather,a,a,rarely
flat,fish,a,a,often
