adjective,noun,article,adj_article,llama_405b_instruct_judgment
group,secretary,a,a,often
basket,game,a,a,rarely
yellow,girl,a,a,never
mucus,sack,a,a,rarely
dirty,tank,a,a,never
brown,bag,a,a,sometimes
marble,hearth,a,a,almost always
box,cooler,a,a,sometimes
movie,puppet,a,a,often
cigarette,smoke,,,sometimes
dinosaur,leg,a,a,rarely
green,glove,a,a,rarely
baby,nose,a,a,always
dead,battery,a,a,rarely
car,mat,a,a,rarely
dead,ant,an,a,rarely
lemon,chicken,a,a,never
giant,bomb,a,a,rarely
round,cracker,a,a,never
brown,person,a,a,often
library,ticket,a,a,rarely
lobster,pot,a,a,rarely
brown,writing,,,sometimes
round,scissors,,,never
red,tape,a,a,rarely
bunny,ear,an,a,never
baby,rabbit,a,a,rarely
school,report,a,a,sometimes
red,puck,a,a,never
green,uniform,a,a,sometimes
top,line,a,a,often
wax,coat,a,a,rarely
rocky,truck,a,a,never
yellow,hand,a,a,never
giant,caterpillar,a,a,rarely
brown,belt,a,a,often
baby,giraffe,a,a,rarely
animal,puzzle,a,an,never
plant,food,,,almost always
gym,teacher,a,a,rarely
pink,boot,a,a,rarely
bike,riding,,,often
bath,toy,a,a,sometimes
money,broker,a,a,always
round,mark,a,a,almost always
knuckle,head,a,a,rarely
crusty,loaf,a,a,almost always
video,store,a,a,rarely
toilet,seat,a,a,almost always
sweet,girl,a,a,about half the time
toe,soup,,,never
icy,drink,a,an,often
tooth,brush,a,a,often
diamond,piece,a,a,never
dirty,key,a,a,sometimes
purple,cocoon,a,a,rarely
princess,sticker,a,a,never
purple,coat,a,a,rarely
gum,tree,a,a,sometimes
top,prize,a,a,always
lunch,break,a,a,often
giant,cloud,a,a,rarely
planet,earth,,,never
fire,hose,a,a,rarely
fat,chap,a,a,sometimes
mother,pig,a,a,sometimes
red,pants,,,rarely
purple,button,a,a,never
baby,gorilla,a,a,rarely
sleeping,dolphin,a,a,almost always
solid,bronze,,,rarely
scrap,paper,a,a,often
girl,bike,a,a,never
bean,plant,a,a,rarely
purple,wing,a,a,rarely
sweet,heart,a,a,rarely
farmer,market,a,a,about half the time
dirty,truck,a,a,rarely
brown,marker,a,a,rarely
painting,shirt,a,a,rarely
flat,table,a,a,always
boiling,pot,a,a,never
colored,dot,a,a,always
yellow,rubber,,,rarely
red,boat,a,a,rarely
standing,penguin,a,a,almost always
cat,hair,,,rarely
roof,rack,a,a,always
bean,sprout,a,a,almost always
whale,song,a,a,always
red,turtle,a,a,rarely
red,penguin,a,a,never
parmesan,cheese,,,never
hill,top,a,a,rarely
cottage,cheese,,,rarely
dark,rock,a,a,often
round,corner,a,a,almost always
cake,baby,a,a,rarely
yellow,outfit,an,a,rarely
shave,rash,a,a,about half the time
scrap,heap,a,a,almost always
air,push,a,an,about half the time
girl,hair,,,about half the time
shoe,polish,,,sometimes
red,whale,a,a,always
sweet,pie,a,a,often
bald,boy,a,a,rarely
stone,coating,a,a,rarely
truck,mom,a,a,about half the time
orange,kitten,a,an,rarely
giant,head,a,a,never
daddy,horse,a,a,always
roller,coaster,a,a,rarely
frozen,room,a,a,rarely
gold,dust,,,rarely
pink,carpet,a,a,rarely
juicy,pineapple,a,a,almost always
red,book,a,a,rarely
wooden,piece,a,a,almost always
water,bucket,a,a,always
night,bird,a,a,rarely
tap,dance,a,a,sometimes
bread,crust,a,a,often
floor,archway,an,a,rarely
shark,game,a,a,rarely
hot,radiator,a,a,almost always
boy,baby,a,a,about half the time
paper,towel,a,a,always
stage,spot,a,a,rarely
bible,book,a,a,never
purple,handle,a,a,rarely
star,red,,,never
green,snake,a,a,rarely
purple,train,a,a,rarely
beetle,game,a,a,never
garden,tree,a,a,sometimes
thick,soup,,,almost always
river,shack,a,a,often
red,machine,a,a,rarely
stomach,bug,a,a,almost always
strawberry,cookie,a,a,rarely
pink,fur,,,rarely
color,purple,,,always
meal,guy,a,a,almost always
orange,truck,a,an,rarely
tin,can,a,a,almost always
daddy,lion,a,a,often
sweet,guy,a,a,rarely
rocket,ship,a,a,rarely
copper,dagger,a,a,never
brick,wall,a,a,sometimes
camp,fire,a,a,almost always
purple,water,,,never
air,conditioner,,,rarely
throw,ball,a,a,always
ham,ball,a,a,rarely
red,railing,a,a,rarely
solid,color,a,a,almost always
bulletin,board,a,a,often
yellow,metal,,,rarely
wood,basket,a,a,sometimes
grey,clay,,,always
dirty,mitt,a,a,sometimes
glass,door,a,a,sometimes
green,cup,a,a,rarely
mommy,movie,a,a,sometimes
orange,ear,an,an,rarely
orange,piece,a,an,about half the time
human,race,a,a,almost always
baseball,bat,a,a,almost always
hot,grease,,,sometimes
grill,cheese,,,rarely
golf,ball,a,a,rarely
water,plant,a,a,rarely
yellow,hose,a,a,often
string,bean,a,a,never
cow,manure,,,almost always
swim,trunk,a,a,always
bleeding,phone,a,a,always
gum,flavor,a,a,always
giant,yogurt,,,never
heart,sweet,a,a,never
roll,shot,a,a,almost always
blueberry,juice,,,rarely
green,grass,,,almost always
slope,testing,a,a,rarely
wrestling,guy,a,a,rarely
squirt,gun,a,a,almost always
smoke,alarm,an,a,often
phone,box,a,a,rarely
stock,room,a,a,rarely
bamboo,shoot,a,a,almost always
red,hat,a,a,sometimes
hippopotamus,face,a,a,rarely
yellow,moon,a,a,about half the time
hand,print,a,a,sometimes
snow,flake,a,a,almost always
hot,cookie,a,a,rarely
pterodactyl,leg,a,a,never
derby,girl,a,a,rarely
baby,beluga,a,a,rarely
fence,post,a,a,about half the time
pink,bag,a,a,never
purple,shirt,a,a,rarely
calendar,book,a,a,rarely
juicy,fruit,a,a,often
gold,key,a,a,rarely
purple,girl,a,a,rarely
till,receipt,a,a,almost always
back,fence,a,a,almost always
green,frog,a,a,sometimes
kid,person,a,a,about half the time
sweet,mama,a,a,often
rain,day,a,a,rarely
baby,platypus,a,a,rarely
green,mat,a,a,sometimes
spa,camera,a,a,never
piggy,ride,a,a,almost always
poker,game,a,a,never
box,tape,a,a,rarely
ballet,skirt,a,a,always
plastic,bag,a,a,almost always
green,water,,,rarely
orange,fish,a,an,never
onion,stuffing,,,about half the time
bow,honey,,,about half the time
water,ride,a,a,rarely
stuffed,crocodile,a,a,rarely
purple,pony,a,a,about half the time
orange,lip,a,an,rarely
bear,eye,an,a,never
yellow,duck,a,a,always
pumpkin,bread,,,rarely
locked,gate,a,a,sometimes
green,plate,a,a,sometimes
pink,balloon,a,a,rarely
flaming,desk,a,a,never
sheet,pan,a,a,about half the time
yellow,milk,,,never
boat,person,a,a,rarely
candy,apple,an,a,rarely
purple,juice,,,rarely
wire,hair,,,rarely
chest,paddling,a,a,about half the time
day,person,a,a,about half the time
red,dinosaur,a,a,never
brown,oatmeal,,,almost always
dark,picture,a,a,rarely
glue,stick,a,a,rarely
boy,doctor,a,a,about half the time
dark,rabbit,a,a,rarely
dragon,bear,a,a,never
bear,track,a,a,rarely
hot,desert,a,a,almost always
brown,ribbon,a,a,rarely
dirty,suit,a,a,rarely
door,frame,a,a,rarely
pink,fan,a,a,rarely
parent,girl,a,a,never
hen,egg,an,a,almost always
bear,head,a,a,never
pumpkin,muffin,a,a,rarely
plastic,sack,a,a,almost always
soapy,water,,,rarely
pink,makeup,,,sometimes
turtle,purple,,,never
plastic,grid,a,a,often
pearl,ribbon,a,a,never
wooden,side,a,a,sometimes
apple,cinnamon,,,rarely
piggy,toe,a,a,almost always
swamp,land,,,rarely
bathroom,suite,a,a,never
dirty,tractor,a,a,often
thick,tights,,,sometimes
red,sun,,,rarely
red,crab,a,a,sometimes
dirty,mess,a,a,often
baby,chick,a,a,always
fridge,door,a,a,never
doggy,food,,,rarely
brown,beard,a,a,about half the time
purple,bear,a,a,never
giant,creature,a,a,rarely
yellow,octagon,an,a,rarely
dark,mulch,,,about half the time
green,light,a,a,often
church,warden,a,a,almost always
varnish,stain,a,a,always
square,pretzel,a,a,about half the time
red,ruby,a,a,almost always
solid,food,,,almost always
hot,pipe,a,a,about half the time
green,balloon,a,a,rarely
muffin,pan,a,a,never
orange,green,,,almost always
milk,pint,a,a,about half the time
bathroom,ceiling,a,a,rarely
ear,drum,a,an,rarely
thick,cheese,,,sometimes
mud,pool,a,a,rarely
orange,peel,a,an,almost always
red,bell,a,a,rarely
red,eye,an,a,rarely
purple,robe,a,a,rarely
snare,drum,a,a,about half the time
riding,horse,a,a,often
bunny,costume,a,a,sometimes
baby,voice,a,a,never
steam,engine,an,a,rarely
purple,corner,a,a,never
saucepan,lid,a,a,almost always
pink,slipper,a,a,rarely
brown,wing,a,a,rarely
fence,door,a,a,almost always
red,bridge,a,a,rarely
orange,carrot,a,an,always
car,engine,an,a,often
wet,wipe,a,a,almost always
fish,meal,a,a,sometimes
yellow,marble,a,a,rarely
blood,vessel,a,a,almost always
marble,painting,a,a,rarely
yellow,mustache,a,a,never
linen,closet,a,a,rarely
sticker,book,a,a,never
red,clock,a,a,rarely
candy,man,a,a,never
window,sill,a,a,almost always
mulberry,bush,a,a,rarely
blueberry,tea,,,rarely
green,square,a,a,sometimes
scavenger,hunt,a,a,often
green,tube,a,a,rarely
gulf,stream,a,a,about half the time
green,tummy,a,a,never
blood,check,a,a,about half the time
dirty,town,a,a,rarely
baby,bubble,a,a,never
outside,basket,a,an,about half the time
bed,explorer,an,a,never
telephone,point,a,a,rarely
wood,worm,a,a,sometimes
finger,nail,a,a,often
gas,cooking,,,often
car,green,,,rarely
baby,stick,a,a,rarely
potty,book,a,a,rarely
brown,lettuce,,,rarely
fish,dad,a,a,never
country,music,,,rarely
fire,hydrant,a,a,almost always
sea,baby,a,a,never
toy,tub,a,a,rarely
colored,worm,a,a,never
purple,ball,a,a,rarely
mitten,back,a,a,almost always
cookie,crumb,a,a,almost always
plastic,fork,a,a,rarely
passenger,train,a,a,sometimes
giant,cat,a,a,rarely
survey,photograph,a,a,never
purple,wrapper,a,a,rarely
slam,dunk,a,a,about half the time
pirate,ship,a,a,rarely
green,straw,a,a,never
giant,squid,a,a,rarely
bald,guy,a,a,never
tomato,sauce,,,about half the time
pink,sweater,a,a,rarely
orange,bean,a,an,about half the time
sleigh,bell,a,a,often
green,key,a,a,rarely
brown,crayon,a,a,rarely
outside,window,a,an,almost always
red,pole,a,a,rarely
red,rose,a,a,almost always
yellow,dress,a,a,rarely
liver,oil,,,often
surf,board,a,a,almost always
dirty,ground,,,always
purple,moon,a,a,never
swim,dolphin,a,a,always
green,rain,,,never
baby,body,a,a,rarely
orange,baby,a,an,never
cheese,packet,a,a,almost always
velvety,calf,a,a,almost always
egg,bread,,,rarely
salmon,sandwich,a,a,never
chocolate,log,a,a,rarely
ballroom,dancing,,,rarely
pine,needle,a,a,almost always
eye,shadow,a,an,rarely
purple,plant,a,a,rarely
wheat,cracker,a,a,often
transporter,company,a,a,never
green,candle,a,a,rarely
green,sugar,,,never
brick,piece,a,a,sometimes
purple,spoon,a,a,rarely
red,letter,a,a,about half the time
bowling,pin,a,a,often
military,person,a,a,rarely
bank,card,a,a,always
green,shoe,a,a,rarely
hedge,shears,,,sometimes
square,balloon,a,a,rarely
spiral,nail,a,a,never
spaghetti,porridge,,,never
jump,jockey,a,a,rarely
yellow,bar,a,a,always
garage,key,a,a,rarely
sand,swell,a,a,rarely
water,gun,a,a,almost always
sewer,line,a,a,rarely
boy,swing,a,a,never
butter,cup,a,a,rarely
green,tooth,a,a,never
sugar,oatmeal,,,often
yellow,boat,a,a,rarely
red,suit,a,a,never
ocean,ship,a,an,almost always
sugar,man,a,a,rarely
purple,duck,a,a,rarely
milk,pitcher,a,a,sometimes
onion,skin,,,never
cake,stall,a,a,rarely
fat,kiss,a,a,never
worm,bin,a,a,about half the time
wet,clothes,,,rarely
trash,game,a,a,often
green,daddy,a,a,rarely
purple,marker,a,a,about half the time
police,station,a,a,never
pig,roll,a,a,rarely
metal,clip,a,a,always
baby,step,a,a,rarely
music,room,a,a,rarely
night,air,,,sometimes
red,petal,a,a,rarely
nanny,training,a,a,rarely
pink,cloud,a,a,rarely
plastic,spoon,a,a,sometimes
fat,lump,a,a,sometimes
baby,picture,a,a,rarely
daddy,company,a,a,rarely
yellow,cow,a,a,rarely
red,grey,,,rarely
bottom,bar,a,a,often
tree,bark,a,a,almost always
yellow,bag,a,a,rarely
flat,pumpkin,a,a,rarely
college,building,a,a,rarely
locomotive,car,a,a,never
gold,dragon,a,a,never
chocolate,milk,,,sometimes
bald,baby,a,a,almost always
rugby,player,a,a,rarely
card,game,a,a,rarely
laser,beam,a,a,almost always
lead,boot,a,a,rarely
battle,field,a,a,rarely
yellow,button,a,a,sometimes
water,test,a,a,rarely
broken,neck,a,a,rarely
tea,towel,a,a,rarely
pirate,guy,a,a,rarely
bright,sun,,,almost always
pet,shop,a,a,rarely
green,bead,a,a,rarely
kid,movie,a,a,about half the time
dead,flower,a,a,rarely
yellow,bed,a,a,rarely
pest,attack,an,a,never
sirloin,steak,a,a,sometimes
burnt,toasted,,,sometimes
icy,road,a,an,rarely
comforter,cover,a,a,almost always
curtain,rail,a,a,often
water,feed,,,never
square,paper,a,a,sometimes
foot,hole,a,a,rarely
computer,man,a,a,sometimes
thyroid,infection,an,a,rarely
green,helmet,a,a,sometimes
purple,head,a,a,never
purple,wheel,a,a,rarely
hammer,head,a,a,rarely
green,stem,a,a,almost always
green,star,a,a,never
soapy,bubble,a,a,almost always
top,card,a,a,always
orange,skin,,,rarely
cargo,ship,a,a,sometimes
pink,piece,a,a,rarely
baby,jaguar,a,a,about half the time
food,picture,a,a,about half the time
garden,door,a,a,rarely
brown,bottom,a,a,almost always
pony,home,a,a,rarely
dragon,picture,a,a,rarely
red,mouth,a,a,rarely
chicken,prawn,a,a,never
baby,duck,a,a,rarely
plastic,duck,a,a,always
blueberry,bar,a,a,rarely
juicy,bite,a,a,about half the time
fat,cookie,a,a,sometimes
wet,sand,,,sometimes
bath,drain,a,a,sometimes
yellow,card,a,a,sometimes
green,creature,a,a,almost always
draw,pile,a,a,almost always
pipe,band,a,a,never
outside,toilet,a,an,rarely
yellow,block,a,a,rarely
green,boxcar,a,a,rarely
blob,cookie,a,a,rarely
back,chair,a,a,almost always
back,wall,a,a,rarely
pizza,crust,a,a,about half the time
giant,circle,a,a,rarely
chocolate,fry,a,a,never
boy,tiger,a,a,almost always
piano,bench,a,a,rarely
giant,baby,a,a,never
hot,coal,a,a,always
tub,toy,a,a,rarely
pink,box,a,a,rarely
kid,slide,a,a,almost always
outside,kitty,a,an,sometimes
water,tap,a,a,often
asteroid,belt,a,an,always
baby,swing,a,a,often
glass,jar,a,a,almost always
yellow,hat,a,a,rarely
green,button,a,a,rarely
dark,night,a,a,always
yellow,house,a,a,rarely
puzzle,box,a,a,rarely
naked,bear,a,a,never
egg,salad,a,an,sometimes
red,fan,a,a,about half the time
green,dragon,a,a,rarely
slim,girl,a,a,often
outdoor,art,,,rarely
green,boat,a,a,rarely
orange,scissors,,,rarely
wooden,chair,a,a,often
blonde,one,a,a,never
head,piece,a,a,always
cherry,pie,a,a,often
cathedral,window,a,a,rarely
blond,hair,,,rarely
lunch,bag,a,a,rarely
elephant,grey,,,always
purple,pot,a,a,rarely
brown,page,a,a,rarely
hot,sauce,,,rarely
stick,person,a,a,never
mince,pie,a,a,sometimes
yellow,color,a,a,often
colored,water,,,rarely
film,wrap,a,a,rarely
corn,movie,a,a,rarely
grey,dog,a,a,often
truck,book,a,a,rarely
girl,teacher,a,a,sometimes
broken,toy,a,a,rarely
orange,cracker,a,an,never
brown,lid,a,a,rarely
orange,mango,a,an,almost always
water,park,a,a,rarely
yellow,pot,a,a,rarely
shadow,puppet,a,a,always
brick,fire,,,almost always
willow,tree,a,a,sometimes
trash,man,a,a,sometimes
apple,skin,,,always
top,window,a,a,rarely
farm,puzzle,a,a,rarely
karate,suit,a,a,always
green,broccoli,,,almost always
orange,slice,a,an,almost always
pink,piggy,a,a,often
dinosaur,bone,a,a,rarely
milk,cow,a,a,sometimes
clock,book,a,a,about half the time
pink,marker,a,a,rarely
oatmeal,bath,a,an,rarely
racing,car,a,a,rarely
red,tower,a,a,rarely
yellow,truck,a,a,rarely
red,tail,a,a,rarely
blowing,nose,a,a,always
princess,tea,,,never
upstairs,brush,a,an,rarely
north,wind,,,sometimes
bottom,floor,a,a,always
slide,watch,a,a,never
train,money,,,rarely
soap,juice,,,never
red,boy,a,a,about half the time
karate,ballerina,a,a,rarely
steering,wheel,a,a,rarely
pineapple,juice,,,rarely
honey,marmalade,,,sometimes
hot,sun,,,almost always
color,stripe,a,a,about half the time
orange,marmalade,,,almost always
upstairs,flat,a,an,almost always
snow,pants,,,rarely
engine,driver,a,an,almost always
eye,witness,a,an,often
thick,point,a,a,always
green,booger,a,a,about half the time
picnic,bench,a,a,always
yellow,carrot,a,a,sometimes
orange,flower,a,an,about half the time
diamond,ring,a,a,rarely
chocolate,bar,a,a,sometimes
vegetable,soup,,,sometimes
sunflower,seed,a,a,rarely
snack,bar,a,a,often
dogs,face,a,a,rarely
yellow,broom,a,a,rarely
glass,light,a,a,often
freezing,water,,,rarely
brown,dog,a,a,about half the time
orange,squid,a,an,sometimes
country,road,a,a,sometimes
pocket,money,,,rarely
wet,wash,a,a,almost always
purple,camera,a,a,rarely
red,ribbon,a,a,often
colored,glue,,,sometimes
hot,tea,,,almost always
pink,frosting,,,rarely
night,school,a,a,rarely
giant,meteorite,a,a,always
pink,pony,a,a,rarely
upstairs,bed,a,an,about half the time
dinosaur,picture,a,a,rarely
sun,rise,a,a,always
wet,towel,a,a,sometimes
dirty,table,a,a,sometimes
kid,bike,a,a,about half the time
river,fishing,,,often
downstairs,loo,a,a,almost always
dirty,pavement,,,almost always
apple,tree,a,an,sometimes
icy,ring,a,an,never
hot,rod,a,a,rarely
brown,wig,a,a,about half the time
red,sauce,,,often
broken,bone,a,a,rarely
pink,bank,a,a,always
flat,knife,a,a,often
green,rectangle,a,a,sometimes
fat,child,a,a,rarely
round,hand,a,a,about half the time
couple,stair,a,a,never
bottom,cover,a,a,never
glitter,glue,,,rarely
bubble,wrap,a,a,often
flower,plate,a,a,never
scrap,yard,a,a,rarely
hair,cut,a,a,about half the time
football,teacher,a,a,rarely
duffel,coat,a,a,sometimes
dirty,box,a,a,rarely
dirty,movie,a,a,sometimes
daddy,chin,a,a,always
candy,gum,a,a,almost always
bus,driver,a,a,rarely
green,land,,,about half the time
dirty,vent,a,a,sometimes
pub,window,a,a,never
green,car,a,a,sometimes
cut,piece,a,a,rarely
yellow,queen,a,a,never
hot,wing,a,a,sometimes
wooden,animal,an,a,never
mommy,bird,a,a,about half the time
brown,suit,a,a,sometimes
baby,chicken,a,a,always
body,wash,a,a,never
orange,sword,a,an,never
yellow,shoe,a,a,rarely
orange,tree,a,an,never
back,page,a,a,rarely
taxi,man,a,a,sometimes
yellow,row,a,a,always
bacon,casserole,a,a,never
green,knight,a,a,always
ginger,ale,an,a,rarely
yellow,wedge,a,a,rarely
toy,box,a,a,sometimes
song,sheet,a,a,about half the time
pelican,crossing,a,a,often
hot,juice,,,rarely
doll,dress,a,a,rarely
yellow,pig,a,a,rarely
hot,cross,a,a,rarely
flower,pan,a,a,never
dog,joint,a,a,often
poop,factory,a,a,rarely
flower,room,a,a,rarely
bear,shoe,a,a,never
diamond,rock,a,a,rarely
blond,captain,a,a,rarely
header,tank,a,a,rarely
color,knight,a,a,always
dad,hand,a,a,rarely
ice,truck,a,an,rarely
water,bottle,a,a,sometimes
yellow,fire,,,sometimes
step,mother,a,a,always
bright,feather,a,a,never
machine,gun,a,a,rarely
hairy,finger,a,a,sometimes
yellow,bead,a,a,about half the time
brown,floor,a,a,often
dump,truck,a,a,rarely
print,shop,a,a,rarely
yellow,sheep,a,a,rarely
hot,pink,,,sometimes
daddy,headache,a,a,never
dog,hair,,,rarely
girl,shoe,a,a,about half the time
toilet,paper,a,a,sometimes
sand,toy,a,a,sometimes
blind,person,a,a,rarely
lighter,colors,a,a,always
orange,paint,,,sometimes
pussy,cat,a,a,almost always
flat,bed,a,a,always
orange,hat,a,an,rarely
night,kiss,a,a,about half the time
yellow,van,a,a,never
color,petal,a,a,always
bear,puzzle,a,a,rarely
carrier,bag,a,a,almost always
wolf,hound,a,a,sometimes
wet,floor,a,a,rarely
pooper,scooper,a,a,almost always
lollipop,stick,a,a,rarely
sweat,top,a,a,rarely
back,cellar,a,a,about half the time
macaroni,cheese,,,rarely
violin,group,a,a,rarely
nail,cut,a,a,always
farm,machine,a,a,sometimes
baby,tiger,a,a,rarely
curly,hair,,,sometimes
candy,house,a,a,always
wood,hardware,,,almost always
hermit,crab,a,a,always
ankle,sock,a,an,almost always
strawberry,flower,a,a,rarely
broken,car,a,a,rarely
coffee,cup,a,a,about half the time
cut,hair,,,always
hot,towel,a,a,rarely
mommy,horse,a,a,sometimes
fish,finger,a,a,never
chipmunk,song,a,a,rarely
frog,leg,a,a,rarely
giant,bucket,a,a,rarely
hot,boil,a,a,almost always
pink,snow,,,never
red,pin,a,a,never
rain,bow,a,a,rarely
red,colors,a,a,never
dish,soap,,,often
mommy,duck,a,a,sometimes
hair,ball,a,a,rarely
thick,marker,a,a,sometimes
dirty,pajamas,,,sometimes
bow,tie,a,a,rarely
solar,house,a,a,rarely
purple,monkey,a,a,never
hot,grill,a,a,almost always
climbing,stair,a,a,almost always
purple,cartridge,a,a,rarely
saw,puzzle,a,a,always
shortbread,cookie,a,a,rarely
car,parking,,,almost always
farm,instrument,an,a,almost always
dirty,room,a,a,sometimes
troll,person,a,a,rarely
drawing,office,an,a,rarely
shaving,mirror,a,a,sometimes
thick,rope,a,a,sometimes
orange,bird,a,an,rarely
lighter,snack,a,a,about half the time
red,hamster,a,a,never
split,cup,a,a,sometimes
orange,color,a,an,sometimes
purple,stick,a,a,rarely
gold,helmet,a,a,rarely
mother,bear,a,a,sometimes
puzzle,board,a,a,rarely
sand,castle,a,a,rarely
mail,truck,a,a,rarely
red,bowl,a,a,often
strawberry,lemonade,,,rarely
gold,shoe,a,a,rarely
fat,brush,a,a,about half the time
top,cap,a,a,almost always
red,doggie,a,a,never
tea,cake,a,a,rarely
wet,diaper,a,a,almost always
mechanic,shop,a,a,rarely
army,officer,an,an,almost always
bear,book,a,a,never
cream,tub,a,a,almost always
secretary,treasurer,a,a,often
ferry,crossing,a,a,rarely
purple,octopus,an,a,never
oatmeal,bite,a,an,sometimes
glass,building,a,a,rarely
dirty,finger,a,a,sometimes
toddler,bed,a,a,about half the time
circus,man,a,a,rarely
cut,glass,a,a,rarely
dark,color,a,a,almost always
hot,bottle,a,a,never
barge,person,a,a,rarely
yellow,tooth,a,a,almost always
pitch,fork,a,a,rarely
driving,instructor,an,a,about half the time
astronaut,hat,a,an,rarely
bear,cry,a,a,never
bay,window,a,a,rarely
berry,patch,a,a,never
piano,player,a,a,always
bedside,table,a,a,sometimes
dead,person,a,a,never
bird,cave,a,a,never
gold,coin,a,a,rarely
engine,oil,,,almost always
green,pot,a,a,rarely
ocean,animal,an,an,sometimes
cheese,ball,a,a,sometimes
red,bicycle,a,a,sometimes
turkey,breast,a,a,rarely
hairy,spider,a,a,almost always
apple,juice,,,almost always
paper,sticker,a,a,often
air,balloon,a,an,almost always
mud,pie,a,a,almost always
orange,circle,a,an,rarely
star,fish,a,a,almost always
fish,lip,a,a,sometimes
orange,broom,a,an,rarely
paint,plaster,a,a,rarely
dance,contest,a,a,rarely
hot,chocolate,,,rarely
green,elephant,an,a,never
flower,day,a,a,never
orange,pentagon,a,an,always
student,band,a,a,rarely
pink,milk,,,never
milk,shake,a,a,almost always
yellow,plastic,,,rarely
daddy,car,a,a,always
wet,tarmac,a,a,sometimes
pink,blanket,a,a,sometimes
shovel,fork,a,a,never
fat,piggy,a,a,about half the time
sugar,cone,a,a,almost always
glass,washer,a,a,never
silver,penny,a,a,rarely
sugar,syrup,,,about half the time
cookie,blob,a,a,never
donut,chair,a,a,never
watch,strap,a,a,often
top,cream,,,almost always
brown,teddy,a,a,often
red,purple,,,sometimes
blooming,month,a,a,always
bloody,coconut,a,a,never
game,tile,a,a,almost always
circle,drawing,a,a,rarely
fat,belly,a,a,often
puffy,cloud,a,a,often
dirty,outside,an,a,always
book,tray,a,a,always
red,blood,,,always
cream,taste,a,a,rarely
grey,tights,,,sometimes
sword,fight,a,a,rarely
female,alligator,an,a,about half the time
dark,turquoise,,,rarely
check,mark,a,a,always
throw,toy,a,a,about half the time
back,line,a,a,rarely
silky,mask,a,a,rarely
potato,chip,a,a,almost always
stand,firm,a,a,rarely
cut,trunk,a,a,rarely
red,mark,a,a,almost always
powder,paint,,,almost always
broken,crayon,a,a,sometimes
mail,uniform,a,a,often
police,man,a,a,sometimes
yellow,taxi,a,a,often
river,path,a,a,rarely
flat,tire,a,a,rarely
brown,horse,a,a,often
purple,dot,a,a,about half the time
cranberry,juice,,,rarely
fire,fighter,a,a,often
ocean,wave,a,an,almost always
red,paint,,,often
red,dot,a,a,sometimes
orange,leaflet,a,an,rarely
red,cab,a,a,often
triangle,roof,a,a,almost always
plastic,cup,a,a,often
ant,trail,a,an,rarely
seat,belt,a,a,rarely
bread,box,a,a,almost always
yellow,car,a,a,rarely
mud,color,a,a,sometimes
orange,shovel,a,an,rarely
red,picture,a,a,rarely
orange,macaroni,,,sometimes
orange,screw,a,an,rarely
head,shot,a,a,often
snowy,day,a,a,rarely
road,track,a,a,about half the time
green,wall,a,a,never
hot,steam,,,almost always
hot,mess,a,a,rarely
drummer,boy,a,a,about half the time
market,stall,a,a,often
turtle,magazine,a,a,rarely
orange,packet,a,an,about half the time
home,movie,a,a,never
red,cape,a,a,almost always
weeping,willow,a,a,often
red,bone,a,a,rarely
oil,barrel,a,an,often
shirt,top,a,a,often
purple,frog,a,a,almost always
children,book,a,a,about half the time
purple,bubble,a,a,almost always
sweet,potato,a,a,never
village,hall,a,a,about half the time
lacrosse,stick,a,a,about half the time
snake,tongue,a,a,always
bread,knife,a,a,about half the time
bake,cookie,a,a,always
hare,lip,a,a,almost always
pink,pants,,,rarely
red,lip,a,a,often
batman,shoe,a,a,rarely
dark,room,a,a,rarely
dark,paint,,,almost always
dinosaur,egg,an,a,never
wooden,horse,a,a,rarely
oval,circle,a,an,never
kid,game,a,a,often
purple,basket,a,a,rarely
purple,bead,a,a,rarely
orange,tiger,a,an,almost always
hot,corn,a,a,almost always
ballet,dress,a,a,always
fish,puppet,a,a,rarely
purple,patch,a,a,never
green,bear,a,a,almost always
bread,dough,,,sometimes
grey,hair,,,rarely
document,file,a,a,often
bedroom,flat,a,a,almost always
yellow,kite,a,a,rarely
pitcher,glove,a,a,rarely
ink,pad,a,an,often
mouse,ear,an,a,rarely
pink,cup,a,a,rarely
red,belly,a,a,always
orange,crayon,a,an,rarely
ankle,boot,a,an,often
dog,bun,a,a,always
bus,puzzle,a,a,rarely
green,leg,a,a,rarely
dirty,food,,,rarely
hamburger,bun,a,a,almost always
soccer,ball,a,a,about half the time
jean,jacket,a,a,often
green,chair,a,a,rarely
yellow,stick,a,a,rarely
leaf,pile,a,a,sometimes
red,luggage,,,rarely
orange,sequin,a,an,never
dirty,garbage,,,always
wash,cloth,a,a,always
green,bubble,a,a,rarely
upstairs,toy,a,an,sometimes
balloon,popping,a,a,about half the time
yellow,mountain,a,a,never
water,line,a,a,sometimes
top,piece,a,a,about half the time
straw,cup,a,a,rarely
red,lead,a,a,rarely
snack,boy,a,a,always
circle,puzzle,a,a,rarely
banana,chip,a,a,rarely
apple,cider,,,almost always
snowman,melt,a,a,almost always
skate,board,a,a,rarely
grocery,warehouse,a,a,rarely
wheel,chair,a,a,rarely
baby,bag,a,a,sometimes
wood,box,a,a,rarely
car,ferry,a,a,about half the time
red,tights,,,sometimes
smiley,face,a,a,always
crystal,piece,a,a,rarely
cherry,vanilla,,,never
bath,room,a,a,almost always
