adjective,noun,article,adj_article,gpt3_judgment
brown,teddy,a,a,Almost always
red,purple,,,Never
blooming,month,a,a,Sometimes
bloody,coconut,a,a,Never
game,tile,a,a,Sometimes
circle,drawing,a,a,Almost always
fat,belly,a,a,Often
puffy,cloud,a,a,Often
dirty,outside,an,a,Often
book,tray,a,a,Rarely
red,blood,,,Always
cream,taste,a,a,Often
grey,tights,,,Sometimes
sword,fight,a,a,Rarely
female,alligator,an,a,Almost always
dark,turquoise,,,Rarely
check,mark,a,a,Almost always.
throw,toy,a,a,Sometimes
back,line,a,a,Rarely
silky,mask,a,a,Rarely
potato,chip,a,a,Almost always
stand,firm,a,a,Never
cut,trunk,a,a,Rarely
red,mark,a,a,Often
powder,paint,,,Rarely
broken,crayon,a,a,Rarely
mail,uniform,a,a,Almost Always
police,man,a,a,Often
yellow,taxi,a,a,Often
river,path,a,a,Sometimes
flat,tire,a,a,Never.
brown,horse,a,a,Often
purple,dot,a,a,Rarely
cranberry,juice,,,Rarely
fire,fighter,a,a,Sometimes
ocean,wave,a,an,Often
red,paint,,,Often
red,dot,a,a,Sometimes
orange,leaflet,a,an,Rarely
red,cab,a,a,Sometimes
triangle,roof,a,a,Rarely
plastic,cup,a,a,Often
ant,trail,a,an,Rarely
seat,belt,a,a,Almost always
bread,box,a,a,Rarely
yellow,car,a,a,Sometimes
mud,color,a,a,Sometimes
orange,shovel,a,an,Rarely
red,picture,a,a,Rarely.
orange,macaroni,,,Never
orange,screw,a,an,Never
head,shot,a,a,Often
snowy,day,a,a,Rarely.
road,track,a,a,Sometimes
green,wall,a,a,Rarely
hot,steam,,,Almost always
hot,mess,a,a,Often
drummer,boy,a,a,Sometimes
market,stall,a,a,Often
turtle,magazine,a,a,Never
orange,packet,a,an,Never
home,movie,a,a,Rarely
red,cape,a,a,Rarely
weeping,willow,a,a,Often
red,bone,a,a,Never
oil,barrel,a,an,Almost always
shirt,top,a,a,Often
purple,frog,a,a,Rarely
children,book,a,a,Often
purple,bubble,a,a,Rarely
sweet,potato,a,a,Rarely
village,hall,a,a,Often
lacrosse,stick,a,a,Rarely
snake,tongue,a,a,Rarely.
bread,knife,a,a,Often
bake,cookie,a,a,Almost always
hare,lip,a,a,Rarely
pink,pants,,,Rarely
red,lip,a,a,Almost always
batman,shoe,a,a,Rarely
dark,room,a,a,Sometimes
dark,paint,,,Sometimes
dinosaur,egg,an,a,Never
