adjective,noun,article,adj_article,llama_base_judgment
library,ticket,a,a,often
lobster,pot,a,a,almost always
brown,writing,,,often
round,scissors,,,almost always
red,tape,a,a,rarely
bunny,ear,an,a,rarely
baby,rabbit,a,a,never
school,report,a,a,often
red,puck,a,a,rarely
green,uniform,a,a,almost always
top,line,a,a,almost always
wax,coat,a,a,almost always
rocky,truck,a,a,rarely
yellow,hand,a,a,almost always
giant,caterpillar,a,a,almost always
brown,belt,a,a,sometimes
baby,giraffe,a,a,sometimes
animal,puzzle,a,an,sometimes
plant,food,,,sometimes
gym,teacher,a,a,about half the time
pink,boot,a,a,almost always
bike,riding,,,always
bath,toy,a,a,about half the time
money,broker,a,a,rarely
round,mark,a,a,sometimes
knuckle,head,a,a,almost always
crusty,loaf,a,a,almost always
video,store,a,a,rarely
toilet,seat,a,a,never
sweet,girl,a,a,often
toe,soup,,,rarely
icy,drink,a,an,almost always
tooth,brush,a,a,never
diamond,piece,a,a,never
dirty,key,a,a,almost always
purple,cocoon,a,a,rarely
princess,sticker,a,a,rarely
purple,coat,a,a,rarely
gum,tree,a,a,sometimes
top,prize,a,a,almost always
lunch,break,a,a,never
giant,cloud,a,a,never
planet,earth,,,almost always
fire,hose,a,a,rarely
fat,chap,a,a,almost always
mother,pig,a,a,often
red,pants,,,rarely
purple,button,a,a,never
baby,gorilla,a,a,almost always
sleeping,dolphin,a,a,always
solid,bronze,,,often
scrap,paper,a,a,almost always
girl,bike,a,a,never
bean,plant,a,a,rarely
purple,wing,a,a,never
sweet,heart,a,a,almost always
farmer,market,a,a,rarely
dirty,truck,a,a,about half the time
brown,marker,a,a,never
painting,shirt,a,a,rarely
flat,table,a,a,about half the time
boiling,pot,a,a,often
colored,dot,a,a,almost always
yellow,rubber,,,sometimes
red,boat,a,a,often
standing,penguin,a,a,about half the time
cat,hair,,,sometimes
roof,rack,a,a,almost always
bean,sprout,a,a,about half the time
whale,song,a,a,almost always
red,turtle,a,a,never
red,penguin,a,a,never
parmesan,cheese,,,almost always
hill,top,a,a,sometimes
cottage,cheese,,,almost always
dark,rock,a,a,about half the time
round,corner,a,a,almost always
cake,baby,a,a,sometimes
yellow,outfit,an,a,about half the time
shave,rash,a,a,sometimes
scrap,heap,a,a,sometimes
air,push,a,an,never
girl,hair,,,often
shoe,polish,,,almost always
red,whale,a,a,never
sweet,pie,a,a,about half the time
bald,boy,a,a,often
stone,coating,a,a,often
truck,mom,a,a,about half the time
orange,kitten,a,an,often
giant,head,a,a,almost always
daddy,horse,a,a,about half the time
roller,coaster,a,a,almost always
frozen,room,a,a,rarely
gold,dust,,,about half the time
pink,carpet,a,a,almost always
juicy,pineapple,a,a,often
red,book,a,a,rarely
wooden,piece,a,a,sometimes
water,bucket,a,a,always
night,bird,a,a,almost always
tap,dance,a,a,sometimes
bread,crust,a,a,almost always
floor,archway,an,a,rarely
shark,game,a,a,rarely
hot,radiator,a,a,often
boy,baby,a,a,about half the time
paper,towel,a,a,never
stage,spot,a,a,rarely
bible,book,a,a,always
purple,handle,a,a,rarely
star,red,,,always
green,snake,a,a,never
purple,train,a,a,almost always
beetle,game,a,a,about half the time
garden,tree,a,a,almost always
thick,soup,,,almost always
river,shack,a,a,never
red,machine,a,a,sometimes
stomach,bug,a,a,rarely
strawberry,cookie,a,a,almost always
pink,fur,,,rarely
color,purple,,,always
meal,guy,a,a,almost always
orange,truck,a,an,rarely
tin,can,a,a,almost always
daddy,lion,a,a,often
sweet,guy,a,a,always
rocket,ship,a,a,rarely
copper,dagger,a,a,never
brick,wall,a,a,never
camp,fire,a,a,almost always
purple,water,,,never
air,conditioner,,,almost always
throw,ball,a,a,sometimes
ham,ball,a,a,rarely
red,railing,a,a,never
solid,color,a,a,almost always
bulletin,board,a,a,never
yellow,metal,,,rarely
wood,basket,a,a,sometimes
grey,clay,,,sometimes
dirty,mitt,a,a,almost always
glass,door,a,a,never
green,cup,a,a,never
mommy,movie,a,a,rarely
orange,ear,an,an,about half the time
orange,piece,a,an,always
human,race,a,a,about half the time
baseball,bat,a,a,rarely
hot,grease,,,often
grill,cheese,,,sometimes
golf,ball,a,a,almost always
water,plant,a,a,never
yellow,hose,a,a,sometimes
string,bean,a,a,often
cow,manure,,,often
swim,trunk,a,a,never
bleeding,phone,a,a,never
gum,flavor,a,a,never
giant,yogurt,,,never
heart,sweet,a,a,often
roll,shot,a,a,often
blueberry,juice,,,almost always
green,grass,,,always
slope,testing,a,a,often
wrestling,guy,a,a,often
squirt,gun,a,a,rarely
smoke,alarm,an,a,often
phone,box,a,a,never
stock,room,a,a,rarely
bamboo,shoot,a,a,about half the time
red,hat,a,a,often
hippopotamus,face,a,a,rarely
yellow,moon,a,a,about half the time
hand,print,a,a,almost always
snow,flake,a,a,almost always
hot,cookie,a,a,often
pterodactyl,leg,a,a,rarely
derby,girl,a,a,rarely
baby,beluga,a,a,about half the time
fence,post,a,a,always
pink,bag,a,a,about half the time
purple,shirt,a,a,almost always
calendar,book,a,a,almost always
juicy,fruit,a,a,almost always
gold,key,a,a,sometimes
purple,girl,a,a,never
till,receipt,a,a,often
back,fence,a,a,often
green,frog,a,a,almost always
kid,person,a,a,sometimes
sweet,mama,a,a,often
rain,day,a,a,almost always
baby,platypus,a,a,always
green,mat,a,a,rarely
spa,camera,a,a,never
piggy,ride,a,a,almost always
poker,game,a,a,rarely
box,tape,a,a,almost always
ballet,skirt,a,a,rarely
plastic,bag,a,a,almost always
green,water,,,about half the time
orange,fish,a,an,never
onion,stuffing,,,often
bow,honey,,,always
water,ride,a,a,almost always
stuffed,crocodile,a,a,rarely
purple,pony,a,a,rarely
orange,lip,a,an,almost always
bear,eye,an,a,never
yellow,duck,a,a,sometimes
pumpkin,bread,,,rarely
locked,gate,a,a,often
green,plate,a,a,sometimes
pink,balloon,a,a,about half the time
flaming,desk,a,a,rarely
sheet,pan,a,a,almost always
yellow,milk,,,rarely
boat,person,a,a,never
candy,apple,an,a,rarely
purple,juice,,,rarely
wire,hair,,,often
chest,paddling,a,a,sometimes
day,person,a,a,almost always
red,dinosaur,a,a,always
brown,oatmeal,,,about half the time
dark,picture,a,a,almost always
glue,stick,a,a,rarely
boy,doctor,a,a,never
dark,rabbit,a,a,about half the time
dragon,bear,a,a,never
bear,track,a,a,about half the time
hot,desert,a,a,sometimes
brown,ribbon,a,a,never
dirty,suit,a,a,rarely
door,frame,a,a,almost always
pink,fan,a,a,rarely
parent,girl,a,a,often
hen,egg,an,a,about half the time
bear,head,a,a,never
pumpkin,muffin,a,a,rarely
plastic,sack,a,a,sometimes
soapy,water,,,never
pink,makeup,,,about half the time
turtle,purple,,,almost always
plastic,grid,a,a,often
pearl,ribbon,a,a,sometimes
wooden,side,a,a,rarely
apple,cinnamon,,,sometimes
piggy,toe,a,a,almost always
swamp,land,,,never
bathroom,suite,a,a,almost always
dirty,tractor,a,a,never
thick,tights,,,sometimes
red,sun,,,rarely
red,crab,a,a,almost always
dirty,mess,a,a,sometimes
baby,chick,a,a,about half the time
fridge,door,a,a,never
doggy,food,,,almost always
brown,beard,a,a,sometimes
purple,bear,a,a,never
giant,creature,a,a,almost always
yellow,octagon,an,a,sometimes
dark,mulch,,,often
green,light,a,a,never
church,warden,a,a,never
varnish,stain,a,a,always
square,pretzel,a,a,rarely
red,ruby,a,a,always
solid,food,,,often
hot,pipe,a,a,almost always
green,balloon,a,a,often
muffin,pan,a,a,rarely
orange,green,,,rarely
milk,pint,a,a,rarely
bathroom,ceiling,a,a,never
ear,drum,a,an,rarely
thick,cheese,,,never
mud,pool,a,a,rarely
orange,peel,a,an,always
red,bell,a,a,rarely
red,eye,an,a,rarely
purple,robe,a,a,rarely
snare,drum,a,a,almost always
riding,horse,a,a,about half the time
bunny,costume,a,a,almost always
baby,voice,a,a,often
steam,engine,an,a,rarely
purple,corner,a,a,never
saucepan,lid,a,a,about half the time
pink,slipper,a,a,rarely
brown,wing,a,a,sometimes
fence,door,a,a,almost always
red,bridge,a,a,never
orange,carrot,a,an,never
car,engine,an,a,often
wet,wipe,a,a,often
fish,meal,a,a,often
yellow,marble,a,a,often
blood,vessel,a,a,often
marble,painting,a,a,never
yellow,mustache,a,a,sometimes
linen,closet,a,a,sometimes
sticker,book,a,a,never
red,clock,a,a,about half the time
candy,man,a,a,often
window,sill,a,a,rarely
mulberry,bush,a,a,sometimes
blueberry,tea,,,rarely
green,square,a,a,sometimes
scavenger,hunt,a,a,never
green,tube,a,a,about half the time
gulf,stream,a,a,never
green,tummy,a,a,sometimes
blood,check,a,a,almost always
dirty,town,a,a,often
baby,bubble,a,a,sometimes
outside,basket,a,an,sometimes
bed,explorer,an,a,never
telephone,point,a,a,never
wood,worm,a,a,never
finger,nail,a,a,almost always
gas,cooking,,,often
car,green,,,almost always
baby,stick,a,a,almost always
potty,book,a,a,often
brown,lettuce,,,sometimes
fish,dad,a,a,never
country,music,,,about half the time
fire,hydrant,a,a,always
sea,baby,a,a,never
toy,tub,a,a,often
colored,worm,a,a,about half the time
purple,ball,a,a,about half the time
mitten,back,a,a,almost always
cookie,crumb,a,a,often
plastic,fork,a,a,rarely
passenger,train,a,a,often
giant,cat,a,a,often
survey,photograph,a,a,often
purple,wrapper,a,a,always
slam,dunk,a,a,almost always
pirate,ship,a,a,rarely
green,straw,a,a,rarely
giant,squid,a,a,sometimes
bald,guy,a,a,about half the time
tomato,sauce,,,often
pink,sweater,a,a,often
orange,bean,a,an,almost always
sleigh,bell,a,a,often
green,key,a,a,rarely
brown,crayon,a,a,rarely
outside,window,a,an,almost always
red,pole,a,a,almost always
red,rose,a,a,often
yellow,dress,a,a,rarely
liver,oil,,,almost always
surf,board,a,a,often
dirty,ground,,,rarely
purple,moon,a,a,rarely
swim,dolphin,a,a,about half the time
green,rain,,,almost always
baby,body,a,a,about half the time
orange,baby,a,an,never
cheese,packet,a,a,rarely
velvety,calf,a,a,sometimes
egg,bread,,,rarely
salmon,sandwich,a,a,rarely
chocolate,log,a,a,never
ballroom,dancing,,,sometimes
pine,needle,a,a,about half the time
eye,shadow,a,an,rarely
purple,plant,a,a,never
wheat,cracker,a,a,rarely
transporter,company,a,a,about half the time
green,candle,a,a,almost always
green,sugar,,,almost always
brick,piece,a,a,always
purple,spoon,a,a,rarely
red,letter,a,a,never
bowling,pin,a,a,almost always
military,person,a,a,often
bank,card,a,a,about half the time
green,shoe,a,a,rarely
hedge,shears,,,often
square,balloon,a,a,rarely
spiral,nail,a,a,rarely
spaghetti,porridge,,,about half the time
jump,jockey,a,a,often
yellow,bar,a,a,almost always
garage,key,a,a,about half the time
sand,swell,a,a,almost always
water,gun,a,a,almost always
sewer,line,a,a,rarely
boy,swing,a,a,about half the time
butter,cup,a,a,rarely
green,tooth,a,a,sometimes
sugar,oatmeal,,,often
yellow,boat,a,a,about half the time
red,suit,a,a,never
ocean,ship,a,an,often
sugar,man,a,a,sometimes
purple,duck,a,a,sometimes
milk,pitcher,a,a,almost always
onion,skin,,,always
cake,stall,a,a,often
fat,kiss,a,a,often
worm,bin,a,a,about half the time
wet,clothes,,,never
trash,game,a,a,rarely
green,daddy,a,a,rarely
purple,marker,a,a,never
police,station,a,a,about half the time
pig,roll,a,a,rarely
metal,clip,a,a,always
baby,step,a,a,almost always
music,room,a,a,rarely
night,air,,,almost always
red,petal,a,a,often
nanny,training,a,a,never
pink,cloud,a,a,never
plastic,spoon,a,a,sometimes
fat,lump,a,a,often
baby,picture,a,a,about half the time
daddy,company,a,a,about half the time
yellow,cow,a,a,never
red,grey,,,almost always
bottom,bar,a,a,almost always
tree,bark,a,a,almost always
yellow,bag,a,a,rarely
flat,pumpkin,a,a,never
college,building,a,a,almost always
locomotive,car,a,a,almost always
gold,dragon,a,a,often
chocolate,milk,,,rarely
bald,baby,a,a,almost always
rugby,player,a,a,rarely
card,game,a,a,never
laser,beam,a,a,rarely
lead,boot,a,a,sometimes
battle,field,a,a,often
yellow,button,a,a,never
water,test,a,a,almost always
broken,neck,a,a,rarely
tea,towel,a,a,never
pirate,guy,a,a,rarely
bright,sun,,,always
pet,shop,a,a,rarely
green,bead,a,a,rarely
kid,movie,a,a,never
dead,flower,a,a,rarely
yellow,bed,a,a,almost always
pest,attack,an,a,rarely
sirloin,steak,a,a,always
burnt,toasted,,,almost always
icy,road,a,an,often
comforter,cover,a,a,never
curtain,rail,a,a,sometimes
water,feed,,,often
square,paper,a,a,never
foot,hole,a,a,never
computer,man,a,a,sometimes
thyroid,infection,an,a,never
green,helmet,a,a,always
purple,head,a,a,sometimes
purple,wheel,a,a,rarely
hammer,head,a,a,never
green,stem,a,a,about half the time
green,star,a,a,rarely
soapy,bubble,a,a,often
top,card,a,a,always
orange,skin,,,rarely
cargo,ship,a,a,rarely
pink,piece,a,a,rarely
baby,jaguar,a,a,never
food,picture,a,a,never
garden,door,a,a,never
brown,bottom,a,a,almost always
pony,home,a,a,sometimes
dragon,picture,a,a,almost always
red,mouth,a,a,often
chicken,prawn,a,a,rarely
baby,duck,a,a,almost always
plastic,duck,a,a,rarely
blueberry,bar,a,a,rarely
juicy,bite,a,a,always
fat,cookie,a,a,about half the time
wet,sand,,,about half the time
bath,drain,a,a,almost always
yellow,card,a,a,never
green,creature,a,a,never
draw,pile,a,a,about half the time
pipe,band,a,a,almost always
outside,toilet,a,an,never
yellow,block,a,a,almost always
green,boxcar,a,a,rarely
blob,cookie,a,a,rarely
back,chair,a,a,often
back,wall,a,a,rarely
pizza,crust,a,a,about half the time
giant,circle,a,a,rarely
chocolate,fry,a,a,about half the time
boy,tiger,a,a,never
piano,bench,a,a,never
giant,baby,a,a,rarely
hot,coal,a,a,rarely
tub,toy,a,a,never
pink,box,a,a,rarely
kid,slide,a,a,almost always
outside,kitty,a,an,sometimes
water,tap,a,a,often
asteroid,belt,a,an,sometimes
baby,swing,a,a,rarely
glass,jar,a,a,almost always
yellow,hat,a,a,never
green,button,a,a,often
dark,night,a,a,about half the time
yellow,house,a,a,rarely
puzzle,box,a,a,sometimes
naked,bear,a,a,almost always
egg,salad,a,an,almost always
red,fan,a,a,rarely
green,dragon,a,a,rarely
slim,girl,a,a,sometimes
outdoor,art,,,almost always
green,boat,a,a,almost always
orange,scissors,,,never
wooden,chair,a,a,often
blonde,one,a,a,never
head,piece,a,a,sometimes
cherry,pie,a,a,often
cathedral,window,a,a,often
blond,hair,,,sometimes
lunch,bag,a,a,rarely
elephant,grey,,,almost always
purple,pot,a,a,never
brown,page,a,a,never
hot,sauce,,,often
stick,person,a,a,almost always
mince,pie,a,a,about half the time
yellow,color,a,a,sometimes
colored,water,,,never
film,wrap,a,a,never
corn,movie,a,a,almost always
grey,dog,a,a,sometimes
truck,book,a,a,almost always
girl,teacher,a,a,almost always
broken,toy,a,a,never
orange,cracker,a,an,always
brown,lid,a,a,never
orange,mango,a,an,always
water,park,a,a,never
yellow,pot,a,a,almost always
shadow,puppet,a,a,never
brick,fire,,,about half the time
willow,tree,a,a,sometimes
trash,man,a,a,about half the time
apple,skin,,,almost always
top,window,a,a,never
farm,puzzle,a,a,rarely
karate,suit,a,a,rarely
green,broccoli,,,about half the time
orange,slice,a,an,almost always
pink,piggy,a,a,almost always
dinosaur,bone,a,a,almost always
milk,cow,a,a,never
clock,book,a,a,rarely
pink,marker,a,a,almost always
oatmeal,bath,a,an,often
racing,car,a,a,almost always
red,tower,a,a,never
yellow,truck,a,a,rarely
red,tail,a,a,rarely
blowing,nose,a,a,almost always
princess,tea,,,never
upstairs,brush,a,an,rarely
north,wind,,,sometimes
bottom,floor,a,a,rarely
slide,watch,a,a,sometimes
train,money,,,always
soap,juice,,,rarely
red,boy,a,a,always
karate,ballerina,a,a,rarely
steering,wheel,a,a,rarely
pineapple,juice,,,often
honey,marmalade,,,almost always
hot,sun,,,often
color,stripe,a,a,rarely
orange,marmalade,,,rarely
upstairs,flat,a,an,often
snow,pants,,,often
engine,driver,a,an,almost always
eye,witness,a,an,almost always
thick,point,a,a,almost always
green,booger,a,a,sometimes
picnic,bench,a,a,rarely
yellow,carrot,a,a,sometimes
orange,flower,a,an,always
diamond,ring,a,a,about half the time
chocolate,bar,a,a,always
vegetable,soup,,,always
sunflower,seed,a,a,often
snack,bar,a,a,never
dogs,face,a,a,rarely
yellow,broom,a,a,rarely
glass,light,a,a,about half the time
freezing,water,,,rarely
brown,dog,a,a,almost always
orange,squid,a,an,sometimes
country,road,a,a,almost always
pocket,money,,,always
wet,wash,a,a,rarely
purple,camera,a,a,rarely
red,ribbon,a,a,often
colored,glue,,,often
hot,tea,,,almost always
pink,frosting,,,almost always
night,school,a,a,never
giant,meteorite,a,a,rarely
pink,pony,a,a,always
upstairs,bed,a,an,never
dinosaur,picture,a,a,almost always
sun,rise,a,a,almost always
wet,towel,a,a,almost always
dirty,table,a,a,rarely
kid,bike,a,a,sometimes
river,fishing,,,rarely
downstairs,loo,a,a,almost always
dirty,pavement,,,almost always
apple,tree,a,an,sometimes
icy,ring,a,an,about half the time
hot,rod,a,a,never
brown,wig,a,a,sometimes
red,sauce,,,almost always
broken,bone,a,a,about half the time
pink,bank,a,a,rarely
flat,knife,a,a,never
green,rectangle,a,a,rarely
fat,child,a,a,sometimes
round,hand,a,a,rarely
couple,stair,a,a,about half the time
bottom,cover,a,a,about half the time
glitter,glue,,,sometimes
bubble,wrap,a,a,rarely
flower,plate,a,a,never
scrap,yard,a,a,never
hair,cut,a,a,almost always
football,teacher,a,a,never
duffel,coat,a,a,sometimes
dirty,box,a,a,rarely
dirty,movie,a,a,never
daddy,chin,a,a,about half the time
candy,gum,a,a,often
bus,driver,a,a,almost always
green,land,,,often
dirty,vent,a,a,sometimes
pub,window,a,a,almost always
green,car,a,a,almost always
cut,piece,a,a,always
yellow,queen,a,a,never
hot,wing,a,a,often
wooden,animal,an,a,never
mommy,bird,a,a,about half the time
brown,suit,a,a,about half the time
baby,chicken,a,a,almost always
body,wash,a,a,almost always
orange,sword,a,an,almost always
yellow,shoe,a,a,rarely
orange,tree,a,an,almost always
back,page,a,a,almost always
taxi,man,a,a,never
yellow,row,a,a,never
bacon,casserole,a,a,rarely
green,knight,a,a,rarely
ginger,ale,an,a,rarely
yellow,wedge,a,a,sometimes
toy,box,a,a,sometimes
song,sheet,a,a,never
pelican,crossing,a,a,about half the time
hot,juice,,,rarely
doll,dress,a,a,rarely
yellow,pig,a,a,never
hot,cross,a,a,almost always
flower,pan,a,a,about half the time
dog,joint,a,a,never
poop,factory,a,a,never
flower,room,a,a,never
bear,shoe,a,a,almost always
diamond,rock,a,a,never
blond,captain,a,a,sometimes
header,tank,a,a,rarely
color,knight,a,a,often
dad,hand,a,a,almost always
ice,truck,a,an,rarely
water,bottle,a,a,about half the time
yellow,fire,,,rarely
step,mother,a,a,always
bright,feather,a,a,sometimes
machine,gun,a,a,often
hairy,finger,a,a,almost always
yellow,bead,a,a,sometimes
brown,floor,a,a,sometimes
dump,truck,a,a,almost always
print,shop,a,a,rarely
yellow,sheep,a,a,rarely
hot,pink,,,sometimes
daddy,headache,a,a,never
dog,hair,,,almost always
girl,shoe,a,a,rarely
toilet,paper,a,a,almost always
sand,toy,a,a,sometimes
blind,person,a,a,rarely
lighter,colors,a,a,sometimes
orange,paint,,,sometimes
pussy,cat,a,a,about half the time
flat,bed,a,a,often
orange,hat,a,an,often
night,kiss,a,a,often
yellow,van,a,a,rarely
color,petal,a,a,often
bear,puzzle,a,a,almost always
carrier,bag,a,a,almost always
wolf,hound,a,a,almost always
wet,floor,a,a,always
pooper,scooper,a,a,almost always
lollipop,stick,a,a,never
sweat,top,a,a,about half the time
back,cellar,a,a,almost always
macaroni,cheese,,,sometimes
violin,group,a,a,sometimes
nail,cut,a,a,sometimes
farm,machine,a,a,often
baby,tiger,a,a,never
curly,hair,,,often
candy,house,a,a,rarely
wood,hardware,,,never
hermit,crab,a,a,often
ankle,sock,a,an,about half the time
strawberry,flower,a,a,about half the time
broken,car,a,a,often
coffee,cup,a,a,about half the time
cut,hair,,,sometimes
hot,towel,a,a,rarely
mommy,horse,a,a,sometimes
fish,finger,a,a,rarely
chipmunk,song,a,a,almost always
frog,leg,a,a,almost always
giant,bucket,a,a,almost always
hot,boil,a,a,rarely
pink,snow,,,never
red,pin,a,a,almost always
rain,bow,a,a,never
red,colors,a,a,sometimes
dish,soap,,,rarely
mommy,duck,a,a,often
hair,ball,a,a,never
thick,marker,a,a,almost always
dirty,pajamas,,,sometimes
bow,tie,a,a,always
solar,house,a,a,often
purple,monkey,a,a,rarely
hot,grill,a,a,almost always
climbing,stair,a,a,often
purple,cartridge,a,a,never
saw,puzzle,a,a,almost always
shortbread,cookie,a,a,about half the time
car,parking,,,often
farm,instrument,an,a,never
dirty,room,a,a,rarely
troll,person,a,a,about half the time
drawing,office,an,a,almost always
shaving,mirror,a,a,about half the time
thick,rope,a,a,never
orange,bird,a,an,rarely
lighter,snack,a,a,sometimes
red,hamster,a,a,rarely
split,cup,a,a,rarely
orange,color,a,an,always
purple,stick,a,a,never
gold,helmet,a,a,about half the time
mother,bear,a,a,about half the time
puzzle,board,a,a,sometimes
sand,castle,a,a,rarely
mail,truck,a,a,rarely
red,bowl,a,a,always
strawberry,lemonade,,,rarely
gold,shoe,a,a,rarely
fat,brush,a,a,about half the time
top,cap,a,a,almost always
red,doggie,a,a,almost always
tea,cake,a,a,about half the time
wet,diaper,a,a,almost always
mechanic,shop,a,a,never
army,officer,an,an,always
bear,book,a,a,never
cream,tub,a,a,almost always
secretary,treasurer,a,a,rarely
ferry,crossing,a,a,sometimes
purple,octopus,an,a,almost always
oatmeal,bite,a,an,never
glass,building,a,a,often
dirty,finger,a,a,often
toddler,bed,a,a,about half the time
circus,man,a,a,sometimes
cut,glass,a,a,always
dark,color,a,a,almost always
hot,bottle,a,a,never
barge,person,a,a,sometimes
yellow,tooth,a,a,often
pitch,fork,a,a,rarely
driving,instructor,an,a,rarely
astronaut,hat,a,an,never
bear,cry,a,a,rarely
bay,window,a,a,rarely
berry,patch,a,a,almost always
piano,player,a,a,never
bedside,table,a,a,about half the time
dead,person,a,a,never
bird,cave,a,a,rarely
gold,coin,a,a,never
engine,oil,,,about half the time
green,pot,a,a,almost always
ocean,animal,an,an,about half the time
cheese,ball,a,a,sometimes
red,bicycle,a,a,sometimes
turkey,breast,a,a,almost always
hairy,spider,a,a,almost always
apple,juice,,,almost always
paper,sticker,a,a,almost always
air,balloon,a,an,almost always
mud,pie,a,a,rarely
orange,circle,a,an,about half the time
star,fish,a,a,rarely
fish,lip,a,a,rarely
orange,broom,a,an,often
paint,plaster,a,a,rarely
dance,contest,a,a,often
hot,chocolate,,,rarely
green,elephant,an,a,rarely
flower,day,a,a,rarely
orange,pentagon,a,an,never
student,band,a,a,sometimes
pink,milk,,,rarely
milk,shake,a,a,often
yellow,plastic,,,about half the time
daddy,car,a,a,sometimes
wet,tarmac,a,a,always
pink,blanket,a,a,almost always
shovel,fork,a,a,rarely
fat,piggy,a,a,almost always
sugar,cone,a,a,never
glass,washer,a,a,almost always
silver,penny,a,a,rarely
sugar,syrup,,,about half the time
cookie,blob,a,a,always
donut,chair,a,a,never
watch,strap,a,a,often
top,cream,,,sometimes
brown,teddy,a,a,almost always
red,purple,,,about half the time
blooming,month,a,a,about half the time
bloody,coconut,a,a,always
game,tile,a,a,rarely
circle,drawing,a,a,almost always
fat,belly,a,a,often
puffy,cloud,a,a,sometimes
dirty,outside,an,a,almost always
book,tray,a,a,always
red,blood,,,always
cream,taste,a,a,almost always
grey,tights,,,rarely
sword,fight,a,a,rarely
female,alligator,an,a,often
dark,turquoise,,,sometimes
check,mark,a,a,often
throw,toy,a,a,never
back,line,a,a,about half the time
silky,mask,a,a,almost always
potato,chip,a,a,almost always
stand,firm,a,a,about half the time
cut,trunk,a,a,about half the time
red,mark,a,a,always
powder,paint,,,often
broken,crayon,a,a,almost always
mail,uniform,a,a,always
police,man,a,a,sometimes
yellow,taxi,a,a,almost always
river,path,a,a,often
flat,tire,a,a,sometimes
brown,horse,a,a,often
purple,dot,a,a,almost always
cranberry,juice,,,often
fire,fighter,a,a,never
ocean,wave,a,an,often
red,paint,,,rarely
red,dot,a,a,about half the time
orange,leaflet,a,an,rarely
red,cab,a,a,rarely
triangle,roof,a,a,often
plastic,cup,a,a,rarely
ant,trail,a,an,rarely
seat,belt,a,a,never
bread,box,a,a,rarely
yellow,car,a,a,rarely
mud,color,a,a,rarely
orange,shovel,a,an,almost always
red,picture,a,a,often
orange,macaroni,,,often
orange,screw,a,an,rarely
head,shot,a,a,sometimes
snowy,day,a,a,sometimes
road,track,a,a,almost always
green,wall,a,a,rarely
hot,steam,,,always
hot,mess,a,a,sometimes
drummer,boy,a,a,almost always
market,stall,a,a,almost always
turtle,magazine,a,a,rarely
orange,packet,a,an,rarely
home,movie,a,a,often
red,cape,a,a,always
weeping,willow,a,a,about half the time
red,bone,a,a,rarely
oil,barrel,a,an,always
shirt,top,a,a,almost always
purple,frog,a,a,about half the time
children,book,a,a,sometimes
purple,bubble,a,a,never
sweet,potato,a,a,sometimes
village,hall,a,a,sometimes
lacrosse,stick,a,a,almost always
snake,tongue,a,a,almost always
bread,knife,a,a,about half the time
bake,cookie,a,a,often
hare,lip,a,a,about half the time
pink,pants,,,never
red,lip,a,a,often
batman,shoe,a,a,about half the time
dark,room,a,a,sometimes
dark,paint,,,sometimes
dinosaur,egg,an,a,rarely
wooden,horse,a,a,never
oval,circle,a,an,about half the time
kid,game,a,a,almost always
purple,basket,a,a,never
purple,bead,a,a,about half the time
orange,tiger,a,an,often
hot,corn,a,a,sometimes
ballet,dress,a,a,never
fish,puppet,a,a,almost always
purple,patch,a,a,rarely
green,bear,a,a,rarely
bread,dough,,,about half the time
grey,hair,,,never
document,file,a,a,never
bedroom,flat,a,a,never
yellow,kite,a,a,almost always
pitcher,glove,a,a,sometimes
ink,pad,a,an,never
mouse,ear,an,a,never
pink,cup,a,a,rarely
red,belly,a,a,almost always
orange,crayon,a,an,sometimes
ankle,boot,a,an,rarely
dog,bun,a,a,never
bus,puzzle,a,a,rarely
green,leg,a,a,sometimes
dirty,food,,,sometimes
hamburger,bun,a,a,sometimes
soccer,ball,a,a,often
jean,jacket,a,a,never
green,chair,a,a,almost always
yellow,stick,a,a,almost always
leaf,pile,a,a,about half the time
red,luggage,,,rarely
orange,sequin,a,an,sometimes
dirty,garbage,,,sometimes
wash,cloth,a,a,almost always
green,bubble,a,a,rarely
upstairs,toy,a,an,never
balloon,popping,a,a,almost always
yellow,mountain,a,a,rarely
water,line,a,a,almost always
top,piece,a,a,almost always
straw,cup,a,a,never
red,lead,a,a,rarely
snack,boy,a,a,often
circle,puzzle,a,a,rarely
banana,chip,a,a,rarely
apple,cider,,,about half the time
snowman,melt,a,a,almost always
skate,board,a,a,almost always
grocery,warehouse,a,a,about half the time
wheel,chair,a,a,rarely
baby,bag,a,a,sometimes
wood,box,a,a,about half the time
car,ferry,a,a,almost always
red,tights,,,almost always
smiley,face,a,a,always
crystal,piece,a,a,often
cherry,vanilla,,,rarely
bath,room,a,a,almost always
yellow,match,a,a,about half the time
student,nurse,a,a,sometimes
baby,cat,a,a,sometimes
orange,ball,a,an,almost always
firehouse,lunch,a,a,rarely
red,tractor,a,a,almost always
bowling,alley,an,a,almost always
snow,ball,a,a,rarely
pink,teddy,a,a,often
toy,man,a,a,rarely
purple,mouse,a,a,never
baby,bath,a,a,sometimes
green,house,a,a,never
red,dandelion,a,a,sometimes
frozen,shoulder,a,a,rarely
hot,milk,,,never
vinegar,bottle,a,a,never
color,book,a,a,never
company,software,,,often
red,border,a,a,never
oak,tree,a,an,often
music,note,a,a,often
mommy,hair,,,never
top,branch,a,a,sometimes
burglar,alarm,an,a,almost always
office,key,a,an,almost always
green,toe,a,a,about half the time
